id,fold,label,text1,text2
neu_wpair-50000-89,9,neu,ma,enclosed
neu_wpair-50000-90,0,neu,parque,predetermined
neu_wpair-50000-91,1,neu,fever,cloth
neu_wpair-50000-92,2,neu,outstretched,lingerie
neu_wpair-50000-93,3,neu,controlling,future
neu_wpair-50000-94,4,neu,peril,buttermere
neu_wpair-50000-95,5,neu,cynic,lunatic
neu_wpair-50000-96,6,neu,tempting,ud
neu_wpair-50000-97,7,neu,lofty,walker
neu_wpair-50000-98,8,neu,stays,pewter
neu_wpair-50000-99,9,neu,5,momentous
neu_wpair-50000-100,0,neu,depending,novelty
neu_wpair-50000-101,1,neu,controls,dubliners
neu_wpair-50000-102,2,neu,repaired,overcome
neu_wpair-50000-103,3,neu,reconciliation,supplying
neu_wpair-50000-104,4,neu,petty,instruct
neu_wpair-50000-105,5,neu,sonora,riot
neu_wpair-50000-106,6,neu,mellow,pacific
neu_wpair-50000-107,7,neu,von,madras
neu_wpair-50000-108,8,neu,petitions,editor
neu_wpair-50000-109,9,neu,their,tubs
neu_wpair-50000-110,0,neu,descendants,bothering
neu_wpair-50000-111,1,neu,choir,enterprises
neu_wpair-50000-112,2,neu,overly,mossad
neu_wpair-50000-113,3,neu,undergoing,spaghetti
neu_wpair-50000-114,4,neu,petitions,easily
neu_wpair-50000-115,5,neu,pitiful,bedchamber
neu_wpair-50000-116,6,neu,fado,implementation
neu_wpair-50000-117,7,neu,convert,sumo
neu_wpair-50000-118,8,neu,upper,prevalent
neu_wpair-50000-119,9,neu,pub,waivers
neu_wpair-50000-120,0,neu,jasie,searchable
neu_wpair-50000-121,1,neu,umberto,syndicate
neu_wpair-50000-122,2,neu,to,association
neu_wpair-50000-123,3,neu,domingo,ballroom
neu_wpair-50000-124,4,neu,juries,sensual
neu_wpair-50000-125,5,neu,starr,brotherhood
neu_wpair-50000-126,6,neu,protective,leninist
neu_wpair-50000-127,7,neu,scandal,convince
neu_wpair-50000-128,8,neu,buy,explores
neu_wpair-50000-129,9,neu,characterization,flowed
neu_wpair-50000-130,0,neu,should,sao
neu_wpair-50000-131,1,neu,understand,her
neu_wpair-50000-132,2,neu,flashy,answers
neu_wpair-50000-133,3,neu,watches,confident
neu_wpair-50000-134,4,neu,digits,fixing
neu_wpair-50000-135,5,neu,cab,salamander
neu_wpair-50000-136,6,neu,carriage,linked
neu_wpair-50000-137,7,neu,carthaginian,specialize
neu_wpair-50000-138,8,neu,aircraft,places
neu_wpair-50000-139,9,neu,reimbursement,clenched
neu_wpair-50000-140,0,neu,talks,focal
neu_wpair-50000-141,1,neu,rating,smoother
neu_wpair-50000-142,2,neu,stunned,membership
neu_wpair-50000-143,3,neu,lazy,signing
neu_wpair-50000-144,4,neu,model,sitting
neu_wpair-50000-145,5,neu,correct,trendy
neu_wpair-50000-146,6,neu,subscribe,conclusive
neu_wpair-50000-147,7,neu,liaison,reckon
neu_wpair-50000-148,8,neu,bedchamber,assets
neu_wpair-50000-149,9,neu,sweaty,versed
neu_wpair-50000-150,0,neu,elicited,stirring
neu_wpair-50000-151,1,neu,candles,refute
neu_wpair-50000-152,2,neu,countless,vishnu
neu_wpair-50000-153,3,neu,vocal,easternmost
neu_wpair-50000-154,4,neu,steaks,pretty
neu_wpair-50000-155,5,neu,dean,remarked
neu_wpair-50000-156,6,neu,farmland,andre
neu_wpair-50000-157,7,neu,180,specialties
neu_wpair-50000-158,8,neu,greuze,5pm
neu_wpair-50000-159,9,neu,jerusalem,representation
neu_wpair-50000-160,0,neu,pylon,gently
neu_wpair-50000-161,1,neu,sunny,parkson
neu_wpair-50000-162,2,neu,lambs,isabella
neu_wpair-50000-163,3,neu,unto,tangled
neu_wpair-50000-164,4,neu,recycle,pr
neu_wpair-50000-165,5,neu,soul,roseanne
neu_wpair-50000-166,6,neu,microwave,recognized
neu_wpair-50000-167,7,neu,transmitted,bloody
neu_wpair-50000-168,8,neu,hawkshead,typical
neu_wpair-50000-169,9,neu,exhilarating,patrician
neu_wpair-50000-170,0,neu,attributable,pitt
neu_wpair-50000-171,1,neu,forgiven,salary
neu_wpair-50000-172,2,neu,struck,ribeiro
neu_wpair-50000-173,3,neu,colonnades,covenanters
neu_wpair-50000-174,4,neu,hubbell,essex
neu_wpair-50000-175,5,neu,craft,toulouse
neu_wpair-50000-176,6,neu,ser,minimally
neu_wpair-50000-177,7,neu,jockey,sold
neu_wpair-50000-178,8,neu,cooling,delicacy
neu_wpair-50000-179,9,neu,donation,gandhi
neu_wpair-50000-180,0,neu,escalate,vocal
neu_wpair-50000-181,1,neu,begins,2a
neu_wpair-50000-182,2,neu,survive,saves
neu_wpair-50000-183,3,neu,admissions,discuss
neu_wpair-50000-184,4,neu,discern,built
neu_wpair-50000-185,5,neu,dancing,stairway
neu_wpair-50000-186,6,neu,denise,worsened
neu_wpair-50000-187,7,neu,rouen,delinquent
neu_wpair-50000-188,8,neu,brace,toxins
neu_wpair-50000-189,9,neu,reflecting,disbursed
neu_wpair-50000-190,0,neu,lately,pills
neu_wpair-50000-191,1,neu,85,winners
neu_wpair-50000-192,2,neu,117,solved
neu_wpair-50000-193,3,neu,punches,guarded
neu_wpair-50000-194,4,neu,stair,valuation
neu_wpair-50000-195,5,neu,balance,ii
neu_wpair-50000-196,6,neu,wrynose,ax
neu_wpair-50000-197,7,neu,corners,confident
neu_wpair-50000-198,8,neu,comrades,dreary
neu_wpair-50000-199,9,neu,focal,functional
neu_wpair-50000-200,0,neu,rain,damn
neu_wpair-50000-201,1,neu,nye,acceptable
neu_wpair-50000-202,2,neu,cleaned,tradeoff
neu_wpair-50000-203,3,neu,raiding,attire
neu_wpair-50000-204,4,neu,pleading,assumes
neu_wpair-50000-205,5,neu,commerce,ravine
neu_wpair-50000-206,6,neu,quieted,persian
neu_wpair-50000-207,7,neu,benchmarks,cod
neu_wpair-50000-208,8,neu,justinian,earnhardt
neu_wpair-50000-209,9,neu,snows,crusades
neu_wpair-50000-210,0,neu,weakest,discouraging
neu_wpair-50000-211,1,neu,groves,quentin
neu_wpair-50000-212,2,neu,dishonesty,dilution
neu_wpair-50000-213,3,neu,center,immoral
neu_wpair-50000-214,4,neu,oranges,barrels
neu_wpair-50000-215,5,neu,check,perfection
neu_wpair-50000-216,6,neu,waterfront,rents
neu_wpair-50000-217,7,neu,healed,distinction
neu_wpair-50000-218,8,neu,vengeance,148
neu_wpair-50000-219,9,neu,issuing,altering
neu_wpair-50000-220,0,neu,landscape,rid
neu_wpair-50000-221,1,neu,jeffords,tomb
neu_wpair-50000-222,2,neu,landscape,seattle
neu_wpair-50000-223,3,neu,convince,kal
neu_wpair-50000-224,4,neu,inspire,taken
neu_wpair-50000-225,5,neu,ecology,mythology
neu_wpair-50000-226,6,neu,considerations,santo
neu_wpair-50000-227,7,neu,ruddy,bo
neu_wpair-50000-228,8,neu,catalogs,timeliness
neu_wpair-50000-229,9,neu,dreyfus,faintly
neu_wpair-50000-230,0,neu,sell,lurched
neu_wpair-50000-231,1,neu,expense,pinch
neu_wpair-50000-232,2,neu,finalized,franklin
neu_wpair-50000-233,3,neu,tarn,threatening
neu_wpair-50000-234,4,neu,indifferent,woes
neu_wpair-50000-235,5,neu,entourage,tate
neu_wpair-50000-236,6,neu,absentee,messing
neu_wpair-50000-237,7,neu,ism,thundering
neu_wpair-50000-238,8,neu,pen,reporting
neu_wpair-50000-239,9,neu,i,operator
neu_wpair-50000-240,0,neu,midday,prawns
neu_wpair-50000-241,1,neu,limb,miserable
neu_wpair-50000-242,2,neu,cancel,incentives
neu_wpair-50000-243,3,neu,moisture,abundance
neu_wpair-50000-244,4,neu,1971,robots
neu_wpair-50000-245,5,neu,lakers,grunted
neu_wpair-50000-246,6,neu,scale,consolidated
neu_wpair-50000-247,7,neu,impeachment,artwork
neu_wpair-50000-248,8,neu,bureaucrats,kleiman
neu_wpair-50000-249,9,neu,pool,build
neu_wpair-50000-250,0,neu,hatfield,holder
neu_wpair-50000-251,1,neu,reasonably,harms
neu_wpair-50000-252,2,neu,orioles,johnson
neu_wpair-50000-253,3,neu,flood,moyers
neu_wpair-50000-254,4,neu,militant,participants
neu_wpair-50000-255,5,neu,diwan,sitter
neu_wpair-50000-256,6,neu,asserting,greatest
neu_wpair-50000-257,7,neu,curious,plush
neu_wpair-50000-258,8,neu,flood,evidence
neu_wpair-50000-259,9,neu,individuals,risings
neu_wpair-50000-260,0,neu,references,ounces
neu_wpair-50000-261,1,neu,locations,filegate
neu_wpair-50000-262,2,neu,staffs,depicts
neu_wpair-50000-263,3,neu,superiority,pataki
neu_wpair-50000-264,4,neu,innovative,author
neu_wpair-50000-265,5,neu,instruct,unharmed
neu_wpair-50000-266,6,neu,li,craft
neu_wpair-50000-267,7,neu,digging,workforce
neu_wpair-50000-268,8,neu,unite,brinkley
neu_wpair-50000-269,9,neu,shade,worsened
neu_wpair-50000-270,0,neu,incorporate,critics
neu_wpair-50000-271,1,neu,duc,awakened
neu_wpair-50000-272,2,neu,judah,secrets
neu_wpair-50000-273,3,neu,unresolved,sorrow
neu_wpair-50000-274,4,neu,victims,values
neu_wpair-50000-275,5,neu,wonder,teleconference
neu_wpair-50000-276,6,neu,flamboyant,older
neu_wpair-50000-277,7,neu,casts,valuations
neu_wpair-50000-278,8,neu,postmaster,drinkers
neu_wpair-50000-279,9,neu,fertility,adequate
neu_wpair-50000-280,0,neu,faintly,growled
neu_wpair-50000-281,1,neu,126,kedah
neu_wpair-50000-282,2,neu,mann,pilgrims
neu_wpair-50000-283,3,neu,orleans,pasture
neu_wpair-50000-284,4,neu,ptolemy,foreclosure
neu_wpair-50000-285,5,neu,pre,commerce
neu_wpair-50000-286,6,neu,undermined,drop
neu_wpair-50000-287,7,neu,alternatives,skins
neu_wpair-50000-288,8,neu,tomatoes,appropriate
neu_wpair-50000-289,9,neu,flavors,completeness
neu_wpair-50000-290,0,neu,masked,effects
neu_wpair-50000-291,1,neu,commune,dairy
neu_wpair-50000-292,2,neu,fragile,column
neu_wpair-50000-293,3,neu,paints,notes
neu_wpair-50000-294,4,neu,nonprofit,confirms
neu_wpair-50000-295,5,neu,garden,horizontal
neu_wpair-50000-296,6,neu,infamous,undertaken
neu_wpair-50000-297,7,neu,problem,wanna
neu_wpair-50000-298,8,neu,ambition,statewide
neu_wpair-50000-299,9,neu,ping,yorker
neu_wpair-50000-300,0,neu,consulting,never
neu_wpair-50000-301,1,neu,shakespeare,succeed
neu_wpair-50000-302,2,neu,management,anatolia
neu_wpair-50000-303,3,neu,cliche,drive
neu_wpair-50000-304,4,neu,precipice,fears
neu_wpair-50000-305,5,neu,egyptians,explaining
neu_wpair-50000-306,6,neu,founders,musical
neu_wpair-50000-307,7,neu,alcazar,initiate
neu_wpair-50000-308,8,neu,gigot,michelangelo
neu_wpair-50000-309,9,neu,upon,org
neu_wpair-50000-310,0,neu,yiddish,listings
neu_wpair-50000-311,1,neu,hopping,fasab
neu_wpair-50000-312,2,neu,courtyards,profiling
neu_wpair-50000-313,3,neu,penis,ceteau
neu_wpair-50000-314,4,neu,bunker,target
neu_wpair-50000-315,5,neu,conservatives,sance
neu_wpair-50000-316,6,neu,pytlasinski,dominates
neu_wpair-50000-317,7,neu,senor,landfill
neu_wpair-50000-318,8,neu,install,refer
neu_wpair-50000-319,9,neu,seller,vieux
neu_wpair-50000-320,0,neu,whatnot,overwhelmed
neu_wpair-50000-321,1,neu,deficiencies,dominant
neu_wpair-50000-322,2,neu,endangered,candles
neu_wpair-50000-323,3,neu,downright,ride
neu_wpair-50000-324,4,neu,spots,oracle
neu_wpair-50000-325,5,neu,living,stairway
neu_wpair-50000-326,6,neu,saturday,eligible
neu_wpair-50000-327,7,neu,networks,breadth
neu_wpair-50000-328,8,neu,ecological,batik
neu_wpair-50000-329,9,neu,directive,stocks
neu_wpair-50000-330,0,neu,caldwell,maternal
neu_wpair-50000-331,1,neu,memoir,nominee
neu_wpair-50000-332,2,neu,nursing,circumstance
neu_wpair-50000-333,3,neu,clarence,wired
neu_wpair-50000-334,4,neu,lc50,sand
neu_wpair-50000-335,5,neu,jolanta,1905
neu_wpair-50000-336,6,neu,seen,rousseau
neu_wpair-50000-337,7,neu,hadrian,hearty
neu_wpair-50000-338,8,neu,hectares,vandals
neu_wpair-50000-339,9,neu,thanked,plush
neu_wpair-50000-340,0,neu,heavily,diesel
neu_wpair-50000-341,1,neu,theme,oprah
neu_wpair-50000-342,2,neu,maximum,warhol
neu_wpair-50000-343,3,neu,uncritical,michigan
neu_wpair-50000-344,4,neu,permissible,careless
neu_wpair-50000-345,5,neu,77,sumptuous
neu_wpair-50000-346,6,neu,paired,volcano
neu_wpair-50000-347,7,neu,screened,disparate
neu_wpair-50000-348,8,neu,sphinx,wheeler
neu_wpair-50000-349,9,neu,shifted,milwaukee
neu_wpair-50000-350,0,neu,infections,admitted
neu_wpair-50000-351,1,neu,countered,barbecue
neu_wpair-50000-352,2,neu,purse,them
neu_wpair-50000-353,3,neu,angered,railroads
neu_wpair-50000-354,4,neu,000,sixties
neu_wpair-50000-355,5,neu,sept,handled
neu_wpair-50000-356,6,neu,premises,1912
neu_wpair-50000-357,7,neu,eradicated,racing
neu_wpair-50000-358,8,neu,miraculously,unbiased
neu_wpair-50000-359,9,neu,song,authorizations
neu_wpair-50000-360,0,neu,extending,kauai
neu_wpair-50000-361,1,neu,homo,banner
neu_wpair-50000-362,2,neu,ancient,concrete
neu_wpair-50000-363,3,neu,101,nine
neu_wpair-50000-364,4,neu,that,lightly
neu_wpair-50000-365,5,neu,sepulchre,crimson
neu_wpair-50000-366,6,neu,enclose,retiring
neu_wpair-50000-367,7,neu,refreshment,cents
neu_wpair-50000-368,8,neu,pitre,mold
neu_wpair-50000-369,9,neu,assignments,darkness
neu_wpair-50000-370,0,neu,diablo,staying
neu_wpair-50000-371,1,neu,media,17
neu_wpair-50000-372,2,neu,hail,patent
neu_wpair-50000-373,3,neu,sphinxes,expelled
neu_wpair-50000-374,4,neu,manufacturers,stiffly
neu_wpair-50000-375,5,neu,assembled,aunt
neu_wpair-50000-376,6,neu,calling,insider
neu_wpair-50000-377,7,neu,inclusion,utilized
neu_wpair-50000-378,8,neu,vodka,corruption
neu_wpair-50000-379,9,neu,organisation,hawkshead
neu_wpair-50000-380,0,neu,listing,brandishing
neu_wpair-50000-381,1,neu,locations,lombardy
neu_wpair-50000-382,2,neu,crowning,martyrs
neu_wpair-50000-383,3,neu,tram,ambleside
neu_wpair-50000-384,4,neu,littered,remotely
neu_wpair-50000-385,5,neu,yells,pork
neu_wpair-50000-386,6,neu,contents,knife
neu_wpair-50000-387,7,neu,nepal,coarse
neu_wpair-50000-388,8,neu,contributor,hustled
neu_wpair-50000-389,9,neu,poop,depth
neu_wpair-50000-390,0,neu,wetlands,transplant
neu_wpair-50000-391,1,neu,honoring,delacroix
neu_wpair-50000-392,2,neu,flattened,delighted
neu_wpair-50000-393,3,neu,sylph,ripe
neu_wpair-50000-394,4,neu,eileen,oranges
neu_wpair-50000-395,5,neu,judgmental,putting
neu_wpair-50000-396,6,neu,oilskin,ignores
neu_wpair-50000-397,7,neu,floors,frugal
neu_wpair-50000-398,8,neu,cards,grasp
neu_wpair-50000-399,9,neu,save,strings
neu_wpair-50000-400,0,neu,speck,lt
neu_wpair-50000-401,1,neu,days,appraised
neu_wpair-50000-402,2,neu,ought,wealthy
neu_wpair-50000-403,3,neu,diminished,national
neu_wpair-50000-404,4,neu,dspb,truth
neu_wpair-50000-405,5,neu,pure,too
neu_wpair-50000-406,6,neu,ideals,quarterly
neu_wpair-50000-407,7,neu,stupa,grande
neu_wpair-50000-408,8,neu,statesmen,champs
neu_wpair-50000-409,9,neu,flesh,statutory
neu_wpair-50000-410,0,neu,mitch,hippie
neu_wpair-50000-411,1,neu,a504,resistant
neu_wpair-50000-412,2,neu,origins,dreamed
neu_wpair-50000-413,3,neu,sumptuous,ailments
neu_wpair-50000-414,4,neu,exquisite,270
neu_wpair-50000-415,5,neu,exclusively,cfos
neu_wpair-50000-416,6,neu,lobster,recording
neu_wpair-50000-417,7,neu,emotion,ms
neu_wpair-50000-418,8,neu,hydrogen,parried
neu_wpair-50000-419,9,neu,joints,ranged
neu_wpair-50000-420,0,neu,unforeseen,suspension
neu_wpair-50000-421,1,neu,edo,defenders
neu_wpair-50000-422,2,neu,toshogu,string
neu_wpair-50000-423,3,neu,attackers,senate
neu_wpair-50000-424,4,neu,widest,stand
neu_wpair-50000-425,5,neu,morrow,survive
neu_wpair-50000-426,6,neu,illustrate,masada
neu_wpair-50000-427,7,neu,returned,202
neu_wpair-50000-428,8,neu,wiped,resembles
neu_wpair-50000-429,9,neu,gambling,deleted
neu_wpair-50000-430,0,neu,89,squash
neu_wpair-50000-431,1,neu,2016,wadi
neu_wpair-50000-432,2,neu,examples,ethiopian
neu_wpair-50000-433,3,neu,flavour,issuers
neu_wpair-50000-434,4,neu,ghazni,britons
neu_wpair-50000-435,5,neu,profiled,din
neu_wpair-50000-436,6,neu,8am,towering
neu_wpair-50000-437,7,neu,wagons,presort
neu_wpair-50000-438,8,neu,win,numbers
neu_wpair-50000-439,9,neu,ed,poll
neu_wpair-50000-440,0,neu,stanford,made
neu_wpair-50000-441,1,neu,rouen,number
neu_wpair-50000-442,2,neu,dishes,flight
neu_wpair-50000-443,3,neu,encouragement,notorious
neu_wpair-50000-444,4,neu,feeble,doubtfully
neu_wpair-50000-445,5,neu,blazer,incumbent
neu_wpair-50000-446,6,neu,leland,outlets
neu_wpair-50000-447,7,neu,diane,mercato
neu_wpair-50000-448,8,neu,universal,chairperson
neu_wpair-50000-449,9,neu,involving,solemn
neu_wpair-50000-450,0,neu,grotto,vigor
neu_wpair-50000-451,1,neu,tragedies,arrives
neu_wpair-50000-452,2,neu,leaned,dallas
neu_wpair-50000-453,3,neu,cha,contract
neu_wpair-50000-454,4,neu,resist,flaw
neu_wpair-50000-455,5,neu,summary,integral
neu_wpair-50000-456,6,neu,tudor,afghan
neu_wpair-50000-457,7,neu,alps,dock
neu_wpair-50000-458,8,neu,dragon,judy
neu_wpair-50000-459,9,neu,ridin,edging
neu_wpair-50000-460,0,neu,passwords,favorable
neu_wpair-50000-461,1,neu,2006,robertson
neu_wpair-50000-462,2,neu,1929,plants
neu_wpair-50000-463,3,neu,timbered,simplifying
neu_wpair-50000-464,4,neu,kingdom,lsc
neu_wpair-50000-465,5,neu,conduit,handouts
neu_wpair-50000-466,6,neu,expressly,el
neu_wpair-50000-467,7,neu,pushes,botticelli
neu_wpair-50000-468,8,neu,duchy,rods
neu_wpair-50000-469,9,neu,stadium,involving
neu_wpair-50000-470,0,neu,contribution,opp
neu_wpair-50000-471,1,neu,installed,milosevic
neu_wpair-50000-472,2,neu,luis,spotted
neu_wpair-50000-473,3,neu,hopkins,recommended
neu_wpair-50000-474,4,neu,steering,gondolas
neu_wpair-50000-475,5,neu,seeming,statement
neu_wpair-50000-476,6,neu,chapters,mit
neu_wpair-50000-477,7,neu,cpa,fernando
neu_wpair-50000-478,8,neu,heading,fairness
neu_wpair-50000-479,9,neu,walt,3000
neu_wpair-50000-480,0,neu,bowness,pays
neu_wpair-50000-481,1,neu,downey,objection
neu_wpair-50000-482,2,neu,carthage,exhaustive
neu_wpair-50000-483,3,neu,quotes,cynicism
neu_wpair-50000-484,4,neu,currents,counselor
neu_wpair-50000-485,5,neu,turista,gedi
neu_wpair-50000-486,6,neu,linens,spectators
neu_wpair-50000-487,7,neu,salute,simpler
neu_wpair-50000-488,8,neu,anyone,merchants
neu_wpair-50000-489,9,neu,burned,intensive
neu_wpair-50000-490,0,neu,expansive,hikers
neu_wpair-50000-491,1,neu,curb,tense
neu_wpair-50000-492,2,neu,away,visibly
neu_wpair-50000-493,3,neu,dictates,403
neu_wpair-50000-494,4,neu,plenty,enjoys
neu_wpair-50000-495,5,neu,106,intoxicated
neu_wpair-50000-496,6,neu,mainland,woolf
neu_wpair-50000-497,7,neu,runaway,organic
neu_wpair-50000-498,8,neu,reconsider,cheating
neu_wpair-50000-499,9,neu,farmworkers,reconciliation
neu_wpair-50000-500,0,neu,reliability,parmigianino
neu_wpair-50000-501,1,neu,sparsely,commanded
neu_wpair-50000-502,2,neu,hh,hardened
neu_wpair-50000-503,3,neu,burma,1965
neu_wpair-50000-504,4,neu,surfaces,whoever
neu_wpair-50000-505,5,neu,smooth,six
neu_wpair-50000-506,6,neu,cahill,payout
neu_wpair-50000-507,7,neu,lime,crawling
neu_wpair-50000-508,8,neu,tryin,approach
neu_wpair-50000-509,9,neu,disclosure,predictably
neu_wpair-50000-510,0,neu,ritual,spy
neu_wpair-50000-511,1,neu,pfitzner,achieved
neu_wpair-50000-512,2,neu,winds,fenner
neu_wpair-50000-513,3,neu,betraying,versatile
neu_wpair-50000-514,4,neu,spotted,mock
neu_wpair-50000-515,5,neu,pension,sunshine
neu_wpair-50000-516,6,neu,homeowners,underestimate
neu_wpair-50000-517,7,neu,mates,vexed
neu_wpair-50000-518,8,neu,currency,formulated
neu_wpair-50000-519,9,neu,adjustment,heart
neu_wpair-50000-520,0,neu,lb,tarrant
neu_wpair-50000-521,1,neu,manor,overboard
neu_wpair-50000-522,2,neu,seduced,optimal
neu_wpair-50000-523,3,neu,plan,instantly
neu_wpair-50000-524,4,neu,undocumented,array
neu_wpair-50000-525,5,neu,respectfully,scant
neu_wpair-50000-526,6,neu,coined,diversion
neu_wpair-50000-527,7,neu,splendid,highlighted
neu_wpair-50000-528,8,neu,impose,interprets
neu_wpair-50000-529,9,neu,kite,societies
neu_wpair-50000-530,0,neu,polished,siena
neu_wpair-50000-531,1,neu,trousers,forget
neu_wpair-50000-532,2,neu,marking,towards
neu_wpair-50000-533,3,neu,logistics,patio
neu_wpair-50000-534,4,neu,capacities,dustin
neu_wpair-50000-535,5,neu,recreation,sponsors
neu_wpair-50000-536,6,neu,newcomers,fourteen
neu_wpair-50000-537,7,neu,trades,death
neu_wpair-50000-538,8,neu,rajputs,braces
neu_wpair-50000-539,9,neu,psychiatrist,grown
neu_wpair-50000-540,0,neu,excitement,farmhouses
neu_wpair-50000-541,1,neu,twenty,recruits
neu_wpair-50000-542,2,neu,contributions,groups
neu_wpair-50000-543,3,neu,inquired,extremely
neu_wpair-50000-544,4,neu,5,weights
neu_wpair-50000-545,5,neu,honour,mentioned
neu_wpair-50000-546,6,neu,direction,seti
neu_wpair-50000-547,7,neu,hardships,matching
neu_wpair-50000-548,8,neu,differing,reactionary
neu_wpair-50000-549,9,neu,jaisalmer,gsa
neu_wpair-50000-550,0,neu,justification,pencil
neu_wpair-50000-551,1,neu,enterprise,ao
neu_wpair-50000-552,2,neu,allergies,helpless
neu_wpair-50000-553,3,neu,room,pleasurable
neu_wpair-50000-554,4,neu,civilized,publique
neu_wpair-50000-555,5,neu,originate,moody
neu_wpair-50000-556,6,neu,walking,whoa
neu_wpair-50000-557,7,neu,contrary,bee
neu_wpair-50000-558,8,neu,commute,kashmir
neu_wpair-50000-559,9,neu,work,presided
neu_wpair-50000-560,0,neu,skilled,valves
neu_wpair-50000-561,1,neu,mill,dating
neu_wpair-50000-562,2,neu,laptop,cease
neu_wpair-50000-563,3,neu,gee,eagle
neu_wpair-50000-564,4,neu,twenty,utilities
neu_wpair-50000-565,5,neu,umberto,tongue
neu_wpair-50000-566,6,neu,resource,kastro
neu_wpair-50000-567,7,neu,amok,pope
neu_wpair-50000-568,8,neu,newark,joseph
