id,fold,topic,label,text1,text2
wiqa-2038-3-p,5,oil,else,larger surface area available,LESS power produced by the steam engine
wiqa-962-11-p,6,breathing,else,there will be more air into your lungs,more seeds become seedlings
wiqa-1620-2-p,7,human,else,there is an epidemic that kills many babies and children,LESS damage by acid rain
wiqa-1589-7-p,8,frog,else,there are more adult frogs,HURTING the message travel to the recipient
wiqa-384-9-p,9,boil,else,water will boil faster,the cells obtain less oxygen from the air
wiqa-815-10-p,0,gasoline,else,more oil is pumped out,a GREATER amount of oxygen being delivered to the blood stream
wiqa-1799-11-p,1,bird,else,there is no bird couple,MORE/LARGER valleys being formed
wiqa-1775-13-p,2,acid rain,else,more sulfur oxides are released,LESS frogs
wiqa-1303-0-p,3,butterfly,else,there are just less butterflies in the area,more magma changes in temperature
wiqa-972-6-p,4,weathering,else,less plants grow near the rocks,less trees are cut down
wiqa-721-6-p,5,oil heating,else,the price of oil increases,less oil is pumped
wiqa-307-4-p,6,echolocation,else,the pitch of the sound is lower,more ocean water breaks rocks off of cliffs
wiqa-1305-12-p,7,pumpkin,else,less pumpkins mature,Only already purified water is run through the filter
wiqa-797-9-p,8,white dwarf,else,more helium is burned,more food enters small intestine
wiqa-163-11-p,9,launching a satelite,else,Launch of satellite happens earlier,the crust will take longer to break
wiqa-1430-10-p,0,steam engine,else,the piston moves faster,more buds form
wiqa-630-1-p,1,pollination,else,no chemicals are put on the plant that would kill the insects and birds,MORE sugar and oxygen being produced
wiqa-184-7-p,2,desalination,else,there is more heat used,LESS igneous rock forming
wiqa-634-7-p,3,pancake,else,griddle is heated correctly,there are fewer seeds
wiqa-224-9-p,4,earthquake,else,there will be fewer earthquakes,LESS waste being removed from the body
wiqa-1490-7-p,5,electromagnet,else,less copper wire is wrapped,less air is inhaled
wiqa-517-10-p,6,butterfly,else,there will be fewer butterflies,animals will stay in their dens longer
wiqa-1162-13-p,7,fish,else,more fry emerge,there is no coal available
wiqa-2027-1-p,8,hibernation,else,the animal has a strong appetite,the child will not become an adolescent
wiqa-771-8-p,9,pollination,else,there are less flowers for the bee to land on,more gases trap the heat and energy
wiqa-370-8-p,0,wind electricity,else,the shaft spins less,more acid rain occurs
wiqa-690-10-p,1,rain,else,less rain falls,MORE rain
wiqa-1432-12-p,2,muscles,else,the muscle will contract more,The electrical current is weaker
wiqa-747-12-p,3,recycling,else,less aluminum products are made,more water condenses as it cools
wiqa-1788-10-p,4,rain,else,there is more snow that falls from the clouds,there will be fewer larvae
wiqa-558-0-p,5,digestion,else,person has an overeating disorder,the magma building in the volcano is thicker
wiqa-1401-12-p,6,rabbit,else,less rabbits can mate,fewer crops crow
wiqa-259-12-p,7,sedimentary rock,else,less cracks in rocks form,there are fewer caterpillars
wiqa-504-4-p,8,wine,else,less grapes are crushed,pen goes to paper
wiqa-642-11-p,9,coffee,else,the coffee will be stronger,less babies are born
wiqa-140-14-p,0,insulin,else,insulin can't be regulated,more energy absorbed by land
wiqa-1587-6-p,1,frog,else,adult frog lays egg into water,MORE POWERFUL hurricanes
wiqa-530-6-p,2,greenhouse gases,else,there is less petrol,MORE ice cubes being made
wiqa-1517-8-p,3,radioactive atoms,else,the atoms split less often,more leaves will stick together
wiqa-1143-13-p,4,coal-powered electricity,else,the turbine shaft spins faster,LESS oil
wiqa-1847-2-p,5,desalination,else,there is less salt,a SMALLER amount of oxygen being delivered to the blood stream
wiqa-136-4-p,6,icberg,else,water temperature increases,LESS or SMALLER nests
wiqa-2030-7-p,7,mineral,else,it is not cool enough,The baler machines are made to work faster
wiqa-1184-13-p,8,gasoline,else,more gasoline is loaded onto tank trucks,MORE vegetables
wiqa-1082-2-p,9,seed dispersal,else,The plants receive more water,MORE vegetables
wiqa-1355-5-p,0,bee hive,else,more nectar is available,more water directed to plates
wiqa-606-10-p,1,DNA replication,else,helix will remain intact,more saliva amylase
wiqa-1628-11-p,2,earthquake,else,there is no crust in the area,the liver having to work HARDER
wiqa-347-6-p,3,green plants,else,plants absorb more carbon dioxide,HURTING the squirrels to survive winter
wiqa-1428-1-p,4,steam engine,else,less resources available,LESS or SMALLER eruptions
wiqa-2041-2-p,5,oil,else,less organic material lies on the floor,More forces are exerted in the rock when the water freezes
wiqa-177-4-p,6,vaccination,else,you have more bacteria placed in your body,pressure builds up until it is released
wiqa-903-9-p,7,igneous rock,else,there is more magma,more forest fires happen
wiqa-1521-10-p,8,water cycle,else,more water collects in the bodies of water,MORE plants
wiqa-1614-5-p,9,tree rings,else,tree is thicker on the outside,MORE use of water by the plant
wiqa-1637-6-p,0,protein synthesis,else,more mRNA,the magma cools more
wiqa-1055-6-p,1,cavern,else,rock touches water for years,MORE/STRONGER earthquakes
wiqa-305-9-p,2,echolocation,else,stronger echolocation is produced,More male birds infertile
wiqa-887-6-p,3,photosynthesis,else,more water is transported to the leaves,LESS babies
wiqa-1682-14-p,4,camping,else,justify a longer stay to enjoy nature more,Turbines rotate  less efficiently and don't create efficient actions
wiqa-1510-2-p,5,evaporation,else,having more water to heat,MORE recyling
wiqa-1105-6-p,6,lung,else,less air is taken in through nose or mouth,less salt being removed occurs
wiqa-981-10-p,7,dishwasher,else,the dishes will be cleansed with less force,If more water filters into the rocks
wiqa-360-12-p,8,coal-powered electricity,else,less electricity produced,more blood available
wiqa-1502-8-p,9,oxygen,else,less air reaches the alveoli,Less coal is harvested for use in the furnace
wiqa-1678-14-p,0,camping,else,More protection from outside factors,more sound hits the ear drums
wiqa-407-13-p,1,fossilization,else,more bones are left behind,LESS cells being damaged
wiqa-63-4-p,2,auditory,else,eardrum vibrates more,more atoms split
wiqa-543-11-p,3,bee hive,else,less wax builds up,MORE coal arriving at the power station
wiqa-1783-6-p,4,the greenhouse effect,else,more gases form in the atmopshere,the kidneys increase their cleaning abilities
wiqa-1328-7-p,5,mold,else,there is no spores to convert with the air,less liquid is present
wiqa-193-12-p,6,erosion by ocean,else,waves will shrink in size,the pancreas working SOFTER
wiqa-852-8-p,7,kidney,else,less blood goes to the nephrons,more coal is removed
wiqa-693-7-p,8,rain,else,there is more water vapor,LESS or LESS POWERFUL lightning
wiqa-3-14-p,9,mineral,else,less magma will cool,HURTING owls to hunt at night
wiqa-842-1-p,0,auditory,else,a person's ears are covered,the eye of the storm grows bigger
wiqa-1119-10-p,1,oxygen,else,less oxygen being brought to the body's cells,less powerful seismic waves
wiqa-1049-11-p,2,fish,else,more larvae form into juvenile fish,there will be more work to clean the dishes
wiqa-1429-3-p,3,steam engine,else,the train is going very fast,more bacteria will grow and reproduce
wiqa-564-3-p,4,treating a cut,else,the wound is very small,drive to a more secluded distant camping spot
wiqa-682-13-p,5,lungs,else,less air goes through them,more carbon dioxide exhaled
wiqa-844-0-p,6,seed dispersal,else,There was no plant,a SMALLER amount of oxygen being delivered to the blood stream
wiqa-127-8-p,7,eagle,else,the eagle catches up to the mouse,more eggs to hatch
wiqa-1494-8-p,8,liver,else,You eat a more vegan diet,the steam is forced out the tank more slowly
wiqa-1791-5-p,9,echolocation,else,if bats are in a place with less objects around,MORE/LARGER nests
wiqa-382-11-p,0,vegetables,else,Plants grow well,MORE or FASTER weathering occurring
wiqa-855-9-p,1,kidney,else,there is no urine in the body,more dishes getting cleaned
wiqa-1030-11-p,2,ice cubes,else,less ice cubes are created,mix will not ignite
wiqa-1409-10-p,3,oil heating,else,Less oil becomes a fine mist mixed with air,LESS or SMALLER satelites in space
wiqa-943-6-p,4,human,else,more fetus grows and develops,LESS sugar and oxygen being produced
wiqa-347-12-p,5,green plants,else,less sugar and oxygen being produced,MORE birds
wiqa-1509-13-p,6,evaporation,else,molecules moves faster,MORE flowers being pollinated
wiqa-951-6-p,7,human,else,the fetus grows for less than 9 months,MORE salt being removed from the water
wiqa-442-4-p,8,hibernation,else,animal builds a proper den for sleeping,place filter into coffee filter
wiqa-1102-14-p,9,lung,else,air is cleared to the bronchial tubes,more solar panels available
wiqa-752-13-p,0,coal-powered electricity,else,more water becomes steam,MORE igneous rock forming
wiqa-609-0-p,1,DNA replication,else,There is a body,More vegetation grows on rocks
wiqa-1236-7-p,2,respiration,else,less lung capacity available,LESS food being digested
wiqa-868-9-p,3,liver,else,the liver regulates blood clotting less often,LESS or SMALLER caverns
wiqa-1027-13-p,4,hurricane,else,the thunderstorm does not develop further,LESS oil arriving at gas stations
wiqa-1009-6-p,5,pollination,else,there are fewer flowers,less new copies of the virus will be made
wiqa-1179-7-p,6,recycling,else,more recycling is placed in recycling containers,more animals walk by plants
wiqa-1736-6-p,7,writing and posting a letter,else,letter is written on paper,MORE or LARGER rings
wiqa-1141-10-p,8,coal-powered electricity,else,the turbine shaft moves more,more plants begin to grow
wiqa-1105-5-p,9,lung,else,less air is taken in through nose or mouth,more sugar is used
wiqa-260-9-p,0,sedimentary rock,else,less breakage of rocks,more particles hit rocks
wiqa-832-11-p,1,radioactive atoms,else,isotope decays less,plants getting MORE nutrients
wiqa-1198-10-p,2,water,else,less hydrolysis,less  steam created
wiqa-1490-2-p,3,electromagnet,else,stronger electricity source,more seeds get caught in the fur of animals
wiqa-1663-8-p,4,rabbit,else,the rabbit is too young,less aluminum is taken to the treatment plant
wiqa-1475-13-p,5,solar panel,else,more energy available,more food travels into the stomach
wiqa-1921-2-p,6,pollination,else,the flower was visited by a bee,the liver having to work HARDER
wiqa-1143-5-p,7,coal-powered electricity,else,water is turned into steam faster,HURTING the skin go repair itself
wiqa-2041-13-p,8,oil,else,less carbon and and hydrogen is created,less waste is filtered out
wiqa-1013-10-p,9,launching a satelite,else,more rocket fuel will be needed,less waste is turned into urine
wiqa-1279-4-p,0,insulin,else,more food is being digested,more heating oil travels from the tank to the burner
wiqa-2089-12-p,1,coal-powered electricity,else,less electricity produced by generator,LESS food being digested
wiqa-1722-2-p,2,photosynthesis,else,Every breath I exhale carbon dioxide,more message carried to brain
wiqa-1889-11-p,3,desalination,else,more water will become a gas,LESS rain
wiqa-1767-8-p,4,lungs,else,you get more aerobic exercise,muscles contracting MORE INTENSELY
wiqa-1125-11-p,5,desalination,else,less evaporation occurs,MORE sugar and oxygen being produced
wiqa-1267-8-p,6,kidney,else,less blood is carried to the kidneys,MORE/GREATER eruptions
wiqa-1900-10-p,7,coal-powered electricity,else,less steam will drive the generators,Crops will sprout and grow less
wiqa-479-14-p,8,rabbit,else,they will mate more often,more finish stays on
wiqa-1657-5-p,9,stomach,else,more protein from throat,they will consume more food
wiqa-437-13-p,0,hibernation,else,the animal does not fatten up,LESS rain
wiqa-1776-4-p,1,acid rain,else,less sulfur trioxide is formed,star transforms into a red gaint
wiqa-30-10-p,2,cloud,else,it is winter season,ingots are made larger
wiqa-1979-11-p,3,plant,else,less flower produces fruit,LESS oxygen being brought to the body's cells
wiqa-1814-12-p,4,photosynthesis,else,the oxygen levels will decrease,MORE oil
wiqa-1753-2-p,5,cake,else,the person wants a lighter textured fluffier cake,there are fewer guests
wiqa-771-12-p,6,pollination,else,less flowers will be pollinated,LESS or SMALLER icebergs forming
wiqa-2078-7-p,7,mountain,else,tectonic plates smash less often,LESS oxygen reaching the body
wiqa-720-2-p,8,oil heating,else,new fields are opened up,less coal is broken down into smaller material
wiqa-285-12-p,9,stomach,else,less energy is produced,LESS waste being removed from the body
wiqa-1460-14-p,0,hibernation,else,more food available,the cake will be less rich
wiqa-449-4-p,1,flashlight,else,less batteries are put in the flashlight,fewer seeds are dropped off or deposited
wiqa-353-4-p,2,virus,else,cells in the body are not attacked,LESS or SMALLER eruptions
wiqa-1508-11-p,3,respiration,else,Less oxygen travels into the body,MORE frogs
wiqa-655-9-p,4,auditory,else,more sound hits the ear drums,LESS coffee being made
wiqa-171-3-p,5,birthday party,else,the person whose party it is is unpopular,LESS waste being removed from the body
wiqa-563-8-p,6,treating a cut,else,the skin will not repair itself,more magma will enter volcanoes
wiqa-1107-1-p,7,lung,else,the lungs are functioning correctly,MORE recyling
wiqa-1416-8-p,8,lungs,else,less oxygen absorbed by small blood vessels,HELPING the flashlight to work properly
wiqa-1534-14-p,9,seed dispersal,else,more animals defecate in another area,you will have to spend money to get some stamps
wiqa-1249-9-p,0,bacteria,else,less bacteria to reproduce,MORE passengers being transported
wiqa-791-5-p,1,mountain,else,more plates fold and buckle,MORE waste being removed from the body
wiqa-1038-13-p,2,global warming,else,more carbon dioxide enters the atmosphere,MORE or FASTER weathering occurring
wiqa-827-13-p,3,weathering,else,the rock takes longer to split,the pancreas working SOFTER
wiqa-1198-9-p,4,water,else,less CO2 reactants,drinking less water
wiqa-423-10-p,5,the greenhouse effect,else,less greenhouse effect,LESS erosion by the ocean
wiqa-1659-6-p,6,rabbit,else,The new adults mate more with other rabbits,less water condenses
wiqa-537-9-p,7,cake,else,the cake will rise too much,less glycolysis
wiqa-1251-9-p,8,perspiration,else,Sweat glands will not produce sweat,more sediment gets dumped into tributaries
wiqa-1404-13-p,9,rabbit,else,fewer rabbits live to adulthood,earth heats less
wiqa-1078-8-p,0,seed dispersal,else,there are less animals in the forest,fewer seeds get caught in the fur of animals
wiqa-1123-3-p,1,desalination,else,there is not much salt wanted,more magma changes in temperature
wiqa-1126-2-p,2,virus,else,a person has a compromised immune system,no sperm meets the egg
wiqa-305-4-p,3,echolocation,else,bats produce less tones,fewer men and women mate
wiqa-164-5-p,4,launching a satelite,else,Rocket made more efficient,broiler releases hot air into cylinder
wiqa-592-2-p,5,dishwasher,else,the heating element of the dishwasher is broken,more birds mature
wiqa-1926-12-p,6,pancake,else,the pancakes will be less sweet,More seeds will be eaten by animals
wiqa-1247-14-p,7,bacteria,else,The bacteria will spread quicker,less electricity is being generated
wiqa-549-0-p,8,owl,else,the area is cleared of trees,there are fewer trees
wiqa-52-13-p,9,water,else,less absorption of water,an earthquake has larger force
wiqa-520-13-p,0,butterfly,else,eggs will be less fertile,Less female rabbits will become pregnant
wiqa-1271-8-p,1,respiration,else,the lungs expand less,more ice forms inside a cloud
wiqa-2083-4-p,2,mountain,else,fewer plates smash together,LESS or SMALLER eruptions
wiqa-508-4-p,3,wine,else,more grapes are grown,less eggs to hatch
wiqa-968-4-p,4,dishwasher,else,rinsing the dishes more before washing them,the batter will be smooth but thicker
wiqa-26-10-p,5,seed dispersal,else,less feeding,HURTING the DNA to replicate properly
wiqa-450-6-p,6,flashlight,else,less touching of the contacts,the liver is not pumping blood
wiqa-1880-11-p,7,ravine,else,take less time to dry up,a SMALLER hive
wiqa-2058-10-p,8,fossilization,else,less fossils forming,more plants will die
wiqa-407-10-p,9,fossilization,else,there will not be as many fossils,MORE oil arriving at gas stations
wiqa-641-6-p,0,coffee,else,an increase in the filter strength,More sand is pulled off the beaches
wiqa-906-4-p,1,seed dispersal,else,fewer plants create light weight seeds,theres not enough oxygen in the environment
wiqa-2020-5-p,2,sediment,else,the sediment is located on more sloping slopes,there will be a lot more bones
wiqa-1719-0-p,3,photosynthesis,else,the roots absorb water less,LESS power produced by the steam engine
wiqa-1681-4-p,4,camping,else,more food is brought,MORE oxygen being brought to the body
wiqa-298-2-p,5,sewing machine,else,Machine is over used,fewer animals die
wiqa-1210-2-p,6,plant crops,else,more stormy weather occurs,less waste is filtered out
wiqa-1117-8-p,7,oxygen,else,there is more hemoglobin in red blood cells,LESS oxygen being brought to the body
wiqa-1702-10-p,8,writing and posting a letter,else,the letter is successfully delivered,less rocks break from the pressure
wiqa-2035-1-p,9,mineral,else,there is more lava cooling,MORE use of water by the plant
wiqa-1681-12-p,0,camping,else,a less extensive camping trip,MORE power produced by the steam engine
wiqa-1250-14-p,1,bacteria,else,less bacteri to spread,less body cooling occurs
wiqa-1876-10-p,2,recycling,else,more space can be utilized,You smoke more tar filled cigarettes
wiqa-2034-10-p,3,mineral,else,more minerals will form,HURTING the dishwasher to clean better
wiqa-769-13-p,4,pollination,else,more pollen is collected,more wax is chewed
wiqa-512-8-p,5,flight,else,there are not enough staff for a bigger plane,not enough plants will grow
wiqa-1660-4-p,6,rabbit,else,Less female rabbits mate with the males,above normal body temperature
wiqa-20-6-p,7,echolocation,else,If more bats are in a cave,the body isn't processing water
wiqa-402-10-p,8,desalination,else,more salt can be more easilyremoved,more steam is created
wiqa-1904-4-p,9,volcano,else,more earthquakes release volcanic energy,MORE salt being removed from the water
wiqa-1067-10-p,0,mineral,else,more minerals would be formed,battery produces less electricity
wiqa-1555-4-p,1,launching a satelite,else,more teams designs satellites,more glucose and oxygen are created
wiqa-1915-3-p,2,rain,else,less water has evaporated into the atmosphere,If there is less water vapor
wiqa-1635-2-p,3,protein synthesis,else,the transcription occurs more often,less acid rain will be produced
wiqa-617-0-p,4,camping,else,a person has a good immune system,the person will need more treatment
wiqa-651-14-p,5,kidney,else,low water levels in the body,more baby birds grow up
wiqa-229-14-p,6,rain,else,water surface area evaporates,letter is placed in envelope
wiqa-1309-7-p,7,pumpkin,else,there is less rain water that hits the plant,ribosomes bind the new DNA molecules less often
wiqa-666-13-p,8,rain,else,more water droplets are formed,MORE/LARGER valleys being formed
wiqa-2068-5-p,9,pancreas,else,more food is ate,more erosion occurs
wiqa-531-10-p,0,greenhouse gases,else,more waste from living things,The wound will be less likely to get infected
wiqa-1474-3-p,1,solar panel,else,stronger sun rays,there are fewer factories
wiqa-1084-7-p,2,gasoline,else,less oil extracted,Bats produce a high-pitched tone
wiqa-1699-7-p,3,frog,else,more eggs hatch,less batter is mixed until smooth
wiqa-1433-12-p,4,muscles,else,less muscles contracting occurs,more rock rushes through the cave
wiqa-1986-4-p,5,water cycle,else,more condensation occurs,less food is being eaten
wiqa-1455-8-p,6,hibernation,else,animal will not gain enough weight,Less trays are filled
wiqa-1577-2-p,7,erosion by ocean,else,it is more windy,MORE seed dispersal
wiqa-34-4-p,8,recycling,else,manufactures purchase recycled materials,not rinsing the dishes more before washing them
wiqa-592-1-p,9,dishwasher,else,the dishwasher settings are set to heat water,a GREATER amount of oxygen being delivered to the blood stream
wiqa-1293-10-p,0,virus,else,the virus will consume less food,more seeds watered
wiqa-1846-12-p,1,desalination,else,the water vapor will turn into liquid water less often,MORE or GREATER eruptions
wiqa-1714-14-p,2,ice cubes,else,at most 32 F degrees,more electricity is transferred through the phone
wiqa-1021-7-p,3,plant,else,the seed gets enough  nutrients,less letters are written
wiqa-923-2-p,4,kidney,else,volume of water in blood is kept less constant,LESS or SMALLER satelites in space
wiqa-1304-11-p,5,butterfly,else,increased amount of larva is produced,MORE rabbits
wiqa-498-8-p,6,liver,else,food low in calories is consumed,Global warming causes winters to warm more
wiqa-705-4-p,7,sewing machine,else,less electrical current goes to a motor,more water
wiqa-1052-0-p,8,fish,else,less clean waters,LESS ice cubes being made
wiqa-1780-11-p,9,the greenhouse effect,else,more heat is trapped by the gases,more gases are trapped in the atmosphere
wiqa-1767-10-p,0,lungs,else,You will have more trouble breathing air in,the animal does not digest fruit
wiqa-1730-10-p,1,photosynthesis,else,more oxygen will be produced as a byproduct,MORE or LARGER rings
wiqa-487-11-p,2,blood,else,there will be less waste in the blood,LESS rabbits
wiqa-551-6-p,3,oil,else,more animals and plants die,MORE sediment being transported
wiqa-1869-14-p,4,lungs,else,I can breath better,HELPING the animal to hibernate properly
wiqa-1438-4-p,5,digestion,else,Bits of food are swallowed,more adult fish mate
wiqa-673-13-p,6,weathering,else,More root penetration in the rocks,LESS sunlight arriving at the Earth
wiqa-959-13-p,7,breathing,else,oxygen circulates less,there will be more air to travel into your lungs
wiqa-1555-3-p,8,launching a satelite,else,more people work on building satellites,more chunks taken off the glacier
wiqa-36-12-p,9,recycling,else,there will not be the level of interest,less virus will enter the body
wiqa-1922-8-p,0,pancake,else,using more eggs,more magma changes in pressure
wiqa-134-6-p,1,internal combustion engine,else,increase in the strength of a spark,MORE/FASTER erosion of rocks
wiqa-1093-6-p,2,igneous rock,else,less magma rises,MORE crops
wiqa-228-2-p,3,rain,else,more water on the ground,LESS electricity being generated
wiqa-571-6-p,4,tree,else,A seedling does not emerge,Animals will have less acorns
wiqa-1470-5-p,5,vegetables,else,less seeds watered,More carbon dioxide is released into the air
wiqa-687-2-p,6,lungs,else,there is low oxygen in the atmosphere,more acid rain
wiqa-1360-8-p,7,volcanic eruption,else,more magma finds weakest point,More new copies of the virus are made
wiqa-175-4-p,8,white dwarf,else,star is smaller in size,more plants grow on the rocks
wiqa-8-6-p,9,flood,else,less rain falls,no steam to spin propeller blade
wiqa-917-14-p,0,pancreas,else,I do not consume sweets,Non-purified water will leak through the filter
wiqa-813-13-p,1,the greenhouse effect,else,more trapped radiation occurs,LESS sedimentary rock forming
wiqa-1355-2-p,2,bee hive,else,there are more bees,a LESS INTENSE water cycle
wiqa-1626-11-p,3,earthquake,else,the crust will break sooner,less teenagers become adults
wiqa-533-0-p,4,cake,else,there are not enough eggs,the sound is not returned to the bat
wiqa-116-6-p,5,sunlight,else,less pressure in sun,LESS erosion by the ocean
wiqa-1438-1-p,6,digestion,else,and spits out the food,Owls will have more trouble finding prey
wiqa-866-4-p,7,transport,else,more boilers are heated with the coal mixture,less carbon dioxide occurs
wiqa-1028-0-p,8,hurricane,else,the storm gets weaker,less water forms droplets in the clouds
wiqa-678-13-p,9,owl,else,there will be more  food for the owls,forms a nest with the materials gathered
wiqa-1409-12-p,0,oil heating,else,Less oil becomes a fine mist mixed with air,LESS cells being damaged
wiqa-1792-2-p,1,echolocation,else,Bats are in their sleep cycle,LESS fossils forming
wiqa-265-1-p,2,mountain,else,there are less plates,LESS heat for the house
wiqa-1335-13-p,3,seed dispersal,else,more seeds consumption occurs,less oxygen transfer occurs
wiqa-2098-3-p,4,rain,else,puddles were formed,more baby birds grow up
wiqa-1837-8-p,5,rain,else,there is more water to evaporate,MORE rabbits
wiqa-38-7-p,6,pollution,else,laws are passed to make it illegal to dispose of waste in this way,MORE sound being detected
wiqa-1903-11-p,7,coal-powered electricity,else,there will be more coal burned,LESS ice cubes being made
wiqa-904-9-p,8,seed dispersal,else,more seeds get caught in animal fur,more rocks are pushed out of the earth
wiqa-693-5-p,9,rain,else,less water in the air forms a cloud,a GREATER greenhouse effect
wiqa-1650-0-p,0,water,else,it is the dry season,LESS trees
wiqa-480-2-p,1,rabbit,else,humans being more responsible,LESS mold forming on bread
wiqa-1645-6-p,2,mushroom,else,more spores are given off,MORE sugar and oxygen being produced
wiqa-1026-1-p,3,hurricane,else,the wind speed drops,less steam rises
wiqa-1203-3-p,4,water,else,if the plant gets poisoned,there will be more plant remains
wiqa-312-0-p,5,breathing,else,a person has strong lungs,more electricity is transferred through the phone
wiqa-594-6-p,6,dishwasher,else,If there is no water production,less owls swoop down
wiqa-1178-9-p,7,recycling,else,more items arrive at the recycling plant,less carbon and and hydrogen is created
wiqa-301-2-p,8,dam,else,the floodgates are malfunctioning,Earth's temperature will rise more quickly
wiqa-660-4-p,9,writing and posting a letter,else,you purchase more envelopes,there will less food to eat
wiqa-838-8-p,0,auditory,else,The eardrum changes more sound waves into vibrations,the greenhouse being HOTTER
wiqa-511-10-p,1,flight,else,more fuel will be used,the muscle will shorten less
wiqa-49-0-p,2,acid rain,else,An increase of chemicals in rainwater,LESS pancakes
wiqa-797-2-p,3,white dwarf,else,the star has been around for less long,more air available
wiqa-452-12-p,4,flashlight,else,the reflector captures the light,less seeds get buried
wiqa-1554-13-p,5,launching a satelite,else,a smaller satellite is packed into a capsule,there is more limestone
wiqa-290-2-p,6,mold,else,it is the middle of summer,more items are collected
wiqa-45-5-p,7,skateboard,else,less pushing off with your foot on the ground,there is more sunlight
wiqa-1522-15-p,8,water cycle,else,more water drops fall back to earth,more satellites are needed
wiqa-987-0-p,9,lung,else,you stopping smoking,a GREATER amount of oxygen being delivered to the blood stream
wiqa-1131-5-p,0,virus,else,less virus copies made,the pancreas working SOFTER
wiqa-252-11-p,1,sedimentary rock,else,more large rocks formed,You drink  liquids
wiqa-1728-4-p,2,photosynthesis,else,more glucose produced,IMPROVED safety from flooding
wiqa-1835-10-p,3,rain,else,water is not turned into vapor,a GREATER greenhouse effect
wiqa-674-13-p,4,weathering,else,more roots grow into rocks,LESS minerals forming
wiqa-182-12-p,5,desalination,else,fresh water is the product,more glucose
wiqa-1941-3-p,6,fish,else,more eggs are laid in areas safe from predators,there is no magma in the ground
wiqa-954-8-p,7,desalination,else,less cracks available,LESS vegetables
wiqa-593-14-p,8,dishwasher,else,less soapy water will spray onto the dishes,sound waves will be more confusing to the bat
wiqa-1084-5-p,9,gasoline,else,more oil is refined,"Your lungs are paralyzed more, you have less strength in diaphragm"
wiqa-337-7-p,0,weathering,else,sealer is scraped off the wood,HURTING the dishwasher to clean better
wiqa-308-10-p,1,echolocation,else,the bat will uncertain,fewer plates smash together
wiqa-1324-4-p,2,mold,else,less mold forms into a colony,more plants die
wiqa-1897-11-p,3,butterfly,else,Less butterflies emerge from cocoons,a GREATER amount of oxygen being delivered to the blood stream
wiqa-1803-9-p,4,kidney,else,less neophrons,less oil is taken to the refinery
wiqa-767-5-p,5,pollination,else,more bees visit a flower,LESS frogs
wiqa-44-4-p,6,bacteria,else,cells are infected with the bacteria,more eggs are laid
wiqa-369-10-p,7,wind electricity,else,the rotor spins less,More bees are visiting flowers
wiqa-373-7-p,8,gasoline,else,less oil pumped,more bacteria enters the wounds
wiqa-573-9-p,9,tree,else,there will be more animals,lung is removed of carbon dioxide
wiqa-2048-5-p,0,frog,else,More tadpoles occur,more birds grow up
wiqa-439-1-p,1,hibernation,else,the animal becomes ill,LESS regulation of blood sugar level being needed
wiqa-708-4-p,2,electromagnet,else,more batteries used,more coal is shoveled into the firebox
wiqa-2003-2-p,3,transport,else,coal is being replaced with green energy,more passengers wait in line
wiqa-1158-8-p,4,fires affecting animals,else,less acid rain,Air reaches a higher temperature and expands
wiqa-920-3-p,5,pancreas,else,the person drinks less liquid,LESS waste being removed from the body
