id,fold,rel,abbr,label,text1,text2
conet-16782009-r,0,HasFirstSubevent,HFS,else,walk dog,fasten leash
conet-229628-r,1,Causes,C,else,serenity,being alone
conet-16794740-r,2,HasLastSubevent,HLS,else,pull plug,bathe
conet-244820-r,3,Causes,C,else,varicose veins,waiting on tables
conet-241068-r,4,Causes,C,else,transportation,riding bicycle
conet-235685-r,5,Causes,C,else,clap when team wins,going to sporting event
conet-244468-r,6,Causes,C,else,headache,using computer
conet-16806198-r,7,HasPrerequisite,HPre,else,go to dentist,brush teeth
conet-238307-r,8,Causes,C,else,live longer,maintaining muscle strength
conet-241477-r,9,Causes,C,else,enjoy,seeing art
conet-16806639-r,0,HasPrerequisite,HPre,else,go to sleep,knock off for while
conet-321722-r,1,CausesDesire,CD,else,work,lack of money for weed
conet-16802155-r,2,HasPrerequisite,HPre,else,dressing nice,nice clothes
conet-237011-r,3,Causes,C,else,lose weight,jogging
conet-229302-r,4,Causes,C,else,listening to classical muskic,attending classical concert
conet-16813352-r,5,HasPrerequisite,HPre,else,preparing for vote,informing voters
conet-229632-r,6,Causes,C,else,misunderstanding,being clever
conet-16815128-r,7,HasPrerequisite,HPre,else,sate hunger,make snack
conet-16796471-r,8,HasLastSubevent,HLS,else,clean brushes,paint
conet-16800799-r,9,HasPrerequisite,HPre,else,conduct trial,get judge and jury
conet-231396-r,0,Causes,C,else,human body to sweat,cooling off
conet-16779074-r,1,HasFirstSubevent,HFS,else,buy shirt,choose shirt to buy
conet-244964-r,2,Causes,C,else,seeing wildlife,walking around lake
conet-238239-r,3,Causes,C,else,other people will not trust,lying
conet-16781875-r,4,HasFirstSubevent,HFS,else,travel,leave
conet-16813516-r,5,HasPrerequisite,HPre,else,program,test components separately
conet-16800959-r,6,HasPrerequisite,HPre,else,contemplating,intelligence
conet-16799617-r,7,HasPrerequisite,HPre,else,buying hamburger,finding restaurant
conet-322992-r,8,CausesDesire,CD,else,wash clothes,smelling badly
conet-16815851-r,9,HasPrerequisite,HPre,else,serve customers,wash hands
conet-16801533-r,0,HasPrerequisite,HPre,else,debate politics,find easy
conet-16806573-r,1,HasPrerequisite,HPre,else,go to restaurant,order meal
conet-16815927-r,2,HasPrerequisite,HPre,else,set cup on table,let go of cup
conet-233139-r,3,Causes,C,else,breathing,exercising
conet-16813133-r,4,HasPrerequisite,HPre,else,playing soccer,skill
conet-16781117-r,5,HasFirstSubevent,HFS,else,prove physical endurance,pass test of physical endurance
conet-243261-r,6,Causes,C,else,finding out all kinds of information,surfing web
conet-236867-r,7,Causes,C,else,more respect,improving image
conet-234447-r,8,Causes,C,else,better circumstances,giving assistance
conet-16816870-r,9,HasPrerequisite,HPre,else,start fire,make one
conet-231788-r,0,Causes,C,else,making good software,designing software
conet-230133-r,1,Causes,C,else,short term improvrishment long term gain,buying house
conet-243292-r,2,Causes,C,else,funny,surprising
conet-243132-r,3,Causes,C,else,good grades,studying
conet-16817122-r,4,HasPrerequisite,HPre,else,stop bicycle,put hands on brakes
conet-244002-r,5,Causes,C,else,learn,teach
conet-16804840-r,6,HasPrerequisite,HPre,else,get in line,prepared to wait
conet-234506-r,7,Causes,C,else,solving problem,giving clue
conet-16818413-r,8,HasPrerequisite,HPre,else,teach other people,get degree
conet-16813669-r,9,HasPrerequisite,HPre,else,punch,find
conet-16809399-r,0,HasPrerequisite,HPre,else,kill,loose all of morals
conet-16807482-r,1,HasPrerequisite,HPre,else,hang out at bar,look for women
conet-16802235-r,2,HasPrerequisite,HPre,else,drink alcohol,buy alcohol
conet-16798205-r,3,HasPrerequisite,HPre,else,advance into battle,yell charge
conet-16812028-r,4,HasPrerequisite,HPre,else,pay by check,tell waiter
conet-16801964-r,5,HasPrerequisite,HPre,else,do exercises,go to keep fit class
conet-320667-r,6,CausesDesire,CD,else,set cup on table,faltering strength in hand
conet-16801503-r,7,HasPrerequisite,HPre,else,dancing,rhythm
conet-321484-r,8,CausesDesire,CD,else,eat lunch,hunger around noon
conet-234745-r,9,Causes,C,else,tiredness,going for swim
conet-16810252-r,0,HasPrerequisite,HPre,else,listening to radio,receiver
conet-16804416-r,1,HasPrerequisite,HPre,else,forgive,feel compassion
conet-16800622-r,2,HasPrerequisite,HPre,else,committing to memory,remembering
conet-16807490-r,3,HasPrerequisite,HPre,else,hang out at bar,rethink priorities
conet-229484-r,4,Causes,C,else,being clean,bathing
conet-16810237-r,5,HasPrerequisite,HPre,else,listening to music,source of music
conet-16808842-r,6,HasPrerequisite,HPre,else,improve yourself,read good book
conet-242302-r,7,Causes,C,else,injuries,skating
conet-16814273-r,8,HasPrerequisite,HPre,else,record somethign,keep recards
conet-16816644-r,9,HasPrerequisite,HPre,else,spend money,go to mall
conet-16818829-r,0,HasPrerequisite,HPre,else,type,use fingers
conet-239805-r,1,Causes,C,else,creating sound,playing piano
conet-16779500-r,2,HasFirstSubevent,HFS,else,drive car,sit at driver's seat
conet-16796932-r,3,HasLastSubevent,HLS,else,verify satisfied,serve customers
conet-234164-r,4,Causes,C,else,feel stronger,getting in shape
conet-322955-r,5,CausesDesire,CD,else,have party,showing off
conet-233390-r,6,Causes,C,else,breaking,fiddling
conet-16807901-r,7,HasPrerequisite,HPre,else,have nervous breakdown,have split personality
conet-233430-r,8,Causes,C,else,may hurt or killed,fighting enemy
conet-16804398-r,9,HasPrerequisite,HPre,else,follow recipe,read recipe
conet-234188-r,0,Causes,C,else,decreased personal time,getting job
conet-16804813-r,1,HasPrerequisite,HPre,else,get in line,find out where ends
conet-16780601-r,2,HasFirstSubevent,HFS,else,lie,think
conet-16818333-r,3,HasPrerequisite,HPre,else,tape television show,program vcr
conet-16803333-r,4,HasPrerequisite,HPre,else,entertain people,clean house
conet-234782-r,5,Causes,C,else,seeing neighbors,going for walk
conet-16799986-r,6,HasPrerequisite,HPre,else,chew food,bite lot of times
conet-16817354-r,7,HasPrerequisite,HPre,else,studying for subject,research materials
conet-16779679-r,8,HasFirstSubevent,HFS,else,fight inflation,raise interest rates
conet-16807391-r,9,HasPrerequisite,HPre,else,growing vegetables,light
conet-239991-r,0,Causes,C,else,smack balls around,playing tennis
conet-16781382-r,1,HasFirstSubevent,HFS,else,see exhibits,look at art
conet-16809785-r,2,HasPrerequisite,HPre,else,learn about subject,decide if interested
conet-239125-r,3,Causes,C,else,release of tension,passing course
conet-16808222-r,4,HasPrerequisite,HPre,else,having physical exam,being weighed
conet-236752-r,5,Causes,C,else,stomach ache,howling with laughter
conet-230512-r,6,Causes,C,else,will laugh,chatting with friends
conet-16796766-r,7,HasLastSubevent,HLS,else,proceed onto next task,receive degree
conet-16796627-r,8,HasLastSubevent,HLS,else,put away ball,play soccer
conet-16804162-r,9,HasPrerequisite,HPre,else,fishing,fish in water
conet-16811359-r,0,HasPrerequisite,HPre,else,meet people,go where people
conet-16818437-r,1,HasPrerequisite,HPre,else,teaching at uoit as faculty members,phd and educational teaching experience
conet-16814919-r,2,HasPrerequisite,HPre,else,run in marathon,train for many months beforehand
conet-239610-r,3,Causes,C,else,reaching stalemate,playing game
conet-16810018-r,4,HasPrerequisite,HPre,else,leaving line,giving up place
conet-16803046-r,5,HasPrerequisite,HPre,else,eating hamburger,teeth
conet-16779582-r,6,HasFirstSubevent,HFS,else,eat lunch,pick up cutlery
conet-244899-r,7,Causes,C,else,resentment,waking up in morning
conet-16794728-r,8,HasLastSubevent,HLS,else,eat cake,bake cake
conet-16814494-r,9,HasPrerequisite,HPre,else,remembering,prior knowledge of
conet-16809472-r,0,HasPrerequisite,HPre,else,killing,hatred or cold heartedness
conet-16796995-r,1,HasLastSubevent,HLS,else,jump off board,skateboard
conet-16814704-r,2,HasPrerequisite,HPre,else,ride bike,know rules of road
conet-16800326-r,3,HasPrerequisite,HPre,else,climb ladder,have ladder
conet-244780-r,4,Causes,C,else,falling asleep,waiting on line
conet-16816974-r,5,HasPrerequisite,HPre,else,stay healthy,eat healthy foods
conet-16801129-r,6,HasPrerequisite,HPre,else,cooking meal,having ingredients
conet-244667-r,7,Causes,C,else,seeing artifacts,visiting museum
conet-235970-r,8,Causes,C,else,becoming wet,having bath
conet-16810847-r,9,HasPrerequisite,HPre,else,make better world,start wiyh
conet-322584-r,0,CausesDesire,CD,else,have party,promotion
conet-16802501-r,1,HasPrerequisite,HPre,else,eat,chew food
conet-16805088-r,2,HasPrerequisite,HPre,else,get warm,snuggle under blanket
conet-16802152-r,3,HasPrerequisite,HPre,else,dressing nice,good taste
conet-238445-r,4,Causes,C,else,one of kind creation,making patchwork quilt
conet-320113-r,5,CausesDesire,CD,else,visit museum,curiosity
conet-322618-r,6,CausesDesire,CD,else,compete,racing cars
conet-16778963-r,7,HasFirstSubevent,HFS,else,breathe,expand lungs
conet-243029-r,8,Causes,C,else,rear tire to slide,stopping bicycle
conet-244024-r,9,Causes,C,else,accomplish,telling many people about
conet-242337-r,0,Causes,C,else,injury,skiing
conet-234698-r,1,Causes,C,else,get tired,going for run
conet-16778956-r,2,HasFirstSubevent,HFS,else,bored,go on 4chan
conet-236294-r,3,Causes,C,else,spending money,having lunch
conet-16780061-r,4,HasFirstSubevent,HFS,else,go to mall,look for friends
conet-236165-r,5,Causes,C,else,drink all booze,having friends over
conet-231866-r,6,Causes,C,else,eating meal,diminishing own hunger
conet-233254-r,7,Causes,C,else,sing,expressing yourself
conet-16804728-r,8,HasPrerequisite,HPre,else,get exercise,move
conet-16800209-r,9,HasPrerequisite,HPre,else,clean house,wear grubby clothes
conet-16801988-r,0,HasPrerequisite,HPre,else,do housework,assemble cleaning materials
conet-16805365-r,1,HasPrerequisite,HPre,else,give gift,buy gift
conet-16806373-r,2,HasPrerequisite,HPre,else,go to movie,find to go with
conet-239415-r,3,Causes,C,else,hitting or catching ball,playing baseball
conet-16810158-r,4,HasPrerequisite,HPre,else,listen,not talk so much yourself
conet-16804603-r,5,HasPrerequisite,HPre,else,get clean,take bath
conet-234343-r,6,Causes,C,else,tired muscles,getting physical activity
conet-16779298-r,7,HasFirstSubevent,HFS,else,cook meal,prepare food
conet-234896-r,8,Causes,C,else,phone line to busy,going on internet
conet-16817761-r,9,HasPrerequisite,HPre,else,take exam,bring 2 pencil
conet-16804388-r,0,HasPrerequisite,HPre,else,follow recipe,make sure have ingredients
conet-16804751-r,1,HasPrerequisite,HPre,else,get fit,exercise
conet-244531-r,2,Causes,C,else,mindrot,using vcr
conet-16815042-r,3,HasPrerequisite,HPre,else,running after ball,good physical condition
conet-237612-r,4,Causes,C,else,being able to act more wisely,learning about world
conet-16807967-r,5,HasPrerequisite,HPre,else,have physical exam,ask doctor
conet-16798716-r,6,HasPrerequisite,HPre,else,bathe,find water
conet-322926-r,7,CausesDesire,CD,else,knit,severe bordom
conet-242696-r,8,Causes,C,else,adjusting distance between oneself and others,standing in queue
conet-16804095-r,9,HasPrerequisite,HPre,else,finding information,search
conet-233877-r,0,Causes,C,else,feeling bad inside,getting away with crime
conet-241806-r,1,Causes,C,else,thinking about,seeing story
conet-234609-r,2,Causes,C,else,see scenery,going for drive
conet-238787-r,3,Causes,C,else,driving,moving car
conet-16805188-r,4,HasPrerequisite,HPre,else,getting divorce,paperwork
conet-16805293-r,5,HasPrerequisite,HPre,else,getting up early,alarm clock
conet-241840-r,6,Causes,C,else,intelligence,selling new book
conet-323271-r,7,CausesDesire,CD,else,eat breakfast in bed,tiffany
conet-16811556-r,8,HasPrerequisite,HPre,else,open bag of chips,grasp both sides and pull
conet-240901-r,9,Causes,C,else,beign able to dial quickly,remembering phone number
conet-240429-r,0,Causes,C,else,testimony,putting on stand
conet-232999-r,1,Causes,C,else,happiness long life,enjoying day
conet-16814887-r,2,HasPrerequisite,HPre,else,run errands,make time for
conet-16802384-r,3,HasPrerequisite,HPre,else,drive to work,gas up car
conet-16795332-r,4,HasLastSubevent,HLS,else,use bathroom,eat
conet-231412-r,5,Causes,C,else,alimonyu,copulating
conet-16801871-r,6,HasPrerequisite,HPre,else,discover truth,work very hard on investigation
conet-16797353-r,7,HasLastSubevent,HLS,else,go through exit,visit museum
conet-241225-r,8,Causes,C,else,being lackey,running errands
conet-322522-r,9,CausesDesire,CD,else,take examination,poor vision
conet-16812430-r,0,HasPrerequisite,HPre,else,play chess,find partner to play with
conet-16800830-r,1,HasPrerequisite,HPre,else,conquer nation,amass army and funds
conet-231456-r,2,Causes,C,else,wish hadn't,copulating
conet-323153-r,3,CausesDesire,CD,else,fish,summer
conet-16811645-r,4,HasPrerequisite,HPre,else,opening business,capitol
conet-229001-r,5,Causes,C,else,entertaining others,acting in play
conet-234300-r,6,Causes,C,else,have money to spend,getting paid
conet-16812051-r,7,HasPrerequisite,HPre,else,pay by credit card,have money in bank
conet-16817286-r,8,HasPrerequisite,HPre,else,study,open book
conet-244482-r,9,Causes,C,else,tiredness,using computer
conet-230856-r,0,Causes,C,else,gratifying,comforting friend
conet-16812493-r,1,HasPrerequisite,HPre,else,play frisbee,have friend
conet-16780047-r,2,HasFirstSubevent,HFS,else,go to get haircut,grow hair
conet-241390-r,3,Causes,C,else,ok,sating hunger
conet-16780497-r,4,HasFirstSubevent,HFS,else,jump up and down,get naked
conet-322168-r,5,CausesDesire,CD,else,study for subject,needing good grade
conet-16799582-r,6,HasPrerequisite,HPre,else,buying,money
conet-320736-r,7,CausesDesire,CD,else,sit on chair,feeling faint or ill
conet-237113-r,8,Causes,C,else,hurting yourself,jumping off high
conet-16816202-r,9,HasPrerequisite,HPre,else,sit quietly,not talk
conet-244102-r,0,Causes,C,else,safer car,testing car
conet-16817445-r,1,HasPrerequisite,HPre,else,surf web,look for links
conet-16805155-r,2,HasPrerequisite,HPre,else,getting away with crime,luck
conet-16810352-r,3,HasPrerequisite,HPre,else,look better,exercise more often
conet-239172-r,4,Causes,C,else,graduating on time,passing university exams
conet-320023-r,5,CausesDesire,CD,else,keep things orderly and tidy,conscientiousness
conet-243693-r,6,Causes,C,else,getting answers incorrect,taking midterm
conet-233052-r,7,Causes,C,else,keep stimulated,entertaining
conet-241809-r,8,Causes,C,else,weeping,seeing story
conet-234273-r,9,Causes,C,else,finding way too much to read,getting onto web
conet-16799679-r,0,HasPrerequisite,HPre,else,calculate things quickly,gather data
conet-16802690-r,1,HasPrerequisite,HPre,else,eat dinner,food to eat
conet-16801280-r,2,HasPrerequisite,HPre,else,create art,seek inspiration
conet-241556-r,3,Causes,C,else,being entertained,seeing exciting story
conet-320821-r,4,CausesDesire,CD,else,have epileptic fit,flashing lights
conet-237397-r,5,Causes,C,else,smeared lipstick,kissing
conet-16794904-r,6,HasLastSubevent,HLS,else,determine life or death,check vital signs
conet-16805801-r,7,HasPrerequisite,HPre,else,go off strike,get work clothes from cleaners
conet-236856-r,8,Causes,C,else,change for better,improving image
conet-320440-r,9,CausesDesire,CD,else,go for walk,dog
conet-16817854-r,0,HasPrerequisite,HPre,else,take finals,in school
conet-16803805-r,1,HasPrerequisite,HPre,else,fight enemy,use weapon
conet-16819052-r,2,HasPrerequisite,HPre,else,using television,eyes and ears
conet-16819172-r,3,HasPrerequisite,HPre,else,visit art gallery,go to tate
conet-16804470-r,4,HasPrerequisite,HPre,else,gain more land,find willing seller
conet-16800338-r,5,HasPrerequisite,HPre,else,climb mountain,form party
conet-323379-r,6,CausesDesire,CD,else,go to hairdresser,vanity
conet-237307-r,7,Causes,C,else,grief,killing people
conet-16808245-r,8,HasPrerequisite,HPre,else,having physical examination,doctor
conet-16818763-r,9,HasPrerequisite,HPre,else,travel,pack light
conet-242648-r,0,Causes,C,else,bleeding,stabbing to death
conet-16812537-r,1,HasPrerequisite,HPre,else,play game of chess,buy chess set
conet-16801596-r,2,HasPrerequisite,HPre,else,decide criminal's fate,vigilante
