id,fold,type,label,text1,text2
because-CHRG-110hhrg44900-2.ann-E26-r,2,Purpose,else,our department work creatively with the Department of Education,deal with a problem that's here and now
because-1853772.ann-E3-r,3,Consequence,else,Mr. Bush looked a tad sheepish when Prime Minister Sali Berisha proclaimed him ``the greatest and most distinguished guest we have ever had in all times.'',so freely
because-wsj_1446.ann-E3-r,4,Motivation,else,a receptionist refers the call to one of six attorneys,a caller reaches Telelawyer by dialing 900-TELELAW
because-wsj_1630.ann-E2-r,5,Motivation,else,most of whom will be moved to downtown Brooklyn,the bank's new back office center is completed in 1993
because-CHRG-110hhrg44900-1.ann-E43-r,6,Consequence,else,irreparable harm,a run-on-the-bank type crises
because-20020731-nyt.ann-E156-r,7,Motivation,else,"Two of the court's members, Chief Justice Deborah T. Poritz and Justice Peter G. Verniero, did not participate in the Nelson case",both are former attorneys general
because-wsj_1971.ann-E14-r,8,Consequence,else,Broad acceptance of Next's computer,difficulty in distributing software for it
because-1852197.ann-E26-r,9,Motivation,else,"there's been a reinfiltration'' by Shiite fighters and intimidation squads, who had left the area when the operation began",the Stryker unit has moved on to a different area of Baghdad
because-1853957.ann-E14-r,0,Consequence,else,much more accountability than in the past,the new procedures
because-CHRG-110hhrg44900-2.ann-E92-r,1,Motivation,else,acknowledge also Chairman Frank,having these hearings
because-1854364.ann-E15-r,2,Consequence,else,meet requirements for forces in Baghdad,the Iraqi security forces be expanded again next year
because-wsj_2465.ann-E10-r,3,Consequence,else,the state of press freedom in the Americas still must be regarded as grim,journalists and their families are subject to the crudest form of censorship: death by assassination
because-1852704.ann-E6-r,4,Purpose,else,send troops over the border,"hunt down P.K.K. rebels, who favor an independent Kurdistan"
because-1853336.ann-E4-r,5,Motivation,else,"the State Department imposed sanctions on Sukhoi -- a Boeing partner even at the time, though a company better known as a maker of fighter jets",doing business in Iran
because-1855590.ann-E13-r,6,Consequence,else,casualties,three exploded
because-wsj_1397.ann-E8-r,7,Purpose,else,I'm going home,try a little linguine
because-CHRG-110hhrg44900-2.ann-E51-r,8,Purpose,else,you're giving a break to the borrower,the borrower can stay in the home
because-wsj_1829.ann-E8-r,9,Consequence,else,which has only a four-day supply of microprocessors from the Valley on hand,a just-in-time manufacturing approach that limits the buildup of inventory
because-1852197.ann-E27-r,0,Motivation,else,who had left the area,the operation began
because-1852912.ann-E2-r,1,Motivation,else,"Colonel Chessani, then a teenager from Rangely, Colo. follow two brothers into the service",news of the attack by Muslim extremists on a Marine Corps barracks in Beirut that killed 241 service members
because-1821059.ann-E30-r,2,Consequence,else,they should resign,there are some members who think there is no benefit to attending
because-1852142.ann-E4-r,3,Consequence,else,that will work,"Mr. Bush sticks to his administration's pledge to have its efforts feed into United Nations climate discussions, which resume in Bali in December"
because-wsj_1413.ann-E2-r,4,Consequence,else,Mr. Cheney would need only permission from the White House Office of Management and Budget to move the money,the request is approved by both the House and Senate
because-1851335.ann-E13-r,5,Purpose,else,real-time information was used,hold police commanders responsible for upticks in crime under their commands
because-1852912.ann-E1-r,6,Motivation,else,"Colonel Chessani, then a teenager from Rangely, Colo. embrace Christianity",news of the attack by Muslim extremists on a Marine Corps barracks in Beirut that killed 241 service members
because-wsj_1121.ann-E18-r,7,Motivation,else,the company will pay a bonus equal to one-third its value,they spy one
because-1854626.ann-E1-r,8,Motivation,else,who as a presidential candidate has already drawn criticism,changes in his positions on other social issues
because-wsj_2125.ann-E5-r,9,Consequence,else,his management team in their proposed LBO,lower prices
because-1852142.ann-E13-r,0,Purpose,else,The Kyoto pact was sent to the Senate,approval
because-1852935.ann-E13-r,1,Purpose,else,adopt a more multilateral approach,combat ``the long-term forces of terrorism
because-CHRG-110hhrg44900-1.ann-E133-r,2,Motivation,else,I congratulate the officials of this Administration,having done a good job in the current legal context of dealing with these problems
because-CHRG-110hhrg44900-1.ann-E126-r,3,Consequence,else,fail,too big or interconnected
because-1820510.ann-E1-r,4,Consequence,else,the deaths of four unarmed Iraqi men during a raid in May,improper orders
because-wsj_1971.ann-E7-r,5,Purpose,else,they are buying small numbers,evaluation purposes
because-20020731-nyt.ann-E12-r,6,Motivation,else,"it recommended that Bob Packwood, an Oregon Republican, be expelled",sexual and official misconduct
because-1853957.ann-E11-r,7,Motivation,else,still smarting,Democratic accusations of earmark abuse under Republican control
because-1855590.ann-E24-r,8,Consequence,else,one soldier was killed late Sunday,an improvised explosive device exploded near a foot patrol in a southern part of the capital
because-wsj_1457.ann-E5-r,9,Consequence,else,put George Bush in the White House,whose last big campaign
because-1854005.ann-E9-r,0,Consequence,else,it harder for legal immigrants in the United States to bring over spouses or children,a provision in an immigration bill
because-CHRG-110hhrg44900-2.ann-E39-r,1,Consequence,else,a lot of this problem came about,sloppy and lax mortgage origination procedures
because-wsj_1803.ann-E24-r,2,Purpose,else,get there,help family and friends
because-1818333.ann-E4-r,3,Purpose,else,pulling back,let the Iraqi factions fight it out
because-1855233.ann-E11-r,4,Consequence,else,the army come up with a strategy that would lead to its successful withdrawal,too late
because-1855594.ann-E11-r,5,Consequence,else,"inspectors verify and monitor the shutdown in return for a 50,000-ton shipment of fuel oil",North Korea
because-1854824.ann-E2-r,6,Motivation,else,"He attacks Senator Harry Reid, the Democratic leader",saying the war was ``lost.''
because-CHRG-110hhrg44900-2.ann-E49-r,7,Motivation,else,I want to know if you have anything in your plans to deal with them,"after we get finished with all of the President's HOPE NOW program and the money that we are giving to NeighborWorks and other organizations to do counseling, they can't do very much good, because the servicers are the ones who make the decisions"
because-1824078.ann-E4-r,8,Consequence,else,employees who have won jury awards also collecting full disability pensions,One change
because-1852919.ann-E7-r,9,Consequence,else,the damage that ending the investigation was designed to prevent,disclosing confidential information about Al Yamamah
because-1854575.ann-E10-r,0,Consequence,else,the bill go through,Mr. Spitzer's arrival in Albany
because-wsj_0026.ann-E1-r,1,Motivation,else,The action came,a petition filed by Timex Inc. for changes in the U.S. Generalized System of Preferences for imports from developing nations
because-wsj_2070.ann-E1-r,2,Consequence,else,the currency rebound to close mixed against major counterparts,profit-taking on short positions
because-wsj_1849.ann-E5-r,3,Consequence,else,"history is, so to speak, at an end",the course of human progress has now culminated in the glorious full stop of American civilization
because-CHRG-110hhrg44900-1.ann-E19-r,4,Consequence,else,we dodged a bullet when Bear Stearns collapsed,the fast action of the Federal Reserve in cooperation with the SEC and the Treasury
because-wsj_1874.ann-E6-r,5,Purpose,else,the bond market will go back to looking at the next batch of economic numbers,determine'' where interest rates are heading
because-wsj_1849.ann-E6-r,6,Consequence,else,Builders get away with using sand and financiers junk,"society decides it's okay, necessary even, to look the other way"
because-wsj_1700.ann-E3-r,7,Consequence,else,they squeeze out everyone else,their ideology and methods
because-wsj_1874.ann-E14-r,8,Purpose,else,created,rescue the nation's troubled thrifts
because-CHRG-110hhrg44900-1.ann-E64-r,9,Motivation,else,a lender not lending to a borrower,the lender is sure that the borrower will be able to repay
because-1852142.ann-E25-r,0,Purpose,else,Give us a press conference,say what you've done yesterday
because-1819714.ann-E3-r,1,Consequence,else,the measure did nothing to improve access to college,it only helped ease the burden of repayment for graduates
because-ArticleIP_1060.ann-E26-r,2,Consequence,else,multiple doctors certify the findings,Some
because-wsj_1649.ann-E10-r,3,Consequence,else,the book that much more enjoyable,A little more care in re-creating Marlowe's universe
because-1855590.ann-E18-r,4,Consequence,else,Al Qaeda will stay and the occupation will stay,you stay divided
because-wsj_1121.ann-E11-r,5,Purpose,else,"gemsbok, hardy antelope with long straight horns, wander in from the desert",drink from water sprinklers
because-wsj_1450.ann-E18-r,6,Motivation,else,some entrepreneurs may give up a business,fear for their lives
because-wsj_1450.ann-E36-r,7,Consequence,else,Small-business patrols would be an especially helpful gesture,a small-business person is scheduled to testify against a robbery suspect
because-wsj_1971.ann-E3-r,8,Consequence,else,"The hard drive, which is the storage device of choice for virtually every desktop computer user, also now will supplement Next's futuristic optical device",buyers pay full price
because-wsj_1353.ann-E16-r,9,Motivation,else,Australia and Canada also assailed the British prime minister,criticizing the 49-nation group's call for Pretoria to ease apartheid
because-wsj_2125.ann-E14-r,0,Consequence,else,management,Prices for retail chains are lower today than they were last week
because-CHRG-110hhrg44900-2.ann-E98-r,1,Consequence,else,our monetary policy disrupts the markets,we create interest rates below market rates
because-CHRG-110hhrg44900-1.ann-E196-r,2,Consequence,else,"To the extent that we can glean further insight from our panelists today, that would be of tremendous help",it is true that speculators bear blame
because-CHRG-110hhrg44900-2.ann-E58-r,3,Purpose,else,that can provide a sense of security,"prevent self-fulfilling prophesies, to use, you know, Jeffrey Lacker's words, with respect to runs on our financial institutions"
because-1851286.ann-E11-r,4,Motivation,else,"cooperation will continue to suffer, as will the communities themselves",that relationship is healed
because-1852197.ann-E19-r,5,Consequence,else,it was replacing a lone American Army company of 125 soldiers,"the battalion, commanded by Lt. Col. Patrick Frank, moved in"
because-CHRG-110hhrg44900-1.ann-E201-r,6,Consequence,else,all future bouts of market instability,regulation alone
because-20020731-nyt.ann-E82-r,7,Consequence,else,you can learn a lot and be something,you have the will and the dedication here
because-1851278.ann-E4-r,8,Purpose,else,open the route in Helmand up to the Kajaki dam this year,secure the area and allow engineers to move in and repair and upgrade the dam
because-CHRG-110hhrg44900-2.ann-E21-r,9,Motivation,else,take certain actions to prevent systemic risk,over the next 9-month period the Congress is not able to act and you discern that the powers you have are not adequate to meet the challenges
because-20020731-nyt.ann-E147-r,0,Consequence,else,at least the appearance of impropriety,your actions and failure to act
because-CHRG-110hhrg44900-1.ann-E169-r,1,Consequence,else,work through these challenges,additional time
because-1851265.ann-E35-r,2,Purpose,else,U.P.S. engaged in sham transactions,avoid hundreds of millions of dollars in corporate income taxes
because-1851265.ann-E26-r,3,Purpose,else,that could be carried back,wipe out prior capital gains
because-1855648.ann-E25-r,4,Motivation,else,institutionalized,"he claimed Satan had ordered him to kill two boys, ages 6 and 9"
because-wsj_1603.ann-E4-r,5,Motivation,else,Mr. Chan was jailed three times between 1960 and 1974,his troubles
because-CHRG-110hhrg44900-2.ann-E64-r,6,Purpose,else,do some things,"strengthen the infrastructure we have, the over-the-counter derivative market, the tri-party repossession market, and that which is secured financing between institutions"
because-CHRG-110hhrg44900-2.ann-E96-r,7,Consequence,else,it must have happened,we didn't have enough regulation
because-1853336.ann-E9-r,8,Consequence,else,a delivery agreement for 2010 expire,Aeroflot
because-1852710.ann-E12-r,9,Consequence,else,who died,the Normandy invasion
because-1851265.ann-E21-r,0,Purpose,else,used by the company,generate the claimed loss
because-CHRG-110hhrg44900-2.ann-E3-r,1,Purpose,else,we can do,strengthen the oversight under existing statutes
because-20020731-nyt.ann-E5-r,2,Motivation,else,"Torricelli took the Senate floor Tuesday night to apologize to the people of New Jersey for allowing his seat in the chamber ""to be placed in this position.""",the committee released its letter publicly
because-Article247_327.ann-E7-r,3,Consequence,else,it scores an additional three points,it has published three times since the initial omission
because-NYTnewswire4.ann-E8-r,4,Consequence,else,his size is closer to Peyton's,Eli has put on about 15 pounds and weighs about 220
because-wsj_1603.ann-E7-r,5,Purpose,else,He was further questioned,determine if he was ``a real working man or an exploiter.''
because-wsj_1446.ann-E18-r,6,Purpose,else,pay $11.5 million overall,settle with states
because-ArticleIP_1060.ann-E23-r,7,Consequence,else,too much oxygen,the ventilator
because-CHRG-110hhrg44900-1.ann-E106-r,8,Consequence,else,threats to the systemic stability of the economy,unconstrained risk-taking in a group of financial institutions outside the commercial banking system
because-20020731-nyt.ann-E13-r,9,Motivation,else,SENATE ETHICS PANEL ADMONISHES NEW JERSEY SENATOR,CONDUCT RELATED TO GIFTS
because-wsj_2465.ann-E3-r,0,Consequence,else,$2.5 million in damage,They bombed the Bogota offices last month
because-wsj_1971.ann-E12-r,1,Consequence,else,the delays,the optical device
because-1851265.ann-E29-r,2,Consequence,else,"such legitimate and common transactions as liquidating a controlled subsidiary, conducting a spinoff for antitrust reasons, and stock repurchases through surplus funds could be deemed illegitimate",the economic substance doctrine were turned into a law with profit requirements
because-CHRG-110hhrg44900-1.ann-E25-r,3,Purpose,else,we must see to it that no firm should be considered too big or interconnected to fail,preserve market discipline and discourage moral hazard
because-CHRG-110hhrg44900-2.ann-E52-r,4,Motivation,else,"Let me ask, Mr. Secretary, that you respond in writing on the servicer issue",our time constraints
because-20020731-nyt.ann-E46-r,5,Consequence,else,who is serving a 15-year sentence on charges of sodomy and abuse of power,"trials that Powell said the United States had ""always felt"" were flawed"
because-1822572.ann-E23-r,6,Motivation,else,now he sees a major fight looming with Mr. Spitzer,the new governor warned last Friday that health care spending must reflect the patients' needs and not politics and entrenched interests -- a statement that Mr. Rivera interpreted as an attack on 1199
because-CHRG-110hhrg44900-1.ann-E208-r,7,Consequence,else,manage the risks that they face,the necessary procedures and controls
because-1821517.ann-E22-r,8,Purpose,else,who had been sent to Africa,investigate reports that Saddam Hussein was trying to buy uranium from Niger for his nuclear weapons program
because-1821517.ann-E14-r,9,Motivation,else,"Stephen J. Hadley, the deputy national security adviser, expressed anger",receiving a query from Andrea Mitchell of NBC
because-1854626.ann-E10-r,0,Motivation,else,"he supports stem cell research on new and existing lines, in both private and federally funded settings",that reason
because-wsj_1504.ann-E13-r,1,Consequence,else,all,It increases employee commitment to the company
because-1822572.ann-E10-r,2,Consequence,else,the factions fighting,the police intervened
because-wsj_1829.ann-E1-r,3,Consequence,else,many workers were forced to stay home,damaged roadways
because-wsj_1963.ann-E1-r,4,Motivation,else,Hopes for quick enactment of pending deficit-reduction legislation faded,efforts to streamline the House version in advance of a House-Senate conference broke down
because-wsj_1455.ann-E11-r,5,Consequence,else,"him sensitive to the limits on food, power and water supplies",Living in Hong Kong
because-1852710.ann-E6-r,6,Motivation,else,the Bush administration more recently has made efforts to heal the trans-Atlantic rift,it seeks allies against Islamic radicalism and European help through NATO for the fighting in Afghanistan
because-wsj_2465.ann-E4-r,7,Motivation,else,El Espectador has been a special target,the extraordinary courage of its publisher and his staff
because-CHRG-110hhrg44900-2.ann-E85-r,8,Consequence,else,risk to its clearing operations,Bear Stearns' trading operation
because-1855648.ann-E31-r,9,Motivation,else,not guilty,insanity
because-wsj_1044.ann-E9-r,0,Consequence,else,The action,the Senate approved the House-passed measure
because-20020731-nyt.ann-E124-r,1,Consequence,else,its Maltese Falconesque history only recently came to light,documents unearthed during the five-year legal battle over its ownership
because-20020731-nyt.ann-E52-r,2,Purpose,else,outfielder Cliff Floyd was imported to Montreal,play a pivotal part in the Expos' playoff plans
because-wsj_1931.ann-E11-r,3,Motivation,else,nervousness over the recent sharp dive in stock prices could intensify,suggestions by Bank of Japan Governor Satoshi Sumita that appeared to advise Japanese investors to be very careful in investing in U.S. leveraged buy-outs
because-1851266.ann-E11-r,4,Motivation,else,India's unilateral commitment not to test nuclear weapons,existing conditions continuing
because-1853336.ann-E2-r,5,Consequence,else,which had appeared dead last year,relations between Russia and the United States soured
because-CHRG-110hhrg44900-1.ann-E182-r,6,Motivation,else,Steps are being taken to improve market infrastructure,our financial firms are highly intertwined
because-1851286.ann-E4-r,7,Consequence,else,courts should consider not putting the documents online,the life of the witness may be in jeopardy
because-1854005.ann-E8-r,8,Purpose,else,the two worked together,eliminate a provision in an immigration bill that would have made it harder for legal immigrants in the United States to bring over spouses or children
because-wsj_2033.ann-E16-r,9,Purpose,else,People often cite frugality and distrust of banks,justify cash caches to the IRS
because-20020731-nyt.ann-E187-r,0,Consequence,else,install modern pollution controls,they significantly upgrade older plants
because-1855648.ann-E4-r,1,Consequence,else,vote,too mentally impaired
because-1852197.ann-E24-r,2,Consequence,else,Gunmen regularly attacked trash trucks when they entered Sunni areas,the American military began providing security
because-wsj_0184.ann-E2-r,3,Motivation,else,they couldn't estimate the size of the charge,"they determine which employees, and how many, will participate in the retirement plan"
because-Article247_327.ann-E24-r,4,Motivation,else,awarding Rabinowitz bonus points,"having ""eventually convinced"" Broaddrick to grant an interview to the New York Times (as the Times reports in today's story)"
because-wsj_1874.ann-E24-r,5,Consequence,else,``wide-scale credit deterioration'' for issuers and debt issues in the 12-county area of Northern California affected by the quake,the quake
because-wsj_1450.ann-E21-r,6,Consequence,else,the poverty of local residents,Underclass neighborhoods offer relatively few employment opportunities
because-CHRG-110hhrg44900-1.ann-E113-r,7,Motivation,else,the Congress may wish to consider whether new tools are needed for ensuring an orderly liquidation of a systemically important securities firm that is on the verge of bankruptcy together with a more formal process for deciding when to use those tools,the Bear Stearns episode
because-1855594.ann-E7-r,8,Motivation,else,The money was frozen,"the United States accused the bank, Banco Delta Asia, of complicity in financial crimes on behalf of North Korea"
because-CHRG-110hhrg44900-2.ann-E74-r,9,Consequence,else,be safe and sound,do
because-CHRG-110hhrg44900-2.ann-E134-r,0,Consequence,else,distinguish between fundamental and nonfundamental runs on financial institutions,considering intervention by the regulators
because-wsj_1450.ann-E30-r,1,Consequence,else,satisfy small businesses,enough police
because-CHRG-111shrg61651.ann-E36-r,2,Motivation,else,"I think the two keys to Mr. Volcker's suggestion, that of segregation of function within the industry and particularly the protection of the large deposit-taking institutions and the idea of being concerned about size, have merit and deserve the consideration of this Committee","the issue of size, I think, is also relevant"
because-1851266.ann-E12-r,3,Motivation,else,clearly India cannot be expected to continue its moratorium,"China, Pakistan or another country were to test"
because-1851335.ann-E7-r,4,Purpose,else,Mr. Giuliani used the endorsement event,announce an ambitious proposal to set up a system to monitor and measure the success of nearly every federal agency
because-1852031.ann-E8-r,5,Consequence,else,overthrow the Islamist movement that controlled Somalia for six months last year,American forces
because-wsj_1603.ann-E34-r,6,Consequence,else,we can't compete with neighboring countries,Vietnam's poor-quality products
because-CHRG-110hhrg44900-1.ann-E94-r,7,Consequence,else,ensure that those firms have the financial strength needed to withstand conditions of extreme market stress,the Federal Reserve
because-1818253.ann-E10-r,8,Consequence,else,Iraq a more prosperous country,the Iraqi government
because-CHRG-110hhrg44900-2.ann-E18-r,9,Purpose,else,We are currently looking at that,the hope that we will make a clearer statement about when private equity can come in and add capital to the banking system
because-1854017.ann-E14-r,0,Motivation,else,"there is a tacit understanding that while the Tawafiq coalition would nominate a Sunni Arab, it would first obtain approval from the Shiite and Kurdish blocs",the entire Parliament must vote on the speaker
because-Article247_327.ann-E12-r,1,Motivation,else,taunting the rest of the press,not following it on the story
because-1855648.ann-E33-r,2,Motivation,else,under full guardianship,mental illness
because-1851287.ann-E4-r,3,Consequence,else,this the first coffee table able to tell you to get a coaster for that drink,Surface will be able to recognize objects placed upon it
because-1855590.ann-E2-r,4,Purpose,else,attacking several insurgent strongholds simultaneously,tamp down violence throughout the country
because-1854824.ann-E6-r,5,Purpose,else,One held a ``Señor Flipper'' sign,appeal to Spanish-speaking voters or dolphins
because-wsj_1455.ann-E5-r,6,Consequence,else,"as much of the Polish center as possible will be made from aluminum, steel and glass recycled from Warsaw's abundant rubble",Mr. McDonough's plans get executed
because-CHRG-110hhrg44900-1.ann-E44-r,7,Consequence,else,"future, similar bailouts that can put taxpayer dollars at risk",the Federal Government what do
because-1851265.ann-E12-r,8,Consequence,else,rigidity that defeats the function that the doctrine has played over the years,Codifying it into law
because-1854158.ann-E1-r,9,Consequence,else,an exchange of fire,mistaken identity
because-1855594.ann-E5-r,0,Purpose,else,"it would send a team to Pyongyang, the North Korean capital, next week",discuss how its inspectors would verify the shutdown
because-1845580.ann-E16-r,1,Consequence,else,The cold war,years
because-wsj_1121.ann-E17-r,2,Motivation,else,The Caterpillar people aren't too happy,they see their equipment used like that
because-wsj_1849.ann-E2-r,3,Consequence,else,The extent of the disaster,years of chicanery and bureaucratic indifference
because-wsj_1803.ann-E7-r,4,Motivation,else,Santa Fe resumed service at 10:45 p.m.,they found no damage
because-1855648.ann-E27-r,5,Consequence,else,jailed felons vote,Maine and Vermont
because-wsj_1506.ann-E20-r,6,Consequence,else,restrictions the White House said have hampered its freedom of action,Congress
because-wsj_1041.ann-E17-r,7,Consequence,else,that has been profiteering,this drug for 2 1/2 years
because-1821517.ann-E1-r,8,Consequence,else,Ms. Martin's testimony may prove especially damaging to Mr. Libby,her perspective as a former insider in the vice president's office and as a former colleague of Mr. Libby
because-20020731-nyt.ann-E117-r,9,Motivation,else,having been arrested by Secret Service agents,trying to sell the coin in the Waldorf-Astoria Hotel in Manhattan
because-wsj_1698.ann-E19-r,0,Motivation,else,they'll sign up,he and his colleagues are serious about kicking their compulsions
because-20020731-nyt.ann-E151-r,1,Motivation,else,"The court, vacating Nelson's death sentence for the second time, ruled",the jury could have been confused by instructions on the verdict sheet
because-1852919.ann-E12-r,2,Purpose,else,making payments to foreign officials,win contracts
because-20020731-nyt.ann-E68-r,3,Consequence,else,"all they have to do is come every day, come on time every day and work hard",they are in
because-1855590.ann-E3-r,4,Motivation,else,insurgents moved their bases outside the city,fresh infusions of American troops focused on Baghdad in recent months
because-wsj_2465.ann-E1-r,5,Motivation,else,The attacks have intensified,"the Colombian government began cracking down on the traffickers in August, trying to prevent their takeover of the country"
because-1851265.ann-E34-r,6,Motivation,else,Congress will enact economic substance codification,a large revenue estimate has been attached to it
because-1854575.ann-E17-r,7,Motivation,else,you reward people,bundling a million dollars
because-CHRG-110hhrg44900-1.ann-E118-r,8,Consequence,else,the stability of the broader financial system,key payment and settlement systems operate smoothly under stress effectively manage counterparty risk
because-1855590.ann-E26-r,9,Consequence,else,They,"raids on what American officials described as a secret network involved in transporting ``lethal aid'' from Iran to Iraq, particularly deadly roadside bombs known as explosively formed penetrators, or E.F.P.'s."
because-1851265.ann-E2-r,0,Consequence,else,the indictment of four current and former partners of the accounting firm Ernst & Young this week,the three-year federal investigation into tax shelter fraud
because-wsj_2465.ann-E15-r,1,Purpose,else,"meet within 90 days with Mr. Barco, President Alan Garcia of Peru and President Jaime Paz Zamora of Bolivia",discuss the drug problem
because-wsj_1685.ann-E2-r,2,Motivation,else,what hope have we for dealing with the wastes our economy produces,the most environmentally safe way of dealing with a national problem cannot be built in Atchinson County
because-wsj_1689.ann-E4-r,3,Consequence,else,"Deloitte, Haskins & Sells was known as Haskins & Sells","1978, when it added the ``Deloitte'' name of its British affiliate"
because-1852912.ann-E15-r,4,Consequence,else,infantrymen discern enemy targets from civilians,live-fire training
because-1855233.ann-E15-r,5,Consequence,else,broker an agreement that gradually shifted power from the army to civilians,sophisticated American diplomacy
because-wsj_1353.ann-E5-r,6,Motivation,else,The five astronauts returned to Earth about three hours early,high winds had been predicted at the landing site
because-wsj_1450.ann-E19-r,7,Motivation,else,One Washington couple recently sold their liquor store,34 years in business that included four robbery deaths and 16 robberies or burglaries on the premises
because-wsj_1248.ann-E7-r,8,Consequence,else,it would have been unreasonable to expect a better result,the volatility of the stock market since the launch of the issue
because-20020731-nyt.ann-E19-r,9,Motivation,else,The ethics panel also criticized Torricelli,taking two bronze statues on loan from Chang
because-20020731-nyt.ann-E28-r,0,Motivation,else,The United States cut virtually all military links with Indonesia in 1999,its forces were implicated in the violence that swept East Timor after that territory voted for independence
because-1819714.ann-E7-r,1,Motivation,else,attacking an incumbent,siding with bank lenders over middle-class voters
because-NYTnewswire4.ann-E10-r,2,Consequence,else,colleges to play 12 regular-season games,A change in the rules and a fluke in the calendar this season
because-1851335.ann-E10-r,3,Purpose,else,"he met yesterday in Los Angeles with Chief William J. Bratton of the Police Department, who was police commissioner when Mr. Giuliani was mayor of New York and an originator of the Compstat program",discuss how its basic concepts could be applied to government agencies
because-1852031.ann-E7-r,4,Motivation,else,"Somali officials contacted American officers in Djibouti, where there is a large American military base",a gun battle on Friday evening in which the militants wounded four Somali security agents and then melted into the mountains
because-wsj_1504.ann-E5-r,5,Motivation,else,Mr. Stone entered a conference room in a building near where he worked,the scheduled time
because-CHRG-110hhrg44900-1.ann-E102-r,6,Consequence,else,"it would be appropriate for the Treasury to take a leading role in any such process, in consultation with the firm's regulator and other authorities",the resolution of a failing securities firm might have fiscal implications
because-CHRG-110hhrg44900-1.ann-E56-r,7,Consequence,else,the immediate crisis,the run on Bear Stearns
because-CHRG-110hhrg44900-1.ann-E39-r,8,Consequence,else,keep hundreds of thousands of families in their homes,the HOPE NOW Alliance
because-wsj_1803.ann-E9-r,9,Motivation,else,"service on its north-south coastline, which is used by an Amtrak train between Los Angeles and Seattle, was suspended temporarily",kinked rails near the epicenter of the quake
because-1851278.ann-E2-r,0,Purpose,else,which had just dropped off soldiers,the operation
because-1852919.ann-E1-r,1,Motivation,else,the government canceled an official inquiry last December into the claims of corruption that have swirled around the transaction,so sensitive and potentially disruptive to British-Saudi relations
because-1852160.ann-E2-r,2,Motivation,else,they wouldn't play politics,their own interests
because-1854675.ann-E17-r,3,Motivation,else,All crossings from Israel and Egypt were closed,the fighting
because-1855233.ann-E18-r,4,Motivation,else,American aid,improved performance in the war on terror and an increase in Pakistan's spending on development and education
because-CHRG-111shrg61651.ann-E11-r,5,Consequence,else,you are going to have a big problem,the bubble bursts
because-wsj_1649.ann-E8-r,6,Motivation,else,who still doesn't hesitate to have Marlowe jailed,it suits his purposes
because-1852711.ann-E11-r,7,Consequence,else,Mrs. Merkel may be the president's best friend in Europe,"Prime Minister Tony Blair of Britain planning to leave office later this month, and the new French president, Nicolas Sarkozy, an unknown quantity to Mr. Bush"
because-1854573.ann-E10-r,8,Motivation,else,a death cult,people who are becoming Muslims are manipulated by radical fanatics
