id,reversed,fold,pos,split,label,text1,text2
antsyn-noun-train-2591-O,0,2,noun,train,ent,amplitude,size
antsyn-adj-train-4195-O,0,3,adj,train,ent,necessary,requisite
antsyn-adj-test-1637-O,0,4,adj,test,con,small,harsh
antsyn-adj-test-794-O,0,5,adj,test,con,conventional,atypical
antsyn-noun-train-117-O,0,6,noun,train,con,heaviness,lightness
antsyn-noun-train-1340-O,0,7,noun,train,ent,ingot,pig
antsyn-adj-train-878-O,0,8,adj,train,ent,thoughtful,deliberate
antsyn-adj-train-5329-O,0,9,adj,train,ent,particular,separate
antsyn-adj-train-1927-O,0,0,adj,train,con,haploid,diploid
antsyn-adj-train-3821-O,0,1,adj,train,ent,opposed,hostile
antsyn-noun-train-1964-O,0,2,noun,train,con,believer,heretic
antsyn-adj-train-362-O,0,3,adj,train,ent,valid,sufficient
antsyn-noun-train-1219-O,0,4,noun,train,ent,turmoil,disturbance
antsyn-adj-train-604-O,0,5,adj,train,ent,ancient,former
antsyn-adj-train-2831-O,0,6,adj,train,ent,transnational,multinational
antsyn-verb-train-2159-O,0,7,verb,train,con,narrow,broaden
antsyn-verb-test-519-O,0,8,verb,test,ent,pinch,bite
antsyn-adj-train-3032-O,0,9,adj,train,con,correct,inaccurate
antsyn-adj-test-1069-O,0,0,adj,test,ent,soft,flabby
antsyn-verb-train-2485-O,0,1,verb,train,con,demagnetize,magnetize
antsyn-adj-train-4771-O,0,2,adj,train,ent,adequate,suitable
antsyn-verb-train-823-O,0,3,verb,train,con,begin,complete
antsyn-noun-train-53-O,0,4,noun,train,ent,original,first
antsyn-verb-train-185-O,0,5,verb,train,con,dislike,like
antsyn-adj-train-3124-O,0,6,adj,train,con,ineligible,eligible
antsyn-verb-train-1019-O,0,7,verb,train,ent,forecast,estimate
antsyn-adj-train-1372-O,0,8,adj,train,ent,figurative,typical
antsyn-adj-test-182-O,0,9,adj,test,con,untested,old
antsyn-adj-train-5000-O,0,0,adj,train,con,nonpartisan,partisan
antsyn-adj-train-3953-O,0,1,adj,train,ent,raucous,rough
antsyn-verb-train-1313-O,0,2,verb,train,ent,cap,surpass
antsyn-adj-train-3780-O,0,3,adj,train,ent,red,cochineal
antsyn-adj-test-1490-O,0,4,adj,test,ent,erroneous,incorrect
antsyn-verb-train-2479-O,0,5,verb,train,ent,establish,institute
antsyn-noun-test-638-O,0,6,noun,test,con,lifo,fifo
antsyn-verb-train-2075-O,0,7,verb,train,con,smile,cry
antsyn-adj-test-110-O,0,8,adj,test,ent,separate,distant
antsyn-noun-train-1446-O,0,9,noun,train,con,cutter,sloop
antsyn-adj-train-1083-O,0,0,adj,train,ent,electric,electrical
antsyn-adj-train-3642-O,0,1,adj,train,con,polar,same
antsyn-verb-train-543-O,0,2,verb,train,ent,quit,leave
antsyn-noun-train-908-O,0,3,noun,train,con,doubt,certainty
antsyn-verb-train-524-O,0,4,verb,train,ent,run,escape
antsyn-adj-train-1391-O,0,5,adj,train,ent,lavish,wasteful
antsyn-adj-val-337-O,0,6,adj,val,con,square,circular
antsyn-verb-test-617-O,0,7,verb,test,ent,see,find
antsyn-adj-test-1821-O,0,8,adj,test,ent,broad,vast
antsyn-noun-val-157-O,0,9,noun,val,con,devil,angel
antsyn-noun-train-2667-O,0,0,noun,train,ent,humility,modesty
antsyn-verb-train-554-O,0,1,verb,train,ent,tutor,teach
antsyn-verb-train-395-O,0,2,verb,train,con,inspire,expire
antsyn-adj-train-3659-O,0,3,adj,train,con,outside,indoor
antsyn-adj-train-3398-O,0,4,adj,train,ent,important,esteemed
antsyn-adj-test-575-O,0,5,adj,test,con,tragic,comic
antsyn-noun-train-48-O,0,6,noun,train,ent,purpose,object
antsyn-noun-val-187-O,0,7,noun,val,con,light,dark
antsyn-adj-train-4387-O,0,8,adj,train,ent,dead,inactive
antsyn-adj-test-1969-O,0,9,adj,test,ent,open,extended
antsyn-adj-train-2175-O,0,0,adj,train,con,inferior,top
antsyn-adj-train-1215-O,0,1,adj,train,con,surplus,necessary
antsyn-adj-train-899-O,0,2,adj,train,ent,efficient,competent
antsyn-adj-val-232-O,0,3,adj,val,con,ineffective,strong
antsyn-noun-train-202-O,0,4,noun,train,con,nighttime,daytime
antsyn-adj-train-3560-O,0,5,adj,train,ent,singular,remarkable
antsyn-adj-train-153-O,0,6,adj,train,ent,deserving,worthy
antsyn-noun-train-1323-O,0,7,noun,train,ent,inn,lodge
antsyn-verb-train-1903-O,0,8,verb,train,con,cover,expose
antsyn-verb-train-1774-O,0,9,verb,train,con,praise,blame
antsyn-verb-train-742-O,0,0,verb,train,ent,light,happen
antsyn-adj-test-637-O,0,1,adj,test,ent,proficient,good
antsyn-noun-train-1591-O,0,2,noun,train,con,intaglio,cameo
antsyn-noun-test-313-O,0,3,noun,test,ent,good,goodness
antsyn-adj-train-794-O,0,4,adj,train,ent,raw,sensitive
antsyn-adj-test-300-O,0,5,adj,test,con,miniature,large
antsyn-adj-train-821-O,0,6,adj,train,ent,old,antiquated
antsyn-verb-val-49-O,0,7,verb,val,ent,thwart,frustrate
antsyn-verb-train-1016-O,0,8,verb,train,con,consent,decline
antsyn-adj-train-527-O,0,9,adj,train,con,retroactive,proactive
antsyn-adj-test-1615-O,0,0,adj,test,con,transonic,subsonic
antsyn-adj-train-1770-O,0,1,adj,train,con,reasonable,arbitrary
antsyn-adj-test-1140-O,0,2,adj,test,ent,deceptive,false
antsyn-verb-test-506-O,0,3,verb,test,ent,pause,break
antsyn-adj-train-4966-O,0,4,adj,train,con,unintended,intended
antsyn-noun-train-1956-O,0,5,noun,train,ent,ally,relative
antsyn-adj-train-1307-O,0,6,adj,train,ent,formal,essential
antsyn-adj-train-4394-O,0,7,adj,train,ent,stout,bulky
antsyn-noun-train-264-O,0,8,noun,train,ent,zion,yisrael
antsyn-noun-train-771-O,0,9,noun,train,con,mortality,immortality
antsyn-adj-train-2012-O,0,0,adj,train,ent,scarlet,pink
antsyn-verb-test-836-O,0,1,verb,test,con,sharpen,dull
antsyn-adj-test-1328-O,0,2,adj,test,ent,progressive,reformist
antsyn-adj-train-919-O,0,3,adj,train,con,naughty,good
antsyn-adj-train-2390-O,0,4,adj,train,con,planetary,national
antsyn-verb-train-1826-O,0,5,verb,train,ent,use,custom
antsyn-noun-test-839-O,0,6,noun,test,con,increase,lessening
antsyn-adj-test-1776-O,0,7,adj,test,ent,red,ruby
antsyn-noun-test-931-O,0,8,noun,test,ent,relic,remnant
antsyn-adj-train-791-O,0,9,adj,train,con,particular,secondary
antsyn-noun-val-98-O,0,0,noun,val,ent,lodge,hut
antsyn-adj-train-3371-O,0,1,adj,train,con,matrilocal,patrilocal
antsyn-noun-train-2403-O,0,2,noun,train,ent,bureaus,agency
antsyn-adj-val-142-O,0,3,adj,val,ent,sharp,steep
antsyn-noun-train-1840-O,0,4,noun,train,con,monotheism,polytheism
antsyn-adj-train-4155-O,0,5,adj,train,ent,exhaustive,thorough
antsyn-verb-train-2308-O,0,6,verb,train,ent,confiscate,seize
antsyn-verb-train-226-O,0,7,verb,train,ent,pay,hire
antsyn-adj-test-1983-O,0,8,adj,test,con,aged,new
antsyn-noun-train-590-O,0,9,noun,train,ent,mass,assemblage
antsyn-noun-test-851-O,0,0,noun,test,con,frown,smile
antsyn-verb-train-2203-O,0,1,verb,train,con,rush,linger
antsyn-verb-train-1110-O,0,2,verb,train,ent,post,garrison
antsyn-adj-test-401-O,0,3,adj,test,ent,express,clear
antsyn-verb-train-296-O,0,4,verb,train,con,free,confine
antsyn-verb-test-448-O,0,5,verb,test,ent,hypothesize,theorize
antsyn-adj-train-906-O,0,6,adj,train,ent,severe,stern
antsyn-verb-train-1329-O,0,7,verb,train,ent,operate,cause
antsyn-verb-test-489-O,0,8,verb,test,ent,besiege,invest
antsyn-adj-train-1216-O,0,9,adj,train,ent,crude,vulgar
antsyn-noun-train-954-O,0,0,noun,train,ent,progress,advancement
antsyn-noun-test-386-O,0,1,noun,test,con,explosion,implosion
antsyn-adj-train-2956-O,0,2,adj,train,con,excited,calm
antsyn-adj-train-1265-O,0,3,adj,train,con,easy,steep
antsyn-adj-train-1006-O,0,4,adj,train,ent,imaginative,creative
antsyn-adj-test-1495-O,0,5,adj,test,con,harmful,harmless
antsyn-adj-train-1751-O,0,6,adj,train,con,limited,limitless
antsyn-adj-test-890-O,0,7,adj,test,ent,coherent,logical
antsyn-adj-train-5473-O,0,8,adj,train,con,light,significant
antsyn-adj-train-303-O,0,9,adj,train,con,commonplace,unusual
antsyn-adj-train-696-O,0,0,adj,train,ent,active,dynamic
antsyn-adj-train-5360-O,0,1,adj,train,con,crisp,straight
antsyn-verb-test-172-O,0,2,verb,test,ent,allow,appropriate
antsyn-verb-train-430-O,0,3,verb,train,ent,revoke,withdraw
antsyn-noun-test-114-O,0,4,noun,test,con,transparency,opacity
antsyn-adj-test-1436-O,0,5,adj,test,con,dead,live
antsyn-verb-train-676-O,0,6,verb,train,ent,repeal,suppress
antsyn-verb-test-318-O,0,7,verb,test,ent,discharge,exonerate
antsyn-adj-test-222-O,0,8,adj,test,ent,needy,destitute
antsyn-adj-train-1963-O,0,9,adj,train,ent,happy,successful
antsyn-adj-test-1593-O,0,0,adj,test,con,changeable,unchangeable
antsyn-verb-train-1971-O,0,1,verb,train,con,dissent,accept
antsyn-adj-train-733-O,0,2,adj,train,con,steep,low
antsyn-adj-val-190-O,0,3,adj,val,ent,nice,delicate
antsyn-verb-test-538-O,0,4,verb,test,ent,exhaust,discharge
antsyn-adj-test-201-O,0,5,adj,test,con,mundane,extraordinary
antsyn-adj-train-1218-O,0,6,adj,train,con,far,short
antsyn-adj-train-1079-O,0,7,adj,train,ent,renowned,wonderful
antsyn-noun-train-1379-O,0,8,noun,train,ent,lees,lee
antsyn-verb-train-1037-O,0,9,verb,train,con,unbutton,button
antsyn-adj-train-1420-O,0,0,adj,train,con,subacute,chronic
antsyn-noun-train-2707-O,0,1,noun,train,con,dishonor,honor
antsyn-verb-test-264-O,0,2,verb,test,ent,pillage,strip
antsyn-adj-train-2009-O,0,3,adj,train,con,selfish,altruistic
antsyn-noun-train-1297-O,0,4,noun,train,con,stand,kneel
antsyn-adj-train-5004-O,0,5,adj,train,ent,mid,middle
antsyn-verb-test-541-O,0,6,verb,test,ent,litter,trash
antsyn-verb-test-686-O,0,7,verb,test,con,intimidate,assure
antsyn-verb-test-797-O,0,8,verb,test,ent,interpret,elucidate
antsyn-noun-train-1548-O,0,9,noun,train,con,relative,absolute
antsyn-adj-train-3274-O,0,0,adj,train,con,unfeasible,possible
antsyn-verb-train-6-O,0,1,verb,train,ent,take,draw
antsyn-verb-test-740-O,0,2,verb,test,con,incur,avoid
antsyn-adj-train-863-O,0,3,adj,train,con,timid,bold
antsyn-verb-train-95-O,0,4,verb,train,ent,chat,gossip
antsyn-adj-test-1486-O,0,5,adj,test,con,rational,irrational
antsyn-noun-train-1581-O,0,6,noun,train,con,praise,abuse
antsyn-adj-test-1341-O,0,7,adj,test,con,pleased,angry
antsyn-noun-train-350-O,0,8,noun,train,con,boom,recession
antsyn-noun-train-1914-O,0,9,noun,train,ent,din,noise
antsyn-noun-test-425-O,0,0,noun,test,ent,female,woman
antsyn-noun-test-615-O,0,1,noun,test,ent,cost,side
antsyn-adj-train-2068-O,0,2,adj,train,con,back,front
antsyn-verb-test-219-O,0,3,verb,test,con,permit,keep
antsyn-verb-test-439-O,0,4,verb,test,con,improve,decline
antsyn-adj-train-904-O,0,5,adj,train,ent,gracious,kind
antsyn-noun-train-2600-O,0,6,noun,train,ent,adaptation,fitness
antsyn-adj-train-2951-O,0,7,adj,train,con,illiterate,educated
antsyn-adj-test-1295-O,0,8,adj,test,con,perfective,imperfective
antsyn-noun-train-2534-O,0,9,noun,train,con,consonance,dissonance
antsyn-adj-test-471-O,0,0,adj,test,con,organized,disorganized
antsyn-noun-train-956-O,0,1,noun,train,ent,pasture,food
antsyn-noun-train-862-O,0,2,noun,train,ent,keep,dungeon
antsyn-adj-test-671-O,0,3,adj,test,con,mythological,real
antsyn-verb-test-518-O,0,4,verb,test,con,insert,withdraw
antsyn-adj-train-3323-O,0,5,adj,train,con,catholic,narrow
antsyn-verb-train-188-O,0,6,verb,train,con,regain,lose
antsyn-verb-train-2152-O,0,7,verb,train,ent,defeat,frustrate
antsyn-adj-train-3168-O,0,8,adj,train,ent,mean,despicable
antsyn-noun-test-380-O,0,9,noun,test,con,hinny,mule
antsyn-adj-train-1895-O,0,0,adj,train,ent,rustic,unsophisticated
antsyn-adj-train-4694-O,0,1,adj,train,ent,strange,slow
antsyn-adj-train-2654-O,0,2,adj,train,ent,quick,alert
antsyn-verb-train-536-O,0,3,verb,train,ent,serve,operate
antsyn-verb-train-1045-O,0,4,verb,train,con,engage,disengage
antsyn-verb-train-1288-O,0,5,verb,train,con,wax,wane
antsyn-adj-test-1668-O,0,6,adj,test,con,heavy,lively
antsyn-adj-train-1201-O,0,7,adj,train,ent,intermediate,transitional
antsyn-adj-test-656-O,0,8,adj,test,ent,uninhabited,desolate
antsyn-adj-train-3697-O,0,9,adj,train,ent,logical,sound
antsyn-adj-train-464-O,0,0,adj,train,ent,splendid,brilliant
antsyn-verb-train-1966-O,0,1,verb,train,con,ascend,set
antsyn-adj-train-1503-O,0,2,adj,train,con,humble,proud
antsyn-adj-train-4206-O,0,3,adj,train,ent,unemotional,cold
antsyn-noun-train-1231-O,0,4,noun,train,con,upstroke,downstroke
antsyn-verb-test-713-O,0,5,verb,test,ent,deify,exalt
antsyn-adj-train-2329-O,0,6,adj,train,ent,advanced,modern
antsyn-adj-train-3658-O,0,7,adj,train,con,minimal,maximum
antsyn-adj-test-1201-O,0,8,adj,test,con,casual,difficult
antsyn-verb-train-5-O,0,9,verb,train,con,injure,benefit
antsyn-noun-train-173-O,0,0,noun,train,con,pollution,purity
antsyn-noun-train-1627-O,0,1,noun,train,ent,flake,scale
antsyn-adj-val-125-O,0,2,adj,val,ent,gory,bloody
antsyn-noun-test-388-O,0,3,noun,test,con,meiosis,mitosis
antsyn-adj-train-3929-O,0,4,adj,train,con,ovoviviparous,oviparous
antsyn-adj-train-3859-O,0,5,adj,train,con,stupid,intelligent
antsyn-adj-train-4213-O,0,6,adj,train,con,crisp,hot
antsyn-noun-train-1540-O,0,7,noun,train,con,virtue,fault
antsyn-adj-train-2187-O,0,8,adj,train,ent,apprehensive,fearful
antsyn-adj-test-1186-O,0,9,adj,test,con,surprising,unsurprising
antsyn-adj-val-101-O,0,0,adj,val,con,unreasonable,reasonable
antsyn-adj-train-720-O,0,1,adj,train,con,advanced,retarded
antsyn-adj-train-4965-O,0,2,adj,train,ent,readable,interesting
antsyn-adj-test-1914-O,0,3,adj,test,ent,bloody,cruel
antsyn-adj-test-1828-O,0,4,adj,test,ent,bizarre,whimsical
antsyn-verb-train-2181-O,0,5,verb,train,ent,mourn,wail
antsyn-adj-train-5557-O,0,6,adj,train,con,pale,strong
antsyn-adj-test-1489-O,0,7,adj,test,con,endogenous,exogenous
antsyn-adj-train-2284-O,0,8,adj,train,ent,civilized,enlightened
antsyn-noun-train-1318-O,0,9,noun,train,con,selfishness,generosity
antsyn-verb-train-68-O,0,0,verb,train,ent,oppose,match
antsyn-verb-train-45-O,0,1,verb,train,con,proscribe,prescribe
antsyn-adj-train-3836-O,0,2,adj,train,con,volatile,constant
antsyn-verb-train-1120-O,0,3,verb,train,con,disintegrate,incorporate
antsyn-adj-train-3983-O,0,4,adj,train,con,dark,active
antsyn-noun-train-615-O,0,5,noun,train,ent,machine,shape
antsyn-adj-train-3430-O,0,6,adj,train,ent,unacceptable,unwelcome
antsyn-verb-train-2246-O,0,7,verb,train,con,put,divest
antsyn-adj-test-5-O,0,8,adj,test,con,immaterial,material
antsyn-adj-train-3456-O,0,9,adj,train,con,maximum,minimum
antsyn-verb-test-524-O,0,0,verb,test,con,have,abstain
antsyn-adj-train-4949-O,0,1,adj,train,con,abundant,deficient
antsyn-adj-train-979-O,0,2,adj,train,ent,reliable,sure
antsyn-noun-train-1631-O,0,3,noun,train,con,harmony,dissonance
antsyn-verb-train-2069-O,0,4,verb,train,con,expose,cover
antsyn-adj-train-3702-O,0,5,adj,train,con,clear,thick
antsyn-noun-train-963-O,0,6,noun,train,con,minuscule,majuscule
antsyn-verb-test-305-O,0,7,verb,test,ent,devastate,demolish
antsyn-noun-train-2371-O,0,8,noun,train,ent,notification,notice
antsyn-adj-test-534-O,0,9,adj,test,con,connected,disconnected
antsyn-adj-train-5087-O,0,0,adj,train,ent,wicked,malicious
antsyn-verb-train-2395-O,0,1,verb,train,con,legalise,outlaw
antsyn-adj-train-5516-O,0,2,adj,train,ent,respectful,reverential
antsyn-adj-test-1073-O,0,3,adj,test,con,regressive,progressive
antsyn-adj-train-2287-O,0,4,adj,train,con,true,inaccurate
antsyn-adj-train-758-O,0,5,adj,train,con,mobile,fixed
antsyn-adj-test-125-O,0,6,adj,test,con,characteristic,uncharacteristic
antsyn-adj-train-5415-O,0,7,adj,train,ent,bright,evident
antsyn-adj-test-458-O,0,8,adj,test,ent,crippled,lame
antsyn-adj-train-1548-O,0,9,adj,train,ent,same,identical
antsyn-adj-train-3360-O,0,0,adj,train,con,dry,sweet
antsyn-adj-train-3072-O,0,1,adj,train,ent,bad,wicked
antsyn-adj-train-1123-O,0,2,adj,train,con,perinatal,postnatal
antsyn-noun-train-2636-O,0,3,noun,train,ent,denim,dungaree
antsyn-noun-test-291-O,0,4,noun,test,con,love,hatred
antsyn-adj-val-263-O,0,5,adj,val,con,sensual,mental
antsyn-adj-train-4591-O,0,6,adj,train,ent,poetic,creative
antsyn-verb-train-1255-O,0,7,verb,train,con,hold,release
antsyn-adj-test-1935-O,0,8,adj,test,con,powerful,weak
antsyn-adj-train-4872-O,0,9,adj,train,con,enough,insufficient
antsyn-noun-train-584-O,0,0,noun,train,ent,mortarboard,cap
antsyn-verb-train-845-O,0,1,verb,train,con,act,forbear
antsyn-verb-test-527-O,0,2,verb,test,con,connect,disconnect
antsyn-adj-test-1622-O,0,3,adj,test,ent,tender,gentle
antsyn-adj-train-814-O,0,4,adj,train,ent,oblique,indirect
antsyn-adj-train-4856-O,0,5,adj,train,con,pistillate,male
antsyn-noun-train-9-O,0,6,noun,train,ent,support,encourage
antsyn-verb-train-1152-O,0,7,verb,train,ent,plummet,lead
antsyn-adj-train-5497-O,0,8,adj,train,con,shut,open
antsyn-verb-train-605-O,0,9,verb,train,ent,change,exchange
antsyn-verb-val-67-O,0,0,verb,val,ent,form,constitute
antsyn-adj-test-221-O,0,1,adj,test,con,plain,decorated
antsyn-adj-test-1875-O,0,2,adj,test,con,volatile,stable
antsyn-adj-train-1492-O,0,3,adj,train,con,socialistic,capitalistic
antsyn-verb-train-621-O,0,4,verb,train,con,hope,fear
antsyn-adj-train-2869-O,0,5,adj,train,ent,elegant,polished
antsyn-verb-train-267-O,0,6,verb,train,con,dethrone,enthrone
antsyn-adj-val-114-O,0,7,adj,val,con,mythical,real
antsyn-adj-train-193-O,0,8,adj,train,con,desperate,fearful
antsyn-noun-train-1074-O,0,9,noun,train,ent,statue,position
antsyn-verb-train-1806-O,0,0,verb,train,ent,lessen,subside
antsyn-adj-test-500-O,0,1,adj,test,ent,practical,pragmatic
antsyn-adj-train-1214-O,0,2,adj,train,ent,rude,insolent
antsyn-noun-val-39-O,0,3,noun,val,ent,series,chain
antsyn-adj-train-4271-O,0,4,adj,train,con,great,bad
antsyn-adj-train-93-O,0,5,adj,train,ent,fit,suitable
antsyn-adj-train-2859-O,0,6,adj,train,con,plain,ornate
antsyn-noun-train-2690-O,0,7,noun,train,ent,proprietor,owner
antsyn-adj-train-3203-O,0,8,adj,train,con,mesial,distal
antsyn-adj-train-2050-O,0,9,adj,train,con,immutable,mutable
antsyn-adj-val-41-O,0,0,adj,val,con,intrinsic,extrinsic
antsyn-adj-train-325-O,0,1,adj,train,con,pro,anti
antsyn-verb-val-144-O,0,2,verb,val,ent,spread,strew
antsyn-verb-train-400-O,0,3,verb,train,ent,provide,condition
antsyn-noun-test-857-O,0,4,noun,test,ent,letter,missive
antsyn-noun-train-1641-O,0,5,noun,train,con,ebb,flow
antsyn-adj-val-159-O,0,6,adj,val,ent,mad,angry
antsyn-noun-test-771-O,0,7,noun,test,ent,voice,steven
antsyn-noun-test-348-O,0,8,noun,test,con,disbelief,belief
antsyn-adj-train-2845-O,0,9,adj,train,con,soft,resistant
antsyn-verb-train-515-O,0,0,verb,train,con,keep,breach
antsyn-verb-train-282-O,0,1,verb,train,con,break,mend
antsyn-adj-test-811-O,0,2,adj,test,con,familiar,unfamiliar
antsyn-adj-train-5278-O,0,3,adj,train,ent,disciplinary,corrective
antsyn-verb-train-1097-O,0,4,verb,train,ent,glean,obtain
antsyn-verb-train-576-O,0,5,verb,train,ent,value,evaluate
antsyn-noun-val-197-O,0,6,noun,val,ent,proxy,agent
antsyn-noun-train-1735-O,0,7,noun,train,con,plantigrade,digitigrade
