pairid,argid,propid_to,propid_from,text_to,text_from,relation,nli_50K_ent,nli_50K_con,nli_50K_neu
00964_5#00964_5_1,00964,00964_5,00964_5_1,It is right for Governments to restrict freedom of speech.,"Irrespective of its US provenance, we recognise that ""the most stringent protection of free speech would not protect a man in falsely shouting fire in a theatre and causing a panic.""",1,0.0044868942350149155,0.1064741313457489,0.8890390396118164
00670_5#00670_5_1,00670,00670_5,00670_5_1,It is right for Governments to restrict freedom of speech.,"Irrespective of its US provenance, we recognise that ""the most stringent protection of free speech would not protect a man in falsely shouting fire in a theatre and causing a panic.""",1,0.0044868942350149155,0.1064741313457489,0.8890390396118164
00090_8#00090_8_37,00090,00090_8,00090_8_37,Society should ban or restrict the sale and use of violent video games.,"Counter-argument to...""Myth 11. If violent video games cause increases in aggression, violent crime rates in the U.S. would be increasing instead of decreasing.",1,0.012278124690055847,0.2328321784734726,0.754889726638794
00874_8#00874_8_35,00874,00874_8,00874_8_35,Society should ban or restrict the sale and use of violent video games.,"Counter-argument to...""Myth 11. If violent video games cause increases in aggression, violent crime rates in the U.S. would be increasing instead of decreasing.",1,0.012278124690055847,0.2328321784734726,0.754889726638794
00800_7#00800_7_15,00800,00800_7,00800_7_15,The US federal government should increase the minimum wage.,Contention that a minimum wage increase is due in historical perspective; that it had been too long since a minimum wage increase and that the purchasing power of the minimum wage level is at an historic low:,1,0.0008759800111874938,0.0014810701832175255,0.9976429343223572
00211_7#00211_7_1,00211,00211_7,00211_7_1,The US federal government should increase the minimum wage.,Contention that a minimum wage increase is due in historical perspective; that it had been too long since a minimum wage increase and that the purchasing power of the minimum wage level is at an historic low:,1,0.0008759800111874938,0.0014810701832175255,0.9976429343223572
00090_8#00090_8_16,00090,00090_8,00090_8_16,Society should ban or restrict the sale and use of violent video games.,"Williams (U of Illinois) and Marko Skoric (University in Singapore), ""Internet Fantasy Violence: A Test of Aggression in an Online Game, Communication Monographs, 2005",-1,0.003204596694558859,0.680341362953186,0.3164540231227875
00800_1#00800_1_1,00800,00800_1,00800_1_1,The US federal government should increase the minimum wage.,"Contention that a minimum wage increase is an ""income transfer"" that ""places the entire burden on one small group the employers of low-wage workers and, to some extent, their customers.""",-1,0.0024932236410677433,0.004743544384837151,0.9927632212638855
00211_1#00211_1_2,00211,00211_1,00211_1_2,The US federal government should increase the minimum wage.,"Contention that a minimum wage increase is an ""income transfer"" that ""places the entire burden on one small group the employers of low-wage workers and, to some extent, their customers.""",-1,0.0024932236410677433,0.004743544384837151,0.9927632212638855
00550_6#00550_6_3,00550,00550_6,00550_6_3,Partial-birth abortion should be banned.,"Other common logistical and/or personal reasons might exist that make a first trimester abortion infeasible, and which may provide a sufficient circumstance for a woman to seek a late, partial birth abortion.",-1,0.0032521840184926987,0.2893370985984802,0.7074107527732849
00800_5#00800_5_2,00800,00800_5,00800_5_2,The US federal government should increase the minimum wage.,"A minimum wage increase ""stimulates consumption, and thus economic growth, by placing more money in the hands of poor people who spend much, if not all, of their paychecks.""",1,0.005167885683476925,0.0014760630438104272,0.9933561086654663
00549_5#00549_5_2,00549,00549_5,00549_5_2,The United Kingdom should hand over the Falkland Islands to Argentina.,"Argentinas inheritance claim is self righteous as there was no binding universal international law at that time, meaning no rights for inheriting land they did not control during their unilateral independence",-1,0.0026557003147900105,0.15694500505924225,0.8403993248939514
00211_5#00211_5_8,00211,00211_5,00211_5_8,The US federal government should increase the minimum wage.,"A minimum wage increase ""stimulates consumption, and thus economic growth, by placing more money in the hands of poor people who spend much, if not all, of their paychecks.""",1,0.005167885683476925,0.0014760630438104272,0.9933561086654663
00874_8#00874_8_19,00874,00874_8,00874_8_19,Society should ban or restrict the sale and use of violent video games.,"Williams (U of Illinois) and Marko Skoric (University in Singapore), ""Internet Fantasy Violence: A Test of Aggression in an Online Game, Communication Monographs, 2005",-1,0.003204596694558859,0.680341362953186,0.3164540231227875
00164_9#00164_9_5,00164,00164_9,00164_9_5,Gay couples should be given the same legal rights as heterosexuals in adopting children.,The American Academy of Pediatrics and all of the major professional organizations with expertise in child welfare have issued reports and resolutions in support of gay and lesbian parental rights.,1,0.003170181065797806,0.048027150332927704,0.9488027691841125
00164_9#00164_9_9,00164,00164_9,00164_9_9,Gay couples should be given the same legal rights as heterosexuals in adopting children.,Lesbian and gay parents are every bit as fit and capable as heterosexual parents and their children are as psychologically healthy and well-adjusted as children reared by heterosexual parents,1,0.0016411017859354615,0.02327289991080761,0.9750860929489136
00550_6#00550_6_7,00550,00550_6,00550_6_7,Partial-birth abortion should be banned.,"""Slippery-slope"" argument that ""once ""fetal rights"" are granted to one stage of the pregnancy, nothing will prevent their extension to all stages"", which is argued as going too far.",-1,0.008049006573855877,0.09129980951547623,0.9006511569023132
00412_1#00412_1_4,00412,00412_1,00412_1_4,"Limits or regulations should be placed on how candidates raise funds, and/or spend them, during political campaigns.","Even under the most radical proposals for reform, loopholes exist that enable candidates to spend more or reach their audiences through alternative means.",-1,0.0021315941121429205,0.0006858898559585214,0.9971824884414673
00152_3#00152_3_1,00152,00152_3,00152_3_1,Marijuana possession should be decriminalized and made into a civil offense.,"Increased crime The Drug Enforcement Administration (DEA) has claimed that marijuana leads to increased crime in the un-sourced pamphlet entitled ""Speaking Out Against Drug Legalization.""",-1,0.007350779604166746,0.4366973638534546,0.5559518337249756
00449_3#00449_3_10,00449,00449_3,00449_3_10,"It is ethical for colleges, parents, or employers to get information about people from social networking websites.","Companies have Facebook profiles that benefit job-seekers, making the trade-off acceptable for employers to seek information about candidates on these sites.",1,0.004909239709377289,0.015804573893547058,0.9792861342430115
00726_3#00726_3_7,00726,00726_3,00726_3_7,The US government should fund embryonic stem cell research.,"Jonathan Sarfati writes that in ""Senators use Bible for lessons on life in stem cell debate"", The Greenville News, 7/19/01 Zitmer, A.",1,0.006485386285930872,0.20802952349185944,0.785485029220581
00090_8#00090_8_5,00090,00090_8,00090_8_5,Society should ban or restrict the sale and use of violent video games.,"""Actually, violent games act more as a type of catharsis, allowing people with aggressive feelings to vent them in the game rather than in real life.""",-1,0.002333332085981965,0.5680467486381531,0.4296199381351471
00034_6#00034_6_1,00034,00034_6,00034_6_1,Governments should legalise all drugs.,In the short term it might eliminate drug dealers on our streets but do any of us really think that whatever multinational corporation ends of cornering the drug market will have a problem trading with the existing cartels,-1,0.0014648250071331859,0.9358466267585754,0.06268858909606934
00726_5#00726_5_3,00726,00726_5,00726_5_3,The US government should fund embryonic stem cell research.,"The vast majority of the 400,000 frozen embryos in the United States will either be stored indefinitely or destroyed at some point - thus they should be used for stem cell research:",1,0.03508941829204559,0.001982118235900998,0.9629284739494324
01234_1#01234_1_1,01234,01234_1,01234_1_1,This House believes that hate speech should be a crime.,"Even such things as computer games, cartoons and so on, if they contain offensive remarks against other groups, may lead hot only to conflicts within the country, but to international ones.",1,0.009997949004173279,0.03306317701935768,0.9569388031959534
00874_8#00874_8_13,00874,00874_8,00874_8_13,Society should ban or restrict the sale and use of violent video games.,"""Actually, violent games act more as a type of catharsis, allowing people with aggressive feelings to vent them in the game rather than in real life.""",-1,0.002333332085981965,0.5680467486381531,0.4296199381351471
00726_6#00726_6_1,00726,00726_6,00726_6_1,The US government should fund embryonic stem cell research.,"Adult stem cells have a capacity to ""dedifferentiate"" and then become a wide range of tissues, similar to the wide ranging possibilities of embryonic stem cells:",-1,0.00022405601339414716,0.00024164532078430057,0.9995343685150146
00090_8#00090_8_18,00090,00090_8,00090_8_18,Society should ban or restrict the sale and use of violent video games.,Claim that testimonies of criminals that place blame on video games should not be relied upon as the criminals may simply be looking for a deflective excuse:,-1,0.003537107026204467,0.22931693494319916,0.7671459317207336
00909_2#00909_2_2,00909,00909_2,00909_2_2,Doctors should be allowed to prescribe contraception for girls under the age of 16.,"To presume that girls, or young people in general will be prevented from experimenting with sex if they are denied contraception is ludicrous:",1,0.0008781139622442424,0.9597563147544861,0.03936557099223137
00800_1#00800_1_5,00800,00800_1,00800_1_5,The US federal government should increase the minimum wage.,Oregon Study concludes that its employers (particularly in agriculture and restaurant industries) have fared very well and are hiring despite having one of the highest (and inflation indexed) minimum wages:,1,0.0005995752289891243,0.004051533527672291,0.9953488707542419
00211_1#00211_1_11,00211,00211_1,00211_1_11,The US federal government should increase the minimum wage.,Oregon Study concludes that its employers (particularly in agriculture and restaurant industries) have fared very well and are hiring despite having one of the highest (and inflation indexed) minimum wages:,1,0.0005995752289891243,0.004051533527672291,0.9953488707542419
00447_8#00447_8_7,00447,00447_8,00447_8_7,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" punishes citizens coming-out of closet]",1,0.008165600709617138,0.7950446009635925,0.19678981602191925
00149_5#00149_5_1,00149,00149_5,00149_5_1,There should be a legally mandated ceiling on weekly working hours.,"Unless competing economies implement similar rules, any restrictions on economic production may simply encourage the relocation of that production to an economy that is not encumbered with the same rules.",-1,0.0015393260400742292,0.018297694623470306,0.9801629781723022
00909_3#00909_3_3,00909,00909_3,00909_3_3,Doctors should be allowed to prescribe contraception for girls under the age of 16.,"""Children"" should not be expected to abruptly change their attitudes and behaviour toward sex and contraception-use at the turn of their 16th birthday.",1,0.0006543363560922444,0.00916374009102583,0.9901819825172424
00874_8#00874_8_15,00874,00874_8,00874_8_15,Society should ban or restrict the sale and use of violent video games.,Claim that testimonies of criminals that place blame on video games should not be relied upon as the criminals may simply be looking for a deflective excuse:,-1,0.003537107026204467,0.22931693494319916,0.7671459317207336
00452_6#00452_6_17,00452,00452_6,00452_6_17,This House believes that downloading music and films from the Internet should be prohibited.,The only artists making money off record royalties (receiving money from every copy sold) are the extremely popular ones that already have a lot of money anyway,-1,0.0019895187579095364,0.8594397306442261,0.13857078552246094
00090_8#00090_8_13,00090,00090_8,00090_8_13,Society should ban or restrict the sale and use of violent video games.,"Argument that during the period in which violent gameplay among youth has increased, youth crime rates have fallen, weakening the causal link between violent game play and violence:",-1,0.0036079271230846643,0.3657327890396118,0.6306593418121338
00090_8#00090_8_9,00090,00090_8,00090_8_9,Society should ban or restrict the sale and use of violent video games.,Claim that the effects of violence and crime-based video games are even worse than similar films and TV because of the interactive element that exists in video games.,1,0.0022064787335693836,0.35486114025115967,0.6429322957992554
00447_3#00447_3_9,00447,00447_3,00447_3_9,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" undermines troop morale and unit cohesion",1,0.0022547971457242966,0.0706251785159111,0.9271200299263
00741_2#00741_2_2,00741,00741_2,00741_2_2,Unemployed people should be made to work for their welfare money.,"Putting the unemployed into workfare schemes actually limits their opportunities to look for work, by making them show up for make-work schemes when they could be job hunting:",-1,0.04198615625500679,0.09853209555149078,0.8594817519187927
00447_8#00447_8_9,00447,00447_8,00447_8_9,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" forbids homosexual acts, not gays",-1,0.005034079309552908,0.6079093217849731,0.3870565891265869
00599_2#00599_2_3,00599,00599_2,00599_2_3,Scotland should become an independent nation.,"Some sources argue that it may no longer be very valuable in todays Europe to maintain ""economies of scale"" in larger unions for the sake of pooling resources for funding a stronger military.",1,0.003401867114007473,0.05797950550913811,0.9386186003684998
01106_2#01106_2_2,01106,01106_2,01106_2_2,Scotland should become an independent nation.,"Some sources argue that it may no longer be very valuable in todays Europe to maintain ""economies of scale"" in larger unions for the sake of pooling resources for funding a stronger military.",1,0.003401867114007473,0.05797950550913811,0.9386186003684998
00301_5#00301_5_5,00301,00301_5,00301_5_5,The state should be fully privatised.,"Some would also point out that privatizing certain functions of government might hamper coordination, and charge firms with specialized and limited capabilities to perform functions which they are not suited for.",-1,0.00674772821366787,0.35329344868659973,0.6399587988853455
00160_2#00160_2_4,00160,00160_2,00160_2_4,Unemployed people should be made to work for their welfare money.,"Putting the unemployed into workfare schemes actually limits their opportunities to look for work, by making them show up for make-work schemes when they could be job hunting:",-1,0.04198615625500679,0.09853209555149078,0.8594817519187927
01009_7#01009_7_3,01009,01009_7,01009_7_3,Arranged marriages should be outlawed.,We have made pathetically small progress in stamping out mail order brides which just goes to show how completely unenforceable a much more complex system of regulation over arranged marriages would be.,-1,0.050514452159404755,0.2560892701148987,0.693396270275116
00971_5#00971_5_7,00971,00971_5,00971_5_7,The state should be fully privatised.,"Some would also point out that privatizing certain functions of government might hamper coordination, and charge firms with specialized and limited capabilities to perform functions which they are not suited for.",-1,0.00674772821366787,0.35329344868659973,0.6399587988853455
00874_8#00874_8_22,00874,00874_8,00874_8_22,Society should ban or restrict the sale and use of violent video games.,Claim that the effects of violence and crime-based video games are even worse than similar films and TV because of the interactive element that exists in video games.,1,0.0022064787335693836,0.35486114025115967,0.6429322957992554
00874_8#00874_8_28,00874,00874_8,00874_8_28,Society should ban or restrict the sale and use of violent video games.,"Argument that during the period in which violent gameplay among youth has increased, youth crime rates have fallen, weakening the causal link between violent game play and violence:",-1,0.0036079271230846643,0.3657327890396118,0.6306593418121338
00055_14#00055_14_3,00055,00055_14,00055_14_3,Iraq should be partitioned into three autonomous sectarian regions.,"Claim that Sunnis may have the most to gain from a partitioning of Iraq, giving them reasons to change their general position to support for a partition plan:",1,0.00178557971958071,0.0027875094674527645,0.9954268932342529
00800_7#00800_7_10,00800,00800_7,00800_7_10,The US federal government should increase the minimum wage.,States and cities in which raises in the minimum wage are claimed to have had no negative effect on employment (these findings and claims are often cited in the larger debate):,1,0.0013214318314567208,0.07051470130681992,0.9281638860702515
00874_2#00874_2_2,00874,00874_2,00874_2_2,Society should ban or restrict the sale and use of violent video games.,"The primary role of a government is to protect its citizens from damaging themselves and society as a whole, which may include the function of video game censorship:",1,0.0036020083352923393,0.0015105466591194272,0.9948875308036804
00211_7#00211_7_2,00211,00211_7,00211_7_2,The US federal government should increase the minimum wage.,States and cities in which raises in the minimum wage are claimed to have had no negative effect on employment (these findings and claims are often cited in the larger debate):,1,0.0013214318314567208,0.07051470130681992,0.9281638860702515
00966_2#00966_2_5,00966,00966_2,00966_2_5,Women should be allowed to serve in equal combat roles in armed forces.,"While the vast proportion of jobs in the armed forces are open equally to men and women, there are some to which women are just not physically suited.",-1,0.17486128211021423,0.217033252120018,0.608105480670929
00680_3#00680_3_3,00680,00680_3,00680_3_3,Nato should continue to expand into East Europe and possible beyond.,"The increasing trend towards Russian nationalism can be attributed to the weakness of the economy and the continued conflict in Chechnya, rather than the possibility of NATO expansion.",1,0.002557212021201849,0.044948987662792206,0.9524939060211182
00550_6#00550_6_4,00550,00550_6,00550_6_4,Partial-birth abortion should be banned.,Certain medical conditions of the baby or mother that threaten the mothers health or life may develop later in a pregnancy making late-term abortion justified as a way to protect the mothers health.,-1,0.02923472225666046,0.3858543932437897,0.5849109292030334
00412_1#00412_1_2,00412,00412_1,00412_1_2,"Limits or regulations should be placed on how candidates raise funds, and/or spend them, during political campaigns.",There is actually more turnover in public office than some critics of the present campaign finance systems would like to admit.,-1,0.016444437205791473,0.0036297834012657404,0.9799256920814514
00412_1#00412_1_3,00412,00412_1,00412_1_3,"Limits or regulations should be placed on how candidates raise funds, and/or spend them, during political campaigns.","Campaign finance reform will make elections more competitive, thus resulting in more turnover or ""fresh blood"" in politics.",1,0.22188431024551392,0.04350954666733742,0.7346060872077942
00145_5#00145_5_6,00145,00145_5,00145_5_6,Unregulated distribution of copyrighted works over Internet should be allowed.,The only artists making money off record royalties (receiving money from every copy sold) are the extremely popular ones that already have a lot of money anyway,1,0.0063948240131139755,0.6423132419586182,0.3512919247150421
00431_2#00431_2_2,00431,00431_2,00431_2_2,Women should be allowed to serve in equal combat roles in armed forces.,"While the vast proportion of jobs in the armed forces are open equally to men and women, there are some to which women are just not physically suited.",-1,0.17486128211021423,0.217033252120018,0.608105480670929
00090_2#00090_2_1,00090,00090_2,00090_2_1,Society should ban or restrict the sale and use of violent video games.,"The primary role of a government is to protect its citizens from damaging themselves and society as a whole, which may include the function of video game censorship:",1,0.0036020083352923393,0.0015105466591194272,0.9948875308036804
00228_3#00228_3_3,00228,00228_3,00228_3_3,Flag burning as a form of protest should be prohibited.,"To question whether flag burning is an example of free ""speech"" is to engage in a futile semantic discussion: The law ought to protect the freedom of expression.",-1,0.37575289607048035,0.05215393006801605,0.5720931887626648
00118_4#00118_4_2,00118,00118_4,00118_4_2,Divorce is acceptable in modern society. Individuals should feel free to seek divorce.,It is more damaging for a child to have to suffer the break-up of their parents than to live through a conflicted household marriage:,-1,0.0009013237431645393,0.987473726272583,0.011624963022768497
00447_2#00447_2_1,00447,00447_2,00447_2_1,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","Military should not end ""don""t ask don""t tell"" during war",-1,0.0009006547043099999,0.01532403752207756,0.9837753176689148
00447_2#00447_2_4,00447,00447_2,00447_2_4,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell is exploited by troops to avoid combat",1,0.006479584611952305,0.40425702929496765,0.5892633199691772
00447_2#00447_2_5,00447,00447_2,00447_2_5,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" puts commanders in compromising position",1,0.003951034974306822,0.48158830404281616,0.5144606828689575
00447_2#00447_2_7,00447,00447_2,00447_2_7,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","Military should not end ""don""t ask don""t tell"" during war",-1,0.0009006547043099999,0.01532403752207756,0.9837753176689148
00615_4#00615_4_4,00615,00615_4,00615_4_4,The international community should intervene militarily in Darfur.,The aims of the Sudanese government were not to eradicate a people but rather to carry out the brutal suppression of what was seen as an existential threat.,-1,0.02428295649588108,0.1169307753443718,0.8587862849235535
00447_5#00447_5_1,00447,00447_5,00447_5_1,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" does not actively pursue gays",-1,0.0048916395753622055,0.3970177471637726,0.598090648651123
00100_3#00100_3_3,00100,00100_3,00100_3_3,Flag burning as a form of protest should be prohibited.,"To question whether flag burning is an example of free ""speech"" is to engage in a futile semantic discussion: The law ought to protect the freedom of expression.",-1,0.37575289607048035,0.05215393006801605,0.5720931887626648
00726_5#00726_5_6,00726,00726_5,00726_5_6,The US government should fund embryonic stem cell research.,"The parents of at least 11,000 of these 400,000 embryos have given explicit permission for their embryos to be made available for stem-cell research",1,0.0007404502830468118,0.0035989268217235804,0.9956606030464172
00800_5#00800_5_1,00800,00800_5,00800_5_1,The US federal government should increase the minimum wage.,"Argument that there is no overall negative economic impact:The NewMexican.com, ""Santa Fe - ""Study: No harm yet from wage law"":",1,0.004810272250324488,0.1839561015367508,0.8112335801124573
00100_2#00100_2_1,00100,00100_2,00100_2_1,Flag burning as a form of protest should be prohibited.,There is no consistent causal link between flag burning and national security and/or public safety threat (the common justifications for any restrictions on freedom of speech):,-1,0.0038406401872634888,0.11182460933923721,0.8843348026275635
00447_15#00447_15_2,00447,00447_15,00447_15_2,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" has been very costly in dollars",1,0.0025667401496320963,0.07243945449590683,0.9249938130378723
00447_18#00447_18_3,00447,00447_18,00447_18_3,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell insults and traumatizes gay troops",1,0.004351782612502575,0.9031777381896973,0.09247050434350967
00447_18#00447_18_5,00447,00447_18,00447_18_5,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" softened military policy on gays",-1,0.13085415959358215,0.09490307420492172,0.7742428183555603
00664_5#00664_5_1,00664,00664_5,00664_5_1,Whaling is a good idea. The ban on whaling should be dropped.,"The decline in fish stocks is due to overfishing by man, not to the activities of whales, many of which eat only plankton.",-1,0.003066224977374077,0.6605126261711121,0.3364211916923523
00145_8#00145_8_2,00145,00145_8,00145_8_2,Unregulated distribution of copyrighted works over Internet should be allowed.,"MP3 files could in principle be a good way of promoting unknown artists, but nearly all the music that is shared and downloaded is highly commercial.",-1,0.02537156455218792,0.6210891008377075,0.3535394072532654
00549_4#00549_4_5,00549,00549_4,00549_4_5,The United Kingdom should hand over the Falkland Islands to Argentina.,The Nookta Sound convention did not affect Britains rights to the islands as they already had an agreement with Spain where both nations rights were secured in 1771,-1,0.0029936518985778093,0.7103487849235535,0.28665757179260254
00211_5#00211_5_3,00211,00211_5,00211_5_3,The US federal government should increase the minimum wage.,"Argument that there is no overall negative economic impact:The NewMexican.com, ""Santa Fe - ""Study: No harm yet from wage law"":",1,0.004810272250324488,0.1839561015367508,0.8112335801124573
00228_2#00228_2_4,00228,00228_2,00228_2_4,Flag burning as a form of protest should be prohibited.,There is no consistent causal link between flag burning and national security and/or public safety threat (the common justifications for any restrictions on freedom of speech):,-1,0.0038406401872634888,0.11182460933923721,0.8843348026275635
00447_4#00447_4_1,00447,00447_4,00447_4_1,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","If ""immoral"" gays banned from military, ban adulterers too",1,0.007165215909481049,0.9547215104103088,0.03811332583427429
01302_4#01302_4_1,01302,01302_4,01302_4_1,Divorce is acceptable in modern society. Individuals should feel free to seek divorce.,It is more damaging for a child to have to suffer the break-up of their parents than to live through a conflicted household marriage:,-1,0.0009013237431645393,0.987473726272583,0.011624963022768497
00800_7#00800_7_51,00800,00800_7,00800_7_51,The US federal government should increase the minimum wage.,Claim that raising the minimum wage may limit the ability of low-skill job-seekers to exchange their low-wage labor for job training and other fringe benefits:,-1,0.00432587182149291,0.00922901090234518,0.9864451289176941
00118_1#00118_1_1,00118,00118_1,00118_1_1,Divorce is acceptable in modern society. Individuals should feel free to seek divorce.,"Marriage is about union and love, both of which are hard to fulfill and need to be continually worked on, rather than abandoned casually:",-1,0.0008660612511448562,0.98555588722229,0.013578105717897415
00211_7#00211_7_5,00211,00211_7,00211_7_5,The US federal government should increase the minimum wage.,Claim that raising the minimum wage may limit the ability of low-skill job-seekers to exchange their low-wage labor for job training and other fringe benefits:,-1,0.00432587182149291,0.00922901090234518,0.9864451289176941
00090_8#00090_8_6,00090,00090_8,00090_8_6,Society should ban or restrict the sale and use of violent video games.,"Claim that the intensity of the above influences of video games on the player are likely only going to grow, as video games become increasingly realistic:",1,0.0027220353949815035,0.6444738507270813,0.35280415415763855
00447_5#00447_5_3,00447,00447_5,00447_5_3,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" costs the military needed soldiers",1,0.003488044487312436,0.15028774738311768,0.8462242484092712
00447_5#00447_5_7,00447,00447_5,00447_5_7,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" fosters discrimination against women",1,0.004408807028084993,0.6582517623901367,0.3373394310474396
