pairid,split
01218_4#01218_4_3,train
01218_4#01218_4_4,train
01218_4#01218_4_5,train
01242_3#01242_3_1,train
01242_3#01242_3_2,train
01242_3#01242_3_3,train
01242_3#01242_3_4,train
00038_2#00038_2_1,train
00038_2#00038_2_10,train
00038_2#00038_2_11,train
00038_2#00038_2_12,train
00038_2#00038_2_13,train
00038_2#00038_2_14,train
00038_2#00038_2_2,train
00038_2#00038_2_3,train
00038_2#00038_2_4,train
00038_2#00038_2_5,train
00038_2#00038_2_6,train
00038_2#00038_2_7,train
00038_2#00038_2_8,train
00038_2#00038_2_9,train
00040_10#00040_10_1,train
00040_10#00040_10_2,train
00040_10#00040_10_3,train
00040_10#00040_10_4,train
00082_3#00082_3_1,train
00082_3#00082_3_2,train
00082_3#00082_3_3,train
00082_3#00082_3_4,train
00082_3#00082_3_5,train
00082_3#00082_3_6,train
00121_3#00121_3_1,train
00121_3#00121_3_2,train
00121_3#00121_3_3,train
00121_3#00121_3_4,train
00121_3#00121_3_5,train
00121_3#00121_3_6,train
00121_3#00121_3_7,train
00121_3#00121_3_8,train
00143_5#00143_5_1,train
00143_5#00143_5_2,train
00143_5#00143_5_3,train
00143_5#00143_5_4,train
00155_3#00155_3_1,train
00155_3#00155_3_2,train
00155_3#00155_3_3,train
00155_3#00155_3_4,train
00166_6#00166_6_1,train
00166_6#00166_6_2,train
00166_6#00166_6_3,train
00222_2#00222_2_1,train
00222_2#00222_2_2,train
00222_2#00222_2_3,train
00222_2#00222_2_4,train
00222_2#00222_2_5,train
00222_2#00222_2_6,train
00222_2#00222_2_7,train
00328_7#00328_7_1,train
00328_7#00328_7_10,train
00328_7#00328_7_11,train
00328_7#00328_7_12,train
00328_7#00328_7_13,train
00328_7#00328_7_14,train
00328_7#00328_7_15,train
00328_7#00328_7_16,train
00328_7#00328_7_2,train
00328_7#00328_7_3,train
00328_7#00328_7_4,train
00328_7#00328_7_5,train
00328_7#00328_7_6,train
00328_7#00328_7_7,train
00328_7#00328_7_8,train
00328_7#00328_7_9,train
00352_4#00352_4_1,train
00352_4#00352_4_10,train
00352_4#00352_4_11,train
00352_4#00352_4_12,train
00352_4#00352_4_13,train
00352_4#00352_4_14,train
00352_4#00352_4_15,train
00352_4#00352_4_2,train
00352_4#00352_4_3,train
00352_4#00352_4_4,train
00352_4#00352_4_5,train
00352_4#00352_4_6,train
00352_4#00352_4_7,train
00352_4#00352_4_8,train
00352_4#00352_4_9,train
00428_3#00428_3_1,train
00428_3#00428_3_2,train
00428_3#00428_3_3,train
00428_3#00428_3_4,train
00428_3#00428_3_5,train
00428_3#00428_3_6,train
00429_3#00429_3_1,train
00429_3#00429_3_2,train
00429_3#00429_3_3,train
00572_2#00572_2_1,train
00572_2#00572_2_2,train
00572_2#00572_2_3,train
00572_2#00572_2_4,train
00572_2#00572_2_5,train
00572_2#00572_2_6,train
00572_2#00572_2_7,train
00572_5#00572_5_1,train
00572_5#00572_5_2,train
00572_5#00572_5_3,train
00588_2#00588_2_1,train
00588_2#00588_2_2,train
00588_2#00588_2_4,train
00588_2#00588_2_5,train
00737_9#00737_9_1,train
00737_9#00737_9_2,train
00737_9#00737_9_3,train
00737_9#00737_9_4,train
00737_9#00737_9_6,train
00737_9#00737_9_7,train
00743_1#00743_1_1,train
00743_1#00743_1_10,train
00743_1#00743_1_11,train
00743_1#00743_1_12,train
00743_1#00743_1_13,train
00743_1#00743_1_14,train
00743_1#00743_1_15,train
00743_1#00743_1_2,train
00743_1#00743_1_3,train
00743_1#00743_1_4,train
00743_1#00743_1_5,train
00743_1#00743_1_6,train
00743_1#00743_1_7,train
00743_1#00743_1_8,train
00743_1#00743_1_9,train
00772_2#00772_2_1,train
00772_2#00772_2_2,train
00772_2#00772_2_3,train
00809_7#00809_7_1,train
00809_7#00809_7_2,train
00809_7#00809_7_3,train
00809_7#00809_7_4,train
00809_7#00809_7_5,train
00809_7#00809_7_6,train
00809_7#00809_7_7,train
00864_4#00864_4_1,train
00864_4#00864_4_2,train
00864_4#00864_4_3,train
00864_4#00864_4_4,train
00864_4#00864_4_5,train
00961_7#00961_7_1,train
00961_7#00961_7_2,train
00961_7#00961_7_3,train
00971_2#00971_2_1,train
00971_2#00971_2_4,train
00971_2#00971_2_5,train
00971_2#00971_2_6,train
01039_5#01039_5_1,train
01039_5#01039_5_2,train
01039_5#01039_5_3,train
01072_4#01072_4_1,train
01072_4#01072_4_10,train
01179_5#01179_5_1,train
01179_5#01179_5_2,train
01179_5#01179_5_3,train
01179_5#01179_5_4,train
01179_5#01179_5_5,train
01179_5#01179_5_6,train
00015_1#00015_1_1,train
00015_1#00015_1_10,train
00015_1#00015_1_11,train
00015_1#00015_1_2,train
00015_1#00015_1_3,train
00015_1#00015_1_4,train
00015_1#00015_1_5,train
00015_1#00015_1_6,train
00015_1#00015_1_7,train
00015_1#00015_1_8,train
00015_1#00015_1_9,train
00037_2#00037_2_1,train
00037_2#00037_2_2,train
00037_2#00037_2_3,train
00037_2#00037_2_4,train
00037_2#00037_2_5,train
00042_6#00042_6_1,train
00042_6#00042_6_2,train
00042_6#00042_6_3,train
00042_6#00042_6_4,train
00082_5#00082_5_1,train
00082_5#00082_5_2,train
00082_5#00082_5_3,train
00082_5#00082_5_4,train
00082_5#00082_5_5,train
00082_5#00082_5_6,train
00089_8#00089_8_1,train
00089_8#00089_8_2,train
00089_8#00089_8_3,train
00089_8#00089_8_4,train
00089_8#00089_8_5,train
00089_8#00089_8_6,train
00089_8#00089_8_7,train
00141_1#00141_1_2,train
00141_1#00141_1_3,train
00141_1#00141_1_4,train
00141_1#00141_1_5,train
00141_1#00141_1_6,train
00141_1#00141_1_7,train
00285_18#00285_18_1,train
00285_18#00285_18_2,train
00285_18#00285_18_3,train
00321_8#00321_8_1,train
00321_8#00321_8_10,train
00321_8#00321_8_2,train
00321_8#00321_8_3,train
00321_8#00321_8_4,train
00344_3#00344_3_1,train
00344_3#00344_3_2,train
00344_3#00344_3_3,train
00344_3#00344_3_4,train
00344_3#00344_3_5,train
00363_1#00363_1_1,train
00363_1#00363_1_2,train
00363_1#00363_1_3,train
00363_1#00363_1_4,train
00414_5#00414_5_1,train
00414_5#00414_5_2,train
00414_5#00414_5_3,train
00414_5#00414_5_4,train
00414_5#00414_5_5,train
00424_5#00424_5_1,train
00424_5#00424_5_2,train
00424_5#00424_5_3,train
00424_5#00424_5_4,train
00517_15#00517_15_1,train
00517_15#00517_15_2,train
00517_15#00517_15_3,train
00517_6#00517_6_1,train
00517_6#00517_6_2,train
00517_6#00517_6_3,train
00517_6#00517_6_4,train
00517_6#00517_6_5,train
00517_6#00517_6_6,train
00517_6#00517_6_7,train
00517_6#00517_6_8,train
00517_6#00517_6_9,train
00528_3#00528_3_1,train
00528_3#00528_3_2,train
00528_3#00528_3_3,train
00719_2#00719_2_1,train
00719_2#00719_2_2,train
00719_2#00719_2_3,train
00719_2#00719_2_4,train
00746_1#00746_1_1,train
00746_1#00746_1_2,train
00746_1#00746_1_3,train
00867_1#00867_1_1,train
00867_1#00867_1_10,train
00867_1#00867_1_2,train
00867_1#00867_1_3,train
00867_1#00867_1_4,train
00867_1#00867_1_5,train
00867_1#00867_1_6,train
00867_1#00867_1_7,train
00867_1#00867_1_8,train
00867_1#00867_1_9,train
00953_1#00953_1_1,train
00953_1#00953_1_10,train
00953_1#00953_1_2,train
00953_1#00953_1_3,train
00953_1#00953_1_4,train
00953_1#00953_1_5,train
00953_1#00953_1_6,train
00953_1#00953_1_7,train
00953_1#00953_1_8,train
00953_1#00953_1_9,train
01072_4#01072_4_11,train
01072_4#01072_4_12,train
01072_4#01072_4_13,train
01072_4#01072_4_14,train
01072_4#01072_4_15,train
01072_4#01072_4_16,train
01072_4#01072_4_17,train
01072_4#01072_4_18,train
01072_4#01072_4_19,train
01072_4#01072_4_2,train
01072_4#01072_4_20,train
01072_4#01072_4_21,train
01072_4#01072_4_22,train
01072_4#01072_4_3,train
01072_4#01072_4_4,train
01072_4#01072_4_5,train
01072_4#01072_4_6,train
01072_4#01072_4_7,train
01072_4#01072_4_8,train
01072_4#01072_4_9,train
01077_6#01077_6_13,train
01077_6#01077_6_15,train
01077_6#01077_6_3,train
01077_6#01077_6_5,train
01077_6#01077_6_7,train
01077_6#01077_6_9,train
01091_6#01091_6_1,train
01091_6#01091_6_2,train
01091_6#01091_6_3,train
01091_6#01091_6_4,train
01108_8#01108_8_1,train
01108_8#01108_8_10,train
01108_8#01108_8_11,train
01108_8#01108_8_12,train
01108_8#01108_8_13,train
01108_8#01108_8_14,train
01108_8#01108_8_2,train
01108_8#01108_8_3,train
01108_8#01108_8_4,train
01108_8#01108_8_5,train
01108_8#01108_8_6,train
01108_8#01108_8_7,train
01108_8#01108_8_8,train
01108_8#01108_8_9,train
01159_11#01159_11_1,train
01159_11#01159_11_10,train
01159_11#01159_11_2,train
01159_11#01159_11_3,train
01159_11#01159_11_4,train
01159_11#01159_11_5,train
01159_11#01159_11_7,train
01159_11#01159_11_8,train
01159_11#01159_11_9,train
01236_8#01236_8_1,train
01236_8#01236_8_2,train
01236_8#01236_8_3,train
00026_4#00026_4_1,train
00026_4#00026_4_10,train
00026_4#00026_4_11,train
00026_4#00026_4_12,train
00026_4#00026_4_13,train
00026_4#00026_4_14,train
00026_4#00026_4_2,train
00026_4#00026_4_3,train
00026_4#00026_4_4,train
00026_4#00026_4_5,train
00026_4#00026_4_6,train
00026_4#00026_4_7,train
00026_4#00026_4_8,train
00026_4#00026_4_9,train
00038_7#00038_7_1,train
00038_7#00038_7_2,train
00038_7#00038_7_3,train
00038_7#00038_7_4,train
00140_4#00140_4_1,train
00140_4#00140_4_2,train
00140_4#00140_4_3,train
00140_4#00140_4_4,train
00140_4#00140_4_5,train
00140_4#00140_4_6,train
00289_2#00289_2_1,train
00289_2#00289_2_10,train
00289_2#00289_2_11,train
00289_2#00289_2_12,train
00289_2#00289_2_2,train
00289_2#00289_2_3,train
00289_2#00289_2_4,train
00289_2#00289_2_5,train
00289_2#00289_2_6,train
00289_2#00289_2_7,train
00289_2#00289_2_8,train
00289_2#00289_2_9,train
00321_8#00321_8_5,train
00321_8#00321_8_6,train
00321_8#00321_8_7,train
00321_8#00321_8_8,train
00321_8#00321_8_9,train
00365_4#00365_4_1,train
00365_4#00365_4_2,train
00365_4#00365_4_3,train
00365_4#00365_4_4,train
00365_4#00365_4_5,train
00365_4#00365_4_6,train
00365_4#00365_4_7,train
00387_8#00387_8_1,train
00387_8#00387_8_10,train
00387_8#00387_8_11,train
00387_8#00387_8_2,train
00387_8#00387_8_3,train
00387_8#00387_8_4,train
00387_8#00387_8_5,train
00387_8#00387_8_6,train
00387_8#00387_8_7,train
00387_8#00387_8_8,train
00387_8#00387_8_9,train
00477_2#00477_2_1,train
00477_2#00477_2_2,train
00477_2#00477_2_3,train
00477_2#00477_2_4,train
00477_2#00477_2_5,train
00477_2#00477_2_6,train
00477_2#00477_2_8,train
00477_2#00477_2_9,train
00504_2#00504_2_1,train
00504_2#00504_2_2,train
00504_2#00504_2_3,train
00504_2#00504_2_4,train
00549_14#00549_14_1,train
00549_14#00549_14_2,train
00549_14#00549_14_3,train
00591_7#00591_7_1,train
00591_7#00591_7_2,train
00591_7#00591_7_3,train
00591_7#00591_7_4,train
00591_7#00591_7_5,train
00591_7#00591_7_6,train
00591_7#00591_7_7,train
00613_7#00613_7_1,train
00613_7#00613_7_10,train
00613_7#00613_7_11,train
00613_7#00613_7_2,train
00613_7#00613_7_3,train
00613_7#00613_7_4,train
00613_7#00613_7_5,train
00613_7#00613_7_6,train
00613_7#00613_7_7,train
00613_7#00613_7_8,train
00613_7#00613_7_9,train
00683_5#00683_5_1,train
00683_5#00683_5_2,train
00683_5#00683_5_3,train
00683_5#00683_5_4,train
00683_5#00683_5_5,train
00718_4#00718_4_1,train
00718_4#00718_4_2,train
00718_4#00718_4_3,train
00718_4#00718_4_4,train
00718_4#00718_4_5,train
00720_3#00720_3_1,train
00720_3#00720_3_10,train
00720_3#00720_3_11,train
00720_3#00720_3_2,train
00720_3#00720_3_3,train
00720_3#00720_3_4,train
00720_3#00720_3_5,train
00720_3#00720_3_6,train
00720_3#00720_3_7,train
00720_3#00720_3_8,train
00720_3#00720_3_9,train
00726_6#00726_6_1,train
00726_6#00726_6_11,train
00726_6#00726_6_12,train
00726_6#00726_6_13,train
00726_6#00726_6_14,train
00726_6#00726_6_15,train
00726_6#00726_6_2,train
00726_6#00726_6_3,train
00726_6#00726_6_4,train
00726_6#00726_6_5,train
00726_6#00726_6_6,train
00726_6#00726_6_7,train
00726_6#00726_6_9,train
00738_2#00738_2_1,train
00738_2#00738_2_2,train
00738_2#00738_2_3,train
00738_2#00738_2_4,train
00781_4#00781_4_1,train
00781_4#00781_4_2,train
00781_4#00781_4_3,train
00781_4#00781_4_4,train
00781_4#00781_4_5,train
00781_4#00781_4_6,train
00799_6#00799_6_1,train
00799_6#00799_6_2,train
00799_6#00799_6_3,train
00799_6#00799_6_4,train
00799_6#00799_6_5,train
00876_5#00876_5_1,train
00876_5#00876_5_2,train
00876_5#00876_5_3,train
00895_5#00895_5_1,train
00895_5#00895_5_2,train
00895_5#00895_5_3,train
00953_4#00953_4_1,train
00953_4#00953_4_2,train
00953_4#00953_4_3,train
00953_4#00953_4_4,train
00953_4#00953_4_5,train
00953_4#00953_4_6,train
00953_4#00953_4_7,train
00953_4#00953_4_8,train
00953_4#00953_4_9,train
00953_5#00953_5_1,train
00953_5#00953_5_2,train
00953_5#00953_5_3,train
00953_5#00953_5_4,train
00953_5#00953_5_5,train
00953_5#00953_5_6,train
00953_5#00953_5_7,train
00989_6#00989_6_1,train
00989_6#00989_6_2,train
00989_6#00989_6_3,train
00989_6#00989_6_4,train
01003_11#01003_11_1,train
01003_11#01003_11_2,train
01003_11#01003_11_3,train
01003_11#01003_11_4,train
01003_11#01003_11_5,train
01069_4#01069_4_1,train
01069_4#01069_4_2,train
01168_4#01168_4_1,train
01168_4#01168_4_2,train
01168_4#01168_4_3,train
01168_4#01168_4_4,train
01174_22#01174_22_1,train
01174_22#01174_22_2,train
01174_22#01174_22_3,train
01174_22#01174_22_4,train
01174_22#01174_22_5,train
01179_15#01179_15_1,train
01179_15#01179_15_2,train
01179_15#01179_15_3,train
01179_26#01179_26_1,train
01179_26#01179_26_2,train
01179_26#01179_26_3,train
01179_26#01179_26_4,train
01179_26#01179_26_5,train
01179_26#01179_26_6,train
01179_26#01179_26_7,train
01183_11#01183_11_1,train
01183_11#01183_11_2,train
01183_11#01183_11_3,train
01183_11#01183_11_4,train
01183_11#01183_11_5,train
01183_4#01183_4_1,train
01183_4#01183_4_2,train
01183_4#01183_4_3,train
01247_10#01247_10_1,train
01247_10#01247_10_10,train
01247_10#01247_10_11,train
01247_10#01247_10_12,train
01247_10#01247_10_13,train
01247_10#01247_10_14,train
01247_10#01247_10_2,train
01247_10#01247_10_3,train
01247_10#01247_10_4,train
01247_10#01247_10_5,train
01247_10#01247_10_6,train
01247_10#01247_10_7,train
01247_10#01247_10_8,train
01247_10#01247_10_9,train
01247_13#01247_13_1,train
01247_13#01247_13_2,train
01247_13#01247_13_3,train
01247_13#01247_13_4,train
01273_2#01273_2_1,train
01273_2#01273_2_2,train
01273_2#01273_2_3,train
01273_2#01273_2_4,train
00121_2#00121_2_1,train
00121_2#00121_2_2,train
00121_2#00121_2_3,train
00121_2#00121_2_4,train
00121_2#00121_2_5,train
00166_9#00166_9_1,train
00166_9#00166_9_2,train
00166_9#00166_9_3,train
00166_9#00166_9_4,train
00197_10#00197_10_1,train
00197_10#00197_10_11,train
00197_10#00197_10_12,train
00197_10#00197_10_2,train
00197_10#00197_10_3,train
00197_10#00197_10_4,train
00197_10#00197_10_5,train
00197_10#00197_10_7,train
00197_10#00197_10_9,train
00201_1#00201_1_1,train
00201_1#00201_1_10,train
00201_1#00201_1_2,train
00201_1#00201_1_3,train
00201_1#00201_1_4,train
00201_1#00201_1_5,train
00201_1#00201_1_6,train
00201_1#00201_1_7,train
00201_1#00201_1_8,train
00201_1#00201_1_9,train
00235_6#00235_6_1,train
00235_6#00235_6_2,train
00235_6#00235_6_3,train
00243_3#00243_3_1,train
00243_3#00243_3_2,train
00243_3#00243_3_3,train
00253_1#00253_1_1,train
00253_1#00253_1_2,train
00253_1#00253_1_3,train
00253_1#00253_1_4,train
00253_1#00253_1_5,train
00328_2#00328_2_1,train
00328_2#00328_2_2,train
00328_2#00328_2_22,train
00328_2#00328_2_26,train
00328_2#00328_2_28,train
00328_2#00328_2_3,train
00328_2#00328_2_30,train
00387_3#00387_3_1,train
00387_3#00387_3_2,train
00387_3#00387_3_3,train
00387_3#00387_3_4,train
00387_3#00387_3_5,train
00387_3#00387_3_6,train
00402_29#00402_29_1,train
00402_29#00402_29_10,train
00402_29#00402_29_11,train
00402_29#00402_29_12,train
00402_29#00402_29_13,train
00402_29#00402_29_14,train
00402_29#00402_29_15,train
00402_29#00402_29_16,train
00402_29#00402_29_17,train
00402_29#00402_29_2,train
00402_29#00402_29_3,train
00402_29#00402_29_4,train
00402_29#00402_29_5,train
00402_29#00402_29_6,train
00402_29#00402_29_7,train
00402_29#00402_29_8,train
00402_29#00402_29_9,train
00410_3#00410_3_1,train
00410_3#00410_3_2,train
00410_3#00410_3_3,train
00410_3#00410_3_4,train
00472_3#00472_3_1,train
00472_3#00472_3_2,train
00472_3#00472_3_3,train
00497_1#00497_1_1,train
00497_1#00497_1_2,train
00497_1#00497_1_3,train
00497_1#00497_1_5,train
00497_1#00497_1_6,train
00497_1#00497_1_7,train
00572_6#00572_6_1,train
00572_6#00572_6_2,train
00572_6#00572_6_4,train
00572_6#00572_6_5,train
00709_5#00709_5_1,train
00709_5#00709_5_2,train
00709_5#00709_5_3,train
00743_5#00743_5_1,train
00743_5#00743_5_2,train
00743_5#00743_5_3,train
00755_7#00755_7_1,train
00755_7#00755_7_2,train
00755_7#00755_7_3,train
00869_2#00869_2_1,train
00869_2#00869_2_2,train
00869_2#00869_2_3,train
00879_3#00879_3_1,train
00879_3#00879_3_2,train
00879_3#00879_3_3,train
00899_7#00899_7_1,train
00899_7#00899_7_2,train
00899_7#00899_7_3,train
00961_2#00961_2_1,train
00961_2#00961_2_2,train
00961_2#00961_2_3,train
00961_2#00961_2_4,train
00961_2#00961_2_5,train
01028_4#01028_4_1,train
01028_4#01028_4_10,train
01028_4#01028_4_11,train
01028_4#01028_4_12,train
01028_4#01028_4_2,train
01028_4#01028_4_3,train
01028_4#01028_4_4,train
01028_4#01028_4_5,train
01028_4#01028_4_6,train
01028_4#01028_4_7,train
01028_4#01028_4_8,train
01028_4#01028_4_9,train
01050_1#01050_1_1,train
01050_1#01050_1_2,train
01050_1#01050_1_3,train
01050_1#01050_1_4,train
01050_1#01050_1_5,train
01050_1#01050_1_6,train
01058_2#01058_2_1,train
01058_2#01058_2_2,train
01058_2#01058_2_3,train
01058_2#01058_2_4,train
01069_4#01069_4_3,train
01069_4#01069_4_4,train
01069_4#01069_4_5,train
01164_4#01164_4_1,train
01164_4#01164_4_2,train
01164_4#01164_4_3,train
01164_4#01164_4_4,train
01164_4#01164_4_5,train
01164_4#01164_4_6,train
01227_2#01227_2_1,train
01227_2#01227_2_2,train
01227_2#01227_2_3,train
01227_2#01227_2_4,train
01236_5#01236_5_1,train
01236_5#01236_5_2,train
01236_5#01236_5_3,train
01236_5#01236_5_4,train
01236_5#01236_5_5,train
01251_1#01251_1_1,train
01251_1#01251_1_2,train
01251_1#01251_1_3,train
01251_1#01251_1_4,train
00040_9#00040_9_1,train
00040_9#00040_9_2,train
00040_9#00040_9_3,train
00046_8#00046_8_1,train
00046_8#00046_8_2,train
00046_8#00046_8_3,train
00046_8#00046_8_4,train
00067_5#00067_5_1,train
00067_5#00067_5_2,train
00067_5#00067_5_3,train
00067_5#00067_5_4,train
00067_5#00067_5_5,train
00067_5#00067_5_6,train
00067_5#00067_5_7,train
00067_5#00067_5_8,train
00211_9#00211_9_1,train
00211_9#00211_9_10,train
00211_9#00211_9_11,train
00211_9#00211_9_12,train
00211_9#00211_9_13,train
00211_9#00211_9_2,train
00211_9#00211_9_3,train
00211_9#00211_9_4,train
00211_9#00211_9_5,train
00211_9#00211_9_6,train
00211_9#00211_9_7,train
00211_9#00211_9_8,train
00285_30#00285_30_2,train
00285_30#00285_30_3,train
00285_30#00285_30_4,train
00285_30#00285_30_5,train
00285_30#00285_30_6,train
00285_30#00285_30_7,train
00285_30#00285_30_8,train
00285_30#00285_30_9,train
00289_10#00289_10_1,train
00289_10#00289_10_10,train
00289_10#00289_10_11,train
00289_10#00289_10_2,train
00289_10#00289_10_3,train
00289_10#00289_10_4,train
00289_10#00289_10_5,train
00289_10#00289_10_6,train
00289_10#00289_10_7,train
00289_10#00289_10_8,train
00289_10#00289_10_9,train
00289_3#00289_3_1,train
00289_3#00289_3_2,train
00289_3#00289_3_3,train
00332_1#00332_1_1,train
00332_1#00332_1_2,train
00332_1#00332_1_3,train
00431_1#00431_1_1,train
00431_1#00431_1_2,train
00431_1#00431_1_3,train
00431_1#00431_1_4,train
00431_1#00431_1_5,train
00431_1#00431_1_6,train
00431_1#00431_1_7,train
00521_10#00521_10_1,train
00521_10#00521_10_2,train
00521_10#00521_10_3,train
00521_10#00521_10_4,train
00521_10#00521_10_5,train
00521_10#00521_10_6,train
00521_10#00521_10_7,train
00521_10#00521_10_8,train
00521_12#00521_12_1,train
00521_12#00521_12_2,train
00521_12#00521_12_3,train
00521_12#00521_12_4,train
00521_12#00521_12_5,train
00558_3#00558_3_1,train
00558_3#00558_3_2,train
00558_3#00558_3_3,train
00558_3#00558_3_4,train
00558_3#00558_3_5,train
00558_3#00558_3_6,train
00558_3#00558_3_7,train
00558_3#00558_3_8,train
00558_3#00558_3_9,train
00580_3#00580_3_1,train
00580_3#00580_3_2,train
00580_3#00580_3_3,train
00580_3#00580_3_4,train
00580_3#00580_3_5,train
00634_1#00634_1_1,train
00634_1#00634_1_10,train
00634_1#00634_1_2,train
00634_1#00634_1_3,train
00634_1#00634_1_4,train
00634_1#00634_1_5,train
