pairid,argid,propid_to,propid_from,text_to,text_from,relation,abduct_3_cause,abduct_3_obstruct
00800_1#00800_1_1,00800,00800_1,00800_1_1,The US federal government should increase the minimum wage.,"Contention that a minimum wage increase is an ""income transfer"" that ""places the entire burden on one small group the employers of low-wage workers and, to some extent, their customers.""",-1,4.798036752617918e-05,4.763281685882248e-05
00211_1#00211_1_2,00211,00211_1,00211_1_2,The US federal government should increase the minimum wage.,"Contention that a minimum wage increase is an ""income transfer"" that ""places the entire burden on one small group the employers of low-wage workers and, to some extent, their customers.""",-1,4.798036752617918e-05,4.763281685882248e-05
00550_6#00550_6_3,00550,00550_6,00550_6_3,Partial-birth abortion should be banned.,"Other common logistical and/or personal reasons might exist that make a first trimester abortion infeasible, and which may provide a sufficient circumstance for a woman to seek a late, partial birth abortion.",-1,6.21035069343634e-05,3.4862565371440724e-05
00800_5#00800_5_2,00800,00800_5,00800_5_2,The US federal government should increase the minimum wage.,"A minimum wage increase ""stimulates consumption, and thus economic growth, by placing more money in the hands of poor people who spend much, if not all, of their paychecks.""",1,5.9930342104053125e-05,2.3395672542392276e-05
00549_5#00549_5_2,00549,00549_5,00549_5_2,The United Kingdom should hand over the Falkland Islands to Argentina.,"Argentinas inheritance claim is self righteous as there was no binding universal international law at that time, meaning no rights for inheriting land they did not control during their unilateral independence",-1,6.40206562820822e-05,0.00011854567856062204
00211_5#00211_5_8,00211,00211_5,00211_5_8,The US federal government should increase the minimum wage.,"A minimum wage increase ""stimulates consumption, and thus economic growth, by placing more money in the hands of poor people who spend much, if not all, of their paychecks.""",1,5.9930342104053125e-05,2.3395672542392276e-05
00874_8#00874_8_19,00874,00874_8,00874_8_19,Society should ban or restrict the sale and use of violent video games.,"Williams (U of Illinois) and Marko Skoric (University in Singapore), ""Internet Fantasy Violence: A Test of Aggression in an Online Game, Communication Monographs, 2005",-1,0.0001728832139633596,0.00025128660490736365
00164_9#00164_9_5,00164,00164_9,00164_9_5,Gay couples should be given the same legal rights as heterosexuals in adopting children.,The American Academy of Pediatrics and all of the major professional organizations with expertise in child welfare have issued reports and resolutions in support of gay and lesbian parental rights.,1,0.0001951584272319451,6.842138827778399e-05
00164_9#00164_9_9,00164,00164_9,00164_9_9,Gay couples should be given the same legal rights as heterosexuals in adopting children.,Lesbian and gay parents are every bit as fit and capable as heterosexual parents and their children are as psychologically healthy and well-adjusted as children reared by heterosexual parents,1,6.12639996688813e-05,1.779092963261064e-05
00550_6#00550_6_7,00550,00550_6,00550_6_7,Partial-birth abortion should be banned.,"""Slippery-slope"" argument that ""once ""fetal rights"" are granted to one stage of the pregnancy, nothing will prevent their extension to all stages"", which is argued as going too far.",-1,5.011319080949761e-05,2.556377148721367e-05
00412_1#00412_1_4,00412,00412_1,00412_1_4,"Limits or regulations should be placed on how candidates raise funds, and/or spend them, during political campaigns.","Even under the most radical proposals for reform, loopholes exist that enable candidates to spend more or reach their audiences through alternative means.",-1,0.0001212150018545799,1.6498222976224497e-05
00152_3#00152_3_1,00152,00152_3,00152_3_1,Marijuana possession should be decriminalized and made into a civil offense.,"Increased crime The Drug Enforcement Administration (DEA) has claimed that marijuana leads to increased crime in the un-sourced pamphlet entitled ""Speaking Out Against Drug Legalization.""",-1,5.547394903260283e-05,8.207890641642734e-05
00449_3#00449_3_10,00449,00449_3,00449_3_10,"It is ethical for colleges, parents, or employers to get information about people from social networking websites.","Companies have Facebook profiles that benefit job-seekers, making the trade-off acceptable for employers to seek information about candidates on these sites.",1,0.0001263000740436837,5.7153378293151036e-05
00726_3#00726_3_7,00726,00726_3,00726_3_7,The US government should fund embryonic stem cell research.,"Jonathan Sarfati writes that in ""Senators use Bible for lessons on life in stem cell debate"", The Greenville News, 7/19/01 Zitmer, A.",1,8.110108319669962e-05,0.00015648678527213633
00090_8#00090_8_5,00090,00090_8,00090_8_5,Society should ban or restrict the sale and use of violent video games.,"""Actually, violent games act more as a type of catharsis, allowing people with aggressive feelings to vent them in the game rather than in real life.""",-1,4.4232325308257714e-05,0.00010296011168975383
00034_6#00034_6_1,00034,00034_6,00034_6_1,Governments should legalise all drugs.,In the short term it might eliminate drug dealers on our streets but do any of us really think that whatever multinational corporation ends of cornering the drug market will have a problem trading with the existing cartels,-1,9.180243068840355e-05,0.00034301591222174466
00726_5#00726_5_3,00726,00726_5,00726_5_3,The US government should fund embryonic stem cell research.,"The vast majority of the 400,000 frozen embryos in the United States will either be stored indefinitely or destroyed at some point - thus they should be used for stem cell research:",1,0.0003367758763488382,2.5563700546626933e-05
01234_1#01234_1_1,01234,01234_1,01234_1_1,This House believes that hate speech should be a crime.,"Even such things as computer games, cartoons and so on, if they contain offensive remarks against other groups, may lead hot only to conflicts within the country, but to international ones.",1,0.0004955188487656415,1.2551574400276877e-05
00874_8#00874_8_13,00874,00874_8,00874_8_13,Society should ban or restrict the sale and use of violent video games.,"""Actually, violent games act more as a type of catharsis, allowing people with aggressive feelings to vent them in the game rather than in real life.""",-1,4.4232325308257714e-05,0.00010296011168975383
00726_6#00726_6_1,00726,00726_6,00726_6_1,The US government should fund embryonic stem cell research.,"Adult stem cells have a capacity to ""dedifferentiate"" and then become a wide range of tissues, similar to the wide ranging possibilities of embryonic stem cells:",-1,9.03286854736507e-05,2.9701403036597185e-05
00090_8#00090_8_18,00090,00090_8,00090_8_18,Society should ban or restrict the sale and use of violent video games.,Claim that testimonies of criminals that place blame on video games should not be relied upon as the criminals may simply be looking for a deflective excuse:,-1,0.00014005684352014214,1.3901350939704571e-05
00909_2#00909_2_2,00909,00909_2,00909_2_2,Doctors should be allowed to prescribe contraception for girls under the age of 16.,"To presume that girls, or young people in general will be prevented from experimenting with sex if they are denied contraception is ludicrous:",1,9.391630010213703e-05,4.432020796230063e-05
00800_1#00800_1_5,00800,00800_1,00800_1_5,The US federal government should increase the minimum wage.,Oregon Study concludes that its employers (particularly in agriculture and restaurant industries) have fared very well and are hiring despite having one of the highest (and inflation indexed) minimum wages:,1,4.7062861995073035e-05,5.8626566897146404e-05
00211_1#00211_1_11,00211,00211_1,00211_1_11,The US federal government should increase the minimum wage.,Oregon Study concludes that its employers (particularly in agriculture and restaurant industries) have fared very well and are hiring despite having one of the highest (and inflation indexed) minimum wages:,1,4.7062861995073035e-05,5.8626566897146404e-05
00447_8#00447_8_7,00447,00447_8,00447_8_7,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" punishes citizens coming-out of closet]",1,4.6456014388240874e-05,1.9851780962198973e-05
00149_5#00149_5_1,00149,00149_5,00149_5_1,There should be a legally mandated ceiling on weekly working hours.,"Unless competing economies implement similar rules, any restrictions on economic production may simply encourage the relocation of that production to an economy that is not encumbered with the same rules.",-1,0.001022768672555685,4.558570799417794e-05
00909_3#00909_3_3,00909,00909_3,00909_3_3,Doctors should be allowed to prescribe contraception for girls under the age of 16.,"""Children"" should not be expected to abruptly change their attitudes and behaviour toward sex and contraception-use at the turn of their 16th birthday.",1,0.002212761901319027,0.00031100798514671624
00874_8#00874_8_15,00874,00874_8,00874_8_15,Society should ban or restrict the sale and use of violent video games.,Claim that testimonies of criminals that place blame on video games should not be relied upon as the criminals may simply be looking for a deflective excuse:,-1,0.00014005684352014214,1.3901350939704571e-05
00452_6#00452_6_17,00452,00452_6,00452_6_17,This House believes that downloading music and films from the Internet should be prohibited.,The only artists making money off record royalties (receiving money from every copy sold) are the extremely popular ones that already have a lot of money anyway,-1,0.00015974861162249,0.00021880427084397525
00090_8#00090_8_13,00090,00090_8,00090_8_13,Society should ban or restrict the sale and use of violent video games.,"Argument that during the period in which violent gameplay among youth has increased, youth crime rates have fallen, weakening the causal link between violent game play and violence:",-1,0.0004338090366218239,1.2387384231260512e-05
00090_8#00090_8_9,00090,00090_8,00090_8_9,Society should ban or restrict the sale and use of violent video games.,Claim that the effects of violence and crime-based video games are even worse than similar films and TV because of the interactive element that exists in video games.,1,5.873477130080573e-05,2.2532813090947457e-05
00447_3#00447_3_9,00447,00447_3,00447_3_9,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" undermines troop morale and unit cohesion",1,6.10492134001106e-05,1.85581884579733e-05
00741_2#00741_2_2,00741,00741_2,00741_2_2,Unemployed people should be made to work for their welfare money.,"Putting the unemployed into workfare schemes actually limits their opportunities to look for work, by making them show up for make-work schemes when they could be job hunting:",-1,0.0009477714775130153,0.00028074620058760047
00447_8#00447_8_9,00447,00447_8,00447_8_9,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" forbids homosexual acts, not gays",-1,4.208215977996588e-05,2.565245085861534e-05
00599_2#00599_2_3,00599,00599_2,00599_2_3,Scotland should become an independent nation.,"Some sources argue that it may no longer be very valuable in todays Europe to maintain ""economies of scale"" in larger unions for the sake of pooling resources for funding a stronger military.",1,0.0005035170470364392,0.00017845169350039214
01106_2#01106_2_2,01106,01106_2,01106_2_2,Scotland should become an independent nation.,"Some sources argue that it may no longer be very valuable in todays Europe to maintain ""economies of scale"" in larger unions for the sake of pooling resources for funding a stronger military.",1,0.0005035170470364392,0.00017845169350039214
00301_5#00301_5_5,00301,00301_5,00301_5_5,The state should be fully privatised.,"Some would also point out that privatizing certain functions of government might hamper coordination, and charge firms with specialized and limited capabilities to perform functions which they are not suited for.",-1,0.00011771278514061123,0.0003701532259583473
00160_2#00160_2_4,00160,00160_2,00160_2_4,Unemployed people should be made to work for their welfare money.,"Putting the unemployed into workfare schemes actually limits their opportunities to look for work, by making them show up for make-work schemes when they could be job hunting:",-1,0.0009477714775130153,0.00028074620058760047
01009_7#01009_7_3,01009,01009_7,01009_7_3,Arranged marriages should be outlawed.,We have made pathetically small progress in stamping out mail order brides which just goes to show how completely unenforceable a much more complex system of regulation over arranged marriages would be.,-1,4.3066273065051064e-05,3.780338374781422e-05
00971_5#00971_5_7,00971,00971_5,00971_5_7,The state should be fully privatised.,"Some would also point out that privatizing certain functions of government might hamper coordination, and charge firms with specialized and limited capabilities to perform functions which they are not suited for.",-1,0.00011771278514061123,0.0003701532259583473
00874_8#00874_8_22,00874,00874_8,00874_8_22,Society should ban or restrict the sale and use of violent video games.,Claim that the effects of violence and crime-based video games are even worse than similar films and TV because of the interactive element that exists in video games.,1,5.873477130080573e-05,2.2532813090947457e-05
00874_8#00874_8_28,00874,00874_8,00874_8_28,Society should ban or restrict the sale and use of violent video games.,"Argument that during the period in which violent gameplay among youth has increased, youth crime rates have fallen, weakening the causal link between violent game play and violence:",-1,0.0004338090366218239,1.2387384231260512e-05
00055_14#00055_14_3,00055,00055_14,00055_14_3,Iraq should be partitioned into three autonomous sectarian regions.,"Claim that Sunnis may have the most to gain from a partitioning of Iraq, giving them reasons to change their general position to support for a partition plan:",1,0.0003328147577121854,9.946147656592075e-06
00800_7#00800_7_10,00800,00800_7,00800_7_10,The US federal government should increase the minimum wage.,States and cities in which raises in the minimum wage are claimed to have had no negative effect on employment (these findings and claims are often cited in the larger debate):,1,7.778247527312487e-05,0.00010604273120407015
00874_2#00874_2_2,00874,00874_2,00874_2_2,Society should ban or restrict the sale and use of violent video games.,"The primary role of a government is to protect its citizens from damaging themselves and society as a whole, which may include the function of video game censorship:",1,6.652474985457957e-05,3.2066473067970946e-05
00211_7#00211_7_2,00211,00211_7,00211_7_2,The US federal government should increase the minimum wage.,States and cities in which raises in the minimum wage are claimed to have had no negative effect on employment (these findings and claims are often cited in the larger debate):,1,7.778247527312487e-05,0.00010604273120407015
00966_2#00966_2_5,00966,00966_2,00966_2_5,Women should be allowed to serve in equal combat roles in armed forces.,"While the vast proportion of jobs in the armed forces are open equally to men and women, there are some to which women are just not physically suited.",-1,0.00014663102047052234,0.00012438029807526618
00680_3#00680_3_3,00680,00680_3,00680_3_3,Nato should continue to expand into East Europe and possible beyond.,"The increasing trend towards Russian nationalism can be attributed to the weakness of the economy and the continued conflict in Chechnya, rather than the possibility of NATO expansion.",1,0.0007100961520336568,1.0100867257278878e-05
00550_6#00550_6_4,00550,00550_6,00550_6_4,Partial-birth abortion should be banned.,Certain medical conditions of the baby or mother that threaten the mothers health or life may develop later in a pregnancy making late-term abortion justified as a way to protect the mothers health.,-1,0.0005786502151750028,6.766957812942564e-05
00412_1#00412_1_2,00412,00412_1,00412_1_2,"Limits or regulations should be placed on how candidates raise funds, and/or spend them, during political campaigns.",There is actually more turnover in public office than some critics of the present campaign finance systems would like to admit.,-1,9.564179345034063e-05,9.005732135847211e-05
00412_1#00412_1_3,00412,00412_1,00412_1_3,"Limits or regulations should be placed on how candidates raise funds, and/or spend them, during political campaigns.","Campaign finance reform will make elections more competitive, thus resulting in more turnover or ""fresh blood"" in politics.",1,0.0007556424825452268,2.8439433663152158e-05
00145_5#00145_5_6,00145,00145_5,00145_5_6,Unregulated distribution of copyrighted works over Internet should be allowed.,The only artists making money off record royalties (receiving money from every copy sold) are the extremely popular ones that already have a lot of money anyway,1,5.64257352380082e-05,0.00016484083607792854
00431_2#00431_2_2,00431,00431_2,00431_2_2,Women should be allowed to serve in equal combat roles in armed forces.,"While the vast proportion of jobs in the armed forces are open equally to men and women, there are some to which women are just not physically suited.",-1,0.00014663102047052234,0.00012438029807526618
00090_2#00090_2_1,00090,00090_2,00090_2_1,Society should ban or restrict the sale and use of violent video games.,"The primary role of a government is to protect its citizens from damaging themselves and society as a whole, which may include the function of video game censorship:",1,6.652474985457957e-05,3.2066473067970946e-05
00228_3#00228_3_3,00228,00228_3,00228_3_3,Flag burning as a form of protest should be prohibited.,"To question whether flag burning is an example of free ""speech"" is to engage in a futile semantic discussion: The law ought to protect the freedom of expression.",-1,0.0002906069566961378,9.132703780778684e-06
00118_4#00118_4_2,00118,00118_4,00118_4_2,Divorce is acceptable in modern society. Individuals should feel free to seek divorce.,It is more damaging for a child to have to suffer the break-up of their parents than to live through a conflicted household marriage:,-1,0.00018385931616649032,0.0001463950175093487
00447_2#00447_2_1,00447,00447_2,00447_2_1,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","Military should not end ""don""t ask don""t tell"" during war",-1,0.00018028717022389174,3.842226942651905e-05
00447_2#00447_2_4,00447,00447_2,00447_2_4,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell is exploited by troops to avoid combat",1,9.463728929404169e-05,1.1990509847237263e-05
00447_2#00447_2_5,00447,00447_2,00447_2_5,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" puts commanders in compromising position",1,5.886913641006686e-05,1.4734824617335107e-05
00447_2#00447_2_7,00447,00447_2,00447_2_7,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","Military should not end ""don""t ask don""t tell"" during war",-1,0.00018028717022389174,3.842226942651905e-05
00615_4#00615_4_4,00615,00615_4,00615_4_4,The international community should intervene militarily in Darfur.,The aims of the Sudanese government were not to eradicate a people but rather to carry out the brutal suppression of what was seen as an existential threat.,-1,9.955530549632385e-05,3.5044158721575513e-05
00447_5#00447_5_1,00447,00447_5,00447_5_1,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" does not actively pursue gays",-1,5.019592572352849e-05,2.6623565645422786e-05
00100_3#00100_3_3,00100,00100_3,00100_3_3,Flag burning as a form of protest should be prohibited.,"To question whether flag burning is an example of free ""speech"" is to engage in a futile semantic discussion: The law ought to protect the freedom of expression.",-1,0.0002906069566961378,9.132703780778684e-06
00726_5#00726_5_6,00726,00726_5,00726_5_6,The US government should fund embryonic stem cell research.,"The parents of at least 11,000 of these 400,000 embryos have given explicit permission for their embryos to be made available for stem-cell research",1,7.55848886910826e-05,3.863868550979532e-05
00800_5#00800_5_1,00800,00800_5,00800_5_1,The US federal government should increase the minimum wage.,"Argument that there is no overall negative economic impact:The NewMexican.com, ""Santa Fe - ""Study: No harm yet from wage law"":",1,0.00010109954018844292,9.822870197240263e-06
00100_2#00100_2_1,00100,00100_2,00100_2_1,Flag burning as a form of protest should be prohibited.,There is no consistent causal link between flag burning and national security and/or public safety threat (the common justifications for any restrictions on freedom of speech):,-1,4.141341560170986e-05,2.5419663870707154e-05
00447_15#00447_15_2,00447,00447_15,00447_15_2,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" has been very costly in dollars",1,4.0801667637424543e-05,2.6812031137524173e-05
00447_18#00447_18_3,00447,00447_18,00447_18_3,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell insults and traumatizes gay troops",1,4.800088572665118e-05,1.7649617802817374e-05
00447_18#00447_18_5,00447,00447_18,00447_18_5,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" softened military policy on gays",-1,8.385329419979826e-05,1.7814416423789226e-05
00664_5#00664_5_1,00664,00664_5,00664_5_1,Whaling is a good idea. The ban on whaling should be dropped.,"The decline in fish stocks is due to overfishing by man, not to the activities of whales, many of which eat only plankton.",-1,0.0008166320621967316,0.0004542111128102988
00145_8#00145_8_2,00145,00145_8,00145_8_2,Unregulated distribution of copyrighted works over Internet should be allowed.,"MP3 files could in principle be a good way of promoting unknown artists, but nearly all the music that is shared and downloaded is highly commercial.",-1,0.00012888609489891678,0.0001823298807721585
00549_4#00549_4_5,00549,00549_4,00549_4_5,The United Kingdom should hand over the Falkland Islands to Argentina.,The Nookta Sound convention did not affect Britains rights to the islands as they already had an agreement with Spain where both nations rights were secured in 1771,-1,5.802008672617376e-05,3.604518133215606e-05
00211_5#00211_5_3,00211,00211_5,00211_5_3,The US federal government should increase the minimum wage.,"Argument that there is no overall negative economic impact:The NewMexican.com, ""Santa Fe - ""Study: No harm yet from wage law"":",1,0.00010109954018844292,9.822870197240263e-06
00228_2#00228_2_4,00228,00228_2,00228_2_4,Flag burning as a form of protest should be prohibited.,There is no consistent causal link between flag burning and national security and/or public safety threat (the common justifications for any restrictions on freedom of speech):,-1,4.141341560170986e-05,2.5419663870707154e-05
00447_4#00447_4_1,00447,00447_4,00447_4_1,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","If ""immoral"" gays banned from military, ban adulterers too",1,4.412275302456692e-05,3.1395768019137904e-05
01302_4#01302_4_1,01302,01302_4,01302_4_1,Divorce is acceptable in modern society. Individuals should feel free to seek divorce.,It is more damaging for a child to have to suffer the break-up of their parents than to live through a conflicted household marriage:,-1,0.00018385931616649032,0.0001463950175093487
00800_7#00800_7_51,00800,00800_7,00800_7_51,The US federal government should increase the minimum wage.,Claim that raising the minimum wage may limit the ability of low-skill job-seekers to exchange their low-wage labor for job training and other fringe benefits:,-1,4.3175288737984374e-05,3.396214378881268e-05
00118_1#00118_1_1,00118,00118_1,00118_1_1,Divorce is acceptable in modern society. Individuals should feel free to seek divorce.,"Marriage is about union and love, both of which are hard to fulfill and need to be continually worked on, rather than abandoned casually:",-1,0.00010393251432105899,0.0001101902817026712
00211_7#00211_7_5,00211,00211_7,00211_7_5,The US federal government should increase the minimum wage.,Claim that raising the minimum wage may limit the ability of low-skill job-seekers to exchange their low-wage labor for job training and other fringe benefits:,-1,4.3175288737984374e-05,3.396214378881268e-05
00090_8#00090_8_6,00090,00090_8,00090_8_6,Society should ban or restrict the sale and use of violent video games.,"Claim that the intensity of the above influences of video games on the player are likely only going to grow, as video games become increasingly realistic:",1,6.162286445032805e-05,2.4626926460769027e-05
00447_5#00447_5_3,00447,00447_5,00447_5_3,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" costs the military needed soldiers",1,5.693946513929404e-05,2.0601173673640005e-05
00447_5#00447_5_7,00447,00447_5,00447_5_7,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" fosters discrimination against women",1,5.9978563513141125e-05,2.013539597101044e-05
00999_2#00999_2_1,00999,00999_2,00999_2_1,Cultural treasures should be returned to their country of origin.,"It is not always clear how artefacts were acquired (illegally or otherwise), making it impossible to determine a basis for their return to a country of origin:",-1,0.00011450176680227742,4.718191848951392e-05
00447_8#00447_8_1,00447,00447_8,00447_8_1,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell makes gays second class citizens",1,6.21518847765401e-05,1.9207134755561128e-05
00447_8#00447_8_5,00447,00447_8,00447_8_5,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" has been upheld in court",-1,4.7905970859574154e-05,1.5357736629084684e-05
00874_8#00874_8_26,00874,00874_8,00874_8_26,Society should ban or restrict the sale and use of violent video games.,"Claim that the intensity of the above influences of video games on the player are likely only going to grow, as video games become increasingly realistic:",1,6.162286445032805e-05,2.4626926460769027e-05
01302_1#01302_1_4,01302,01302_1,01302_1_4,Divorce is acceptable in modern society. Individuals should feel free to seek divorce.,"Marriage is about union and love, both of which are hard to fulfill and need to be continually worked on, rather than abandoned casually:",-1,0.00010393251432105899,0.0001101902817026712
