pairid,argid,propid_to,propid_from,text_to,text_from,relation,causal_3_cause,causal_3_obstruct
00211_1#00211_1_13,00211,00211_1,00211_1_13,The US federal government should increase the minimum wage.,"Claim that raising the minimum wage would also force employers to raise the wages of employees that were well above the minimum wage (""wage creep""):According to a NYTimes Op-ed 1/3/06",-1,0.9940881729125977,5.7663582992972806e-05
00726_3#00726_3_3,00726,00726_3,00726_3_3,The US government should fund embryonic stem cell research.,"Human ""life"" begins at ""conception"", when a sperm fertilizes an egg cell, making the destruction of an embryo at any point beyond ""conception""  the destruction of ""human life"":",-1,0.018246391788125038,0.00021552697580773383
00449_5#00449_5_3,00449,00449_5,00449_5_3,"It is ethical for colleges, parents, or employers to get information about people from social networking websites.","Privacy is a very important element of the social contract, and helps foster individuality and free expression, but is undermined by the extent of access of these groups.",-1,0.04970136657357216,4.233736763126217e-05
00164_9#00164_9_3,00164,00164_9,00164_9_3,Gay couples should be given the same legal rights as heterosexuals in adopting children.,"There is no scientific basis for concluding that gay and lesbian parents are any less fit or capable than heterosexual parents, or that their children are any less psychologically healthy and well adjusted.",1,0.009225008077919483,0.00015065881598275155
00108_3#00108_3_3,00108,00108_3,00108_3_3,The present international ban on trading elephant ivory should be lifted.,"The 1999 relaxation of CITES controls coincided with a fivefold upsurge in poaching in Kenya and a similar increase in India, as criminals assumed that legal sales would soon be allowed once again.",-1,0.9665594696998596,4.1487986891297624e-05
00250_3#00250_3_1,00250,00250_3,00250_3_1,The present international ban on trading elephant ivory should be lifted.,"The 1999 relaxation of CITES controls coincided with a fivefold upsurge in poaching in Kenya and a similar increase in India, as criminals assumed that legal sales would soon be allowed once again.",-1,0.9665594696998596,4.1487986891297624e-05
00964_5#00964_5_1,00964,00964_5,00964_5_1,It is right for Governments to restrict freedom of speech.,"Irrespective of its US provenance, we recognise that ""the most stringent protection of free speech would not protect a man in falsely shouting fire in a theatre and causing a panic.""",1,0.7089501023292542,7.859629113227129e-05
00670_5#00670_5_1,00670,00670_5,00670_5_1,It is right for Governments to restrict freedom of speech.,"Irrespective of its US provenance, we recognise that ""the most stringent protection of free speech would not protect a man in falsely shouting fire in a theatre and causing a panic.""",1,0.7089501023292542,7.859629113227129e-05
00090_8#00090_8_37,00090,00090_8,00090_8_37,Society should ban or restrict the sale and use of violent video games.,"Counter-argument to...""Myth 11. If violent video games cause increases in aggression, violent crime rates in the U.S. would be increasing instead of decreasing.",1,0.9991101622581482,2.108263834088575e-05
00874_8#00874_8_35,00874,00874_8,00874_8_35,Society should ban or restrict the sale and use of violent video games.,"Counter-argument to...""Myth 11. If violent video games cause increases in aggression, violent crime rates in the U.S. would be increasing instead of decreasing.",1,0.9991101622581482,2.108263834088575e-05
00800_7#00800_7_15,00800,00800_7,00800_7_15,The US federal government should increase the minimum wage.,Contention that a minimum wage increase is due in historical perspective; that it had been too long since a minimum wage increase and that the purchasing power of the minimum wage level is at an historic low:,1,0.9998700618743896,3.2681444281479344e-05
00211_7#00211_7_1,00211,00211_7,00211_7_1,The US federal government should increase the minimum wage.,Contention that a minimum wage increase is due in historical perspective; that it had been too long since a minimum wage increase and that the purchasing power of the minimum wage level is at an historic low:,1,0.9998700618743896,3.2681444281479344e-05
00090_8#00090_8_16,00090,00090_8,00090_8_16,Society should ban or restrict the sale and use of violent video games.,"Williams (U of Illinois) and Marko Skoric (University in Singapore), ""Internet Fantasy Violence: A Test of Aggression in an Online Game, Communication Monographs, 2005",-1,0.9955894947052002,0.00025918884784914553
00800_1#00800_1_1,00800,00800_1,00800_1_1,The US federal government should increase the minimum wage.,"Contention that a minimum wage increase is an ""income transfer"" that ""places the entire burden on one small group the employers of low-wage workers and, to some extent, their customers.""",-1,0.9998824596405029,3.337427551741712e-05
00211_1#00211_1_2,00211,00211_1,00211_1_2,The US federal government should increase the minimum wage.,"Contention that a minimum wage increase is an ""income transfer"" that ""places the entire burden on one small group the employers of low-wage workers and, to some extent, their customers.""",-1,0.9998824596405029,3.337427551741712e-05
00550_6#00550_6_3,00550,00550_6,00550_6_3,Partial-birth abortion should be banned.,"Other common logistical and/or personal reasons might exist that make a first trimester abortion infeasible, and which may provide a sufficient circumstance for a woman to seek a late, partial birth abortion.",-1,0.017745522782206535,0.00018680495850276202
00800_5#00800_5_2,00800,00800_5,00800_5_2,The US federal government should increase the minimum wage.,"A minimum wage increase ""stimulates consumption, and thus economic growth, by placing more money in the hands of poor people who spend much, if not all, of their paychecks.""",1,0.9859939813613892,9.278814104618505e-05
00549_5#00549_5_2,00549,00549_5,00549_5_2,The United Kingdom should hand over the Falkland Islands to Argentina.,"Argentinas inheritance claim is self righteous as there was no binding universal international law at that time, meaning no rights for inheriting land they did not control during their unilateral independence",-1,0.0032304348424077034,0.0004156303475610912
00211_5#00211_5_8,00211,00211_5,00211_5_8,The US federal government should increase the minimum wage.,"A minimum wage increase ""stimulates consumption, and thus economic growth, by placing more money in the hands of poor people who spend much, if not all, of their paychecks.""",1,0.9859939813613892,9.278814104618505e-05
00874_8#00874_8_19,00874,00874_8,00874_8_19,Society should ban or restrict the sale and use of violent video games.,"Williams (U of Illinois) and Marko Skoric (University in Singapore), ""Internet Fantasy Violence: A Test of Aggression in an Online Game, Communication Monographs, 2005",-1,0.9955894947052002,0.00025918884784914553
00164_9#00164_9_5,00164,00164_9,00164_9_5,Gay couples should be given the same legal rights as heterosexuals in adopting children.,The American Academy of Pediatrics and all of the major professional organizations with expertise in child welfare have issued reports and resolutions in support of gay and lesbian parental rights.,1,0.20750780403614044,0.0001662293798290193
00164_9#00164_9_9,00164,00164_9,00164_9_9,Gay couples should be given the same legal rights as heterosexuals in adopting children.,Lesbian and gay parents are every bit as fit and capable as heterosexual parents and their children are as psychologically healthy and well-adjusted as children reared by heterosexual parents,1,0.16093285381793976,9.074429544853047e-05
00550_6#00550_6_7,00550,00550_6,00550_6_7,Partial-birth abortion should be banned.,"""Slippery-slope"" argument that ""once ""fetal rights"" are granted to one stage of the pregnancy, nothing will prevent their extension to all stages"", which is argued as going too far.",-1,0.9991188645362854,1.528156099084299e-05
00412_1#00412_1_4,00412,00412_1,00412_1_4,"Limits or regulations should be placed on how candidates raise funds, and/or spend them, during political campaigns.","Even under the most radical proposals for reform, loopholes exist that enable candidates to spend more or reach their audiences through alternative means.",-1,0.0009311576723121107,2.1842455680598505e-05
00152_3#00152_3_1,00152,00152_3,00152_3_1,Marijuana possession should be decriminalized and made into a civil offense.,"Increased crime The Drug Enforcement Administration (DEA) has claimed that marijuana leads to increased crime in the un-sourced pamphlet entitled ""Speaking Out Against Drug Legalization.""",-1,0.978264570236206,0.0002341168437851593
00449_3#00449_3_10,00449,00449_3,00449_3_10,"It is ethical for colleges, parents, or employers to get information about people from social networking websites.","Companies have Facebook profiles that benefit job-seekers, making the trade-off acceptable for employers to seek information about candidates on these sites.",1,0.11838343739509583,6.44567480776459e-05
00726_3#00726_3_7,00726,00726_3,00726_3_7,The US government should fund embryonic stem cell research.,"Jonathan Sarfati writes that in ""Senators use Bible for lessons on life in stem cell debate"", The Greenville News, 7/19/01 Zitmer, A.",1,0.9856618046760559,0.00045166557538323104
00090_8#00090_8_5,00090,00090_8,00090_8_5,Society should ban or restrict the sale and use of violent video games.,"""Actually, violent games act more as a type of catharsis, allowing people with aggressive feelings to vent them in the game rather than in real life.""",-1,0.43838730454444885,0.0006776102818548679
00034_6#00034_6_1,00034,00034_6,00034_6_1,Governments should legalise all drugs.,In the short term it might eliminate drug dealers on our streets but do any of us really think that whatever multinational corporation ends of cornering the drug market will have a problem trading with the existing cartels,-1,0.002400351455435157,0.0005134466919116676
00726_5#00726_5_3,00726,00726_5,00726_5_3,The US government should fund embryonic stem cell research.,"The vast majority of the 400,000 frozen embryos in the United States will either be stored indefinitely or destroyed at some point - thus they should be used for stem cell research:",1,0.025250565260648727,6.0047026636311784e-05
01234_1#01234_1_1,01234,01234_1,01234_1_1,This House believes that hate speech should be a crime.,"Even such things as computer games, cartoons and so on, if they contain offensive remarks against other groups, may lead hot only to conflicts within the country, but to international ones.",1,0.0001848245010478422,0.00011656113201752305
00874_8#00874_8_13,00874,00874_8,00874_8_13,Society should ban or restrict the sale and use of violent video games.,"""Actually, violent games act more as a type of catharsis, allowing people with aggressive feelings to vent them in the game rather than in real life.""",-1,0.43838730454444885,0.0006776102818548679
00726_6#00726_6_1,00726,00726_6,00726_6_1,The US government should fund embryonic stem cell research.,"Adult stem cells have a capacity to ""dedifferentiate"" and then become a wide range of tissues, similar to the wide ranging possibilities of embryonic stem cells:",-1,0.8467947840690613,0.00015502222231589258
00090_8#00090_8_18,00090,00090_8,00090_8_18,Society should ban or restrict the sale and use of violent video games.,Claim that testimonies of criminals that place blame on video games should not be relied upon as the criminals may simply be looking for a deflective excuse:,-1,0.9996951818466187,1.7519789253128693e-05
00909_2#00909_2_2,00909,00909_2,00909_2_2,Doctors should be allowed to prescribe contraception for girls under the age of 16.,"To presume that girls, or young people in general will be prevented from experimenting with sex if they are denied contraception is ludicrous:",1,6.159111217129976e-05,3.2800227927509695e-05
00800_1#00800_1_5,00800,00800_1,00800_1_5,The US federal government should increase the minimum wage.,Oregon Study concludes that its employers (particularly in agriculture and restaurant industries) have fared very well and are hiring despite having one of the highest (and inflation indexed) minimum wages:,1,0.996269941329956,6.724955892423168e-05
00211_1#00211_1_11,00211,00211_1,00211_1_11,The US federal government should increase the minimum wage.,Oregon Study concludes that its employers (particularly in agriculture and restaurant industries) have fared very well and are hiring despite having one of the highest (and inflation indexed) minimum wages:,1,0.996269941329956,6.724955892423168e-05
00447_8#00447_8_7,00447,00447_8,00447_8_7,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" punishes citizens coming-out of closet]",1,0.0009168583783321083,1.1316426935081836e-05
00149_5#00149_5_1,00149,00149_5,00149_5_1,There should be a legally mandated ceiling on weekly working hours.,"Unless competing economies implement similar rules, any restrictions on economic production may simply encourage the relocation of that production to an economy that is not encumbered with the same rules.",-1,0.00018079801520798355,0.0003544376522768289
00909_3#00909_3_3,00909,00909_3,00909_3_3,Doctors should be allowed to prescribe contraception for girls under the age of 16.,"""Children"" should not be expected to abruptly change their attitudes and behaviour toward sex and contraception-use at the turn of their 16th birthday.",1,9.230006980942562e-05,9.01936728041619e-05
00874_8#00874_8_15,00874,00874_8,00874_8_15,Society should ban or restrict the sale and use of violent video games.,Claim that testimonies of criminals that place blame on video games should not be relied upon as the criminals may simply be looking for a deflective excuse:,-1,0.9996951818466187,1.7519789253128693e-05
00452_6#00452_6_17,00452,00452_6,00452_6_17,This House believes that downloading music and films from the Internet should be prohibited.,The only artists making money off record royalties (receiving money from every copy sold) are the extremely popular ones that already have a lot of money anyway,-1,0.0005878889933228493,0.0002776620094664395
00090_8#00090_8_13,00090,00090_8,00090_8_13,Society should ban or restrict the sale and use of violent video games.,"Argument that during the period in which violent gameplay among youth has increased, youth crime rates have fallen, weakening the causal link between violent game play and violence:",-1,0.9998656511306763,2.7726682674256153e-05
00090_8#00090_8_9,00090,00090_8,00090_8_9,Society should ban or restrict the sale and use of violent video games.,Claim that the effects of violence and crime-based video games are even worse than similar films and TV because of the interactive element that exists in video games.,1,0.9998898506164551,2.7261736249784008e-05
00447_3#00447_3_9,00447,00447_3,00447_3_9,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" undermines troop morale and unit cohesion",1,0.0003455971600487828,1.5198786968539935e-05
00741_2#00741_2_2,00741,00741_2,00741_2_2,Unemployed people should be made to work for their welfare money.,"Putting the unemployed into workfare schemes actually limits their opportunities to look for work, by making them show up for make-work schemes when they could be job hunting:",-1,0.13213880360126495,0.11917233467102051
00447_8#00447_8_9,00447,00447_8,00447_8_9,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" forbids homosexual acts, not gays",-1,0.000651941925752908,1.8718550563789904e-05
00599_2#00599_2_3,00599,00599_2,00599_2_3,Scotland should become an independent nation.,"Some sources argue that it may no longer be very valuable in todays Europe to maintain ""economies of scale"" in larger unions for the sake of pooling resources for funding a stronger military.",1,0.006720251403748989,0.0003991439298260957
01106_2#01106_2_2,01106,01106_2,01106_2_2,Scotland should become an independent nation.,"Some sources argue that it may no longer be very valuable in todays Europe to maintain ""economies of scale"" in larger unions for the sake of pooling resources for funding a stronger military.",1,0.006720251403748989,0.0003991439298260957
00301_5#00301_5_5,00301,00301_5,00301_5_5,The state should be fully privatised.,"Some would also point out that privatizing certain functions of government might hamper coordination, and charge firms with specialized and limited capabilities to perform functions which they are not suited for.",-1,0.0010677323443815112,0.000986623577773571
00160_2#00160_2_4,00160,00160_2,00160_2_4,Unemployed people should be made to work for their welfare money.,"Putting the unemployed into workfare schemes actually limits their opportunities to look for work, by making them show up for make-work schemes when they could be job hunting:",-1,0.13213880360126495,0.11917233467102051
01009_7#01009_7_3,01009,01009_7,01009_7_3,Arranged marriages should be outlawed.,We have made pathetically small progress in stamping out mail order brides which just goes to show how completely unenforceable a much more complex system of regulation over arranged marriages would be.,-1,0.0008262136834673584,1.9761608200496994e-05
00971_5#00971_5_7,00971,00971_5,00971_5_7,The state should be fully privatised.,"Some would also point out that privatizing certain functions of government might hamper coordination, and charge firms with specialized and limited capabilities to perform functions which they are not suited for.",-1,0.0010677323443815112,0.000986623577773571
00874_8#00874_8_22,00874,00874_8,00874_8_22,Society should ban or restrict the sale and use of violent video games.,Claim that the effects of violence and crime-based video games are even worse than similar films and TV because of the interactive element that exists in video games.,1,0.9998898506164551,2.7261736249784008e-05
00874_8#00874_8_28,00874,00874_8,00874_8_28,Society should ban or restrict the sale and use of violent video games.,"Argument that during the period in which violent gameplay among youth has increased, youth crime rates have fallen, weakening the causal link between violent game play and violence:",-1,0.9998656511306763,2.7726682674256153e-05
00055_14#00055_14_3,00055,00055_14,00055_14_3,Iraq should be partitioned into three autonomous sectarian regions.,"Claim that Sunnis may have the most to gain from a partitioning of Iraq, giving them reasons to change their general position to support for a partition plan:",1,0.9804650545120239,4.178982271696441e-05
00800_7#00800_7_10,00800,00800_7,00800_7_10,The US federal government should increase the minimum wage.,States and cities in which raises in the minimum wage are claimed to have had no negative effect on employment (these findings and claims are often cited in the larger debate):,1,0.9438233971595764,0.00023747546947561204
00874_2#00874_2_2,00874,00874_2,00874_2_2,Society should ban or restrict the sale and use of violent video games.,"The primary role of a government is to protect its citizens from damaging themselves and society as a whole, which may include the function of video game censorship:",1,0.008039948530495167,5.685485666617751e-05
00211_7#00211_7_2,00211,00211_7,00211_7_2,The US federal government should increase the minimum wage.,States and cities in which raises in the minimum wage are claimed to have had no negative effect on employment (these findings and claims are often cited in the larger debate):,1,0.9438233971595764,0.00023747546947561204
00966_2#00966_2_5,00966,00966_2,00966_2_5,Women should be allowed to serve in equal combat roles in armed forces.,"While the vast proportion of jobs in the armed forces are open equally to men and women, there are some to which women are just not physically suited.",-1,0.0014151795767247677,0.000997629831545055
00680_3#00680_3_3,00680,00680_3,00680_3_3,Nato should continue to expand into East Europe and possible beyond.,"The increasing trend towards Russian nationalism can be attributed to the weakness of the economy and the continued conflict in Chechnya, rather than the possibility of NATO expansion.",1,0.00012759600940626115,7.84081348683685e-05
00550_6#00550_6_4,00550,00550_6,00550_6_4,Partial-birth abortion should be banned.,Certain medical conditions of the baby or mother that threaten the mothers health or life may develop later in a pregnancy making late-term abortion justified as a way to protect the mothers health.,-1,0.0020479445811361074,0.0001217756507685408
00412_1#00412_1_2,00412,00412_1,00412_1_2,"Limits or regulations should be placed on how candidates raise funds, and/or spend them, during political campaigns.",There is actually more turnover in public office than some critics of the present campaign finance systems would like to admit.,-1,0.00022553587041329592,3.714008198585361e-05
00412_1#00412_1_3,00412,00412_1,00412_1_3,"Limits or regulations should be placed on how candidates raise funds, and/or spend them, during political campaigns.","Campaign finance reform will make elections more competitive, thus resulting in more turnover or ""fresh blood"" in politics.",1,0.0002802514936774969,1.5609213733114302e-05
00145_5#00145_5_6,00145,00145_5,00145_5_6,Unregulated distribution of copyrighted works over Internet should be allowed.,The only artists making money off record royalties (receiving money from every copy sold) are the extremely popular ones that already have a lot of money anyway,1,0.0008790346328169107,0.005970288068056107
00431_2#00431_2_2,00431,00431_2,00431_2_2,Women should be allowed to serve in equal combat roles in armed forces.,"While the vast proportion of jobs in the armed forces are open equally to men and women, there are some to which women are just not physically suited.",-1,0.0014151795767247677,0.000997629831545055
00090_2#00090_2_1,00090,00090_2,00090_2_1,Society should ban or restrict the sale and use of violent video games.,"The primary role of a government is to protect its citizens from damaging themselves and society as a whole, which may include the function of video game censorship:",1,0.008039948530495167,5.685485666617751e-05
00228_3#00228_3_3,00228,00228_3,00228_3_3,Flag burning as a form of protest should be prohibited.,"To question whether flag burning is an example of free ""speech"" is to engage in a futile semantic discussion: The law ought to protect the freedom of expression.",-1,0.8034768104553223,8.277225424535573e-05
00118_4#00118_4_2,00118,00118_4,00118_4_2,Divorce is acceptable in modern society. Individuals should feel free to seek divorce.,It is more damaging for a child to have to suffer the break-up of their parents than to live through a conflicted household marriage:,-1,0.0001258761913049966,4.055251702084206e-05
00447_2#00447_2_1,00447,00447_2,00447_2_1,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","Military should not end ""don""t ask don""t tell"" during war",-1,0.010422318242490292,0.00014701644249726087
00447_2#00447_2_4,00447,00447_2,00447_2_4,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell is exploited by troops to avoid combat",1,0.00010160115198232234,1.711358709144406e-05
00447_2#00447_2_5,00447,00447_2,00447_2_5,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" puts commanders in compromising position",1,0.0030346789862960577,2.3146491002989933e-05
00447_2#00447_2_7,00447,00447_2,00447_2_7,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","Military should not end ""don""t ask don""t tell"" during war",-1,0.010422318242490292,0.00014701644249726087
00615_4#00615_4_4,00615,00615_4,00615_4_4,The international community should intervene militarily in Darfur.,The aims of the Sudanese government were not to eradicate a people but rather to carry out the brutal suppression of what was seen as an existential threat.,-1,0.9614377617835999,8.111929491860792e-05
00447_5#00447_5_1,00447,00447_5,00447_5_1,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" does not actively pursue gays",-1,0.0001588441082276404,1.937126216944307e-05
00100_3#00100_3_3,00100,00100_3,00100_3_3,Flag burning as a form of protest should be prohibited.,"To question whether flag burning is an example of free ""speech"" is to engage in a futile semantic discussion: The law ought to protect the freedom of expression.",-1,0.8034768104553223,8.277225424535573e-05
00726_5#00726_5_6,00726,00726_5,00726_5_6,The US government should fund embryonic stem cell research.,"The parents of at least 11,000 of these 400,000 embryos have given explicit permission for their embryos to be made available for stem-cell research",1,0.9767246246337891,0.0002478047681506723
00800_5#00800_5_1,00800,00800_5,00800_5_1,The US federal government should increase the minimum wage.,"Argument that there is no overall negative economic impact:The NewMexican.com, ""Santa Fe - ""Study: No harm yet from wage law"":",1,0.9998059868812561,3.240043224650435e-05
00100_2#00100_2_1,00100,00100_2,00100_2_1,Flag burning as a form of protest should be prohibited.,There is no consistent causal link between flag burning and national security and/or public safety threat (the common justifications for any restrictions on freedom of speech):,-1,0.3350086510181427,0.0005171428783796728
00447_15#00447_15_2,00447,00447_15,00447_15_2,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" has been very costly in dollars",1,0.00041185898589901626,8.870627425494604e-06
00447_18#00447_18_3,00447,00447_18,00447_18_3,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell insults and traumatizes gay troops",1,0.0062903244979679585,2.3356660676654428e-05
00447_18#00447_18_5,00447,00447_18,00447_18_5,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" softened military policy on gays",-1,0.0003158458857797086,1.8077465938404202e-05
00664_5#00664_5_1,00664,00664_5,00664_5_1,Whaling is a good idea. The ban on whaling should be dropped.,"The decline in fish stocks is due to overfishing by man, not to the activities of whales, many of which eat only plankton.",-1,0.001555222668685019,4.61799863842316e-05
00145_8#00145_8_2,00145,00145_8,00145_8_2,Unregulated distribution of copyrighted works over Internet should be allowed.,"MP3 files could in principle be a good way of promoting unknown artists, but nearly all the music that is shared and downloaded is highly commercial.",-1,0.0005564652965404093,0.0011498521780595183
00549_4#00549_4_5,00549,00549_4,00549_4_5,The United Kingdom should hand over the Falkland Islands to Argentina.,The Nookta Sound convention did not affect Britains rights to the islands as they already had an agreement with Spain where both nations rights were secured in 1771,-1,0.9966191053390503,0.00012854918895754963
00211_5#00211_5_3,00211,00211_5,00211_5_3,The US federal government should increase the minimum wage.,"Argument that there is no overall negative economic impact:The NewMexican.com, ""Santa Fe - ""Study: No harm yet from wage law"":",1,0.9998059868812561,3.240043224650435e-05
00228_2#00228_2_4,00228,00228_2,00228_2_4,Flag burning as a form of protest should be prohibited.,There is no consistent causal link between flag burning and national security and/or public safety threat (the common justifications for any restrictions on freedom of speech):,-1,0.3350086510181427,0.0005171428783796728
00447_4#00447_4_1,00447,00447_4,00447_4_1,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","If ""immoral"" gays banned from military, ban adulterers too",1,0.0002559041604399681,1.743767825246323e-05
01302_4#01302_4_1,01302,01302_4,01302_4_1,Divorce is acceptable in modern society. Individuals should feel free to seek divorce.,It is more damaging for a child to have to suffer the break-up of their parents than to live through a conflicted household marriage:,-1,0.0001258761913049966,4.055251702084206e-05
00800_7#00800_7_51,00800,00800_7,00800_7_51,The US federal government should increase the minimum wage.,Claim that raising the minimum wage may limit the ability of low-skill job-seekers to exchange their low-wage labor for job training and other fringe benefits:,-1,0.9998860359191895,2.6973408239427954e-05
00118_1#00118_1_1,00118,00118_1,00118_1_1,Divorce is acceptable in modern society. Individuals should feel free to seek divorce.,"Marriage is about union and love, both of which are hard to fulfill and need to be continually worked on, rather than abandoned casually:",-1,0.00041932682506740093,0.00015316129429265857
00211_7#00211_7_5,00211,00211_7,00211_7_5,The US federal government should increase the minimum wage.,Claim that raising the minimum wage may limit the ability of low-skill job-seekers to exchange their low-wage labor for job training and other fringe benefits:,-1,0.9998860359191895,2.6973408239427954e-05
00090_8#00090_8_6,00090,00090_8,00090_8_6,Society should ban or restrict the sale and use of violent video games.,"Claim that the intensity of the above influences of video games on the player are likely only going to grow, as video games become increasingly realistic:",1,0.9998447895050049,2.1556694264290854e-05
00447_5#00447_5_3,00447,00447_5,00447_5_3,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" costs the military needed soldiers",1,0.0005294465227052569,1.0880752597586252e-05
00447_5#00447_5_7,00447,00447_5,00447_5_7,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" fosters discrimination against women",1,0.0002260535693494603,1.0757807103800587e-05
00999_2#00999_2_1,00999,00999_2,00999_2_1,Cultural treasures should be returned to their country of origin.,"It is not always clear how artefacts were acquired (illegally or otherwise), making it impossible to determine a basis for their return to a country of origin:",-1,0.01618914119899273,0.4424581229686737
00447_8#00447_8_1,00447,00447_8,00447_8_1,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell makes gays second class citizens",1,6.420248246286064e-05,2.0244635379640386e-05
00447_8#00447_8_5,00447,00447_8,00447_8_5,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" has been upheld in court",-1,0.01097981259226799,2.5718294637044892e-05
00874_8#00874_8_26,00874,00874_8,00874_8_26,Society should ban or restrict the sale and use of violent video games.,"Claim that the intensity of the above influences of video games on the player are likely only going to grow, as video games become increasingly realistic:",1,0.9998447895050049,2.1556694264290854e-05
01302_1#01302_1_4,01302,01302_1,01302_1_4,Divorce is acceptable in modern society. Individuals should feel free to seek divorce.,"Marriage is about union and love, both of which are hard to fulfill and need to be continually worked on, rather than abandoned casually:",-1,0.00041932682506740093,0.00015316129429265857
00726_6#00726_6_15,00726,00726_6,00726_6_15,The US government should fund embryonic stem cell research.,"Adult stem cells taken from patients themselves avoids immune rejection better than embryonic stem cells, and that this could be a more cost effective approach to treatment:",-1,0.7066989541053772,9.7815522167366e-05
00726_6#00726_6_9,00726,00726_6,00726_6_9,The US government should fund embryonic stem cell research.,"The Orlic and NIH 2001 tests were not repeatable, reducing the credibility of the claim that certain adult stem cell can help repair heart tissue:",1,0.041850507259368896,0.000102168349258136
